# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 7.782201458187043e-39
3.2360111549336787e-07 8.309883196379427e-39
3.311463862505236e-07 8.87449028719564e-39
3.388675869043115e-07 9.478639483954459e-39
3.4676881953794695e-07 1.0125133870931246e-38
3.548542818811901e-07 1.0816976091486125e-38
3.6312826954049566e-07 1.1557382780727219e-38
3.715951782811629e-07 1.234980017583761e-38
3.8025950636269697e-07 1.319792070246723e-38
3.89125856928623e-07 1.4105700401794518e-38
3.9819894045202297e-07 1.5077377382591257e-38
4.0748357723809307e-07 1.6117491776757753e-38
4.169846999850535e-07 1.7230907587871853e-38
4.2670735640476865e-07 1.8422836343002546e-38
4.3665671190447213e-07 1.9698862093927396e-38
4.4683805233101997e-07 2.106496760692321e-38
4.572567867791303e-07 2.2527562341650917e-38
4.6791845046510194e-07 2.4093513098407315e-38
4.788287076675383e-07 2.5770177444947137e-38
4.899933547366384e-07 2.7565439115872597e-38
5.014183231736547e-07 2.948774498218624e-38
5.131096827821533e-07 3.154614465609867e-38
5.250736448927506e-07 3.375033408711708e-38
5.373165656630395e-07 3.6110702758559995e-38
5.4984494945446e-07 3.8638383035370613e-38
5.626654522879044e-07 4.1345302147199867e-38
5.757848853798981e-07 4.424423918365318e-38
5.892102187612295e-07 4.734888738224525e-38
6.029485849799565e-07 5.067391939333924e-38
6.17007282890752e-07 5.423505584520642e-38
6.313937815326057e-07 5.804914071828887e-38
6.461157240969403e-07 6.213422333693675e-38
6.611809319882495e-07 6.650964367443614e-38
6.765974089794179e-07 7.119612328173263e-38
6.923733454639272e-07 7.62158658821664e-38
7.085171228072106e-07 8.159266403555015e-38
7.250373177994646e-07 8.735201054544418e-38
7.419427072122865e-07 9.352122115298209e-38
7.592422724615558e-07 1.0012956664747553e-37
7.769452043790388e-07 1.0720841019135378e-37
7.950609080952509e-07 1.1479135783460877e-37
8.135990080361694e-07 1.2291442095694498e-37
8.325693530364543e-07 1.316161853990093e-37
8.519820215718901e-07 1.4093799739179577e-37
8.718473271138315e-07 1.5092416205008199e-37
8.921758236084957e-07 1.616221521574715e-37
9.12978311084014e-07 1.7308283823948555e-37
9.342658413882192e-07 1.8536072967053478e-37
9.560497240602198e-07 1.985142350881777e-37
9.78341532338879e-07 2.1260594352618115e-37
1.0011531093113902e-06 2.2770292026622076e-37
1.0244965742052174e-06 2.4387703105514756e-37
1.048384328826741e-06 2.612052821076921e-37
1.0728290641500308e-06 2.7977019102274215e-37
1.0978437670592484e-06 2.9966017904429373e-37
1.1234417272482566e-06 3.209699952087289e-37
1.149636544281106e-06 3.438011681759088e-37
1.1764421348171486e-06 3.682624923986472e-37
1.2038727400046132e-06 3.944705472929474e-37
1.2319429330465773e-06 4.2255025567494594e-37
1.2606676269433496e-06 4.526354793553198e-37
1.2900620824153782e-06 4.84869661189308e-37
1.3201419160108953e-06 5.19406508252056e-37
1.3509231084026028e-06 5.564107294085781e-37
1.38242201287781e-06 5.960588203863209e-37
1.4146553640265304e-06 6.385399089733914e-37
1.447640286632156e-06 6.840566592728525e-37
1.4813943047694329e-06 7.328262393629068e-37
1.5159353511145682e-06 7.850813612995618e-37
1.5512817764724183e-06 8.410713928720576e-37
1.587452359525819e-06 9.010635494891385e-37
1.6244663168122348e-06 9.653441728867516e-37
1.6623433129330315e-06 1.0342200998283244e-36
1.7011034710007933e-06 1.1080201287620325e-36
1.740767383330235e-06 1.187096592459769e-36
1.7813561223783898e-06 1.2718270429366355e-36
1.8228912519398869e-06 1.3626160565030876e-36
1.8653948386032614e-06 1.4598971682186671e-36
1.908889463474389e-06 1.5641349450795827e-36
1.9533982341732686e-06 1.675827207588639e-36
1.9989447971105317e-06 1.7955074102518267e-36
2.045553350050195e-06 1.9237471924638194e-36
2.0932486549653353e-06 2.0611591120367387e-36
2.1420560511935146e-06 2.2083995744431184e-36
2.192001468898943e-06 2.3661719717639426e-36
2.2431114428485372e-06 2.5352300463451944e-36
2.2954131265091837e-06 2.7163814952497093e-36
2.3489343064737076e-06 2.9104918327440068e-36
2.403703417223201e-06 3.11848852929154e-36
2.4597495562335635e-06 3.341365446849854e-36
2.5171024994342686e-06 3.580187591674572e-36
2.575792717027583e-06 3.8360962073674256e-36
2.635851389676631e-06 4.110314232539803e-36
2.6973104250709106e-06 4.404152149209982e-36
2.760202474878063e-06 4.719014249860414e-36
2.8245609520908932e-06 5.056405353014753e-36
2.8904200487788716e-06 5.4179379995263005e-36
2.9578147542535346e-06 5.8053401643584245e-36
3.026780873657441e-06 6.220463520420972e-36
3.097355046986562e-06 6.665292293252927e-36
3.1695747685562034e-06 7.141952750332073e-36
3.2434784069208122e-06 7.652723369899207e-36
3.319105225258239e-06 8.200045736328567e-36
3.3964954022292982e-06 8.786536217507114e-36
3.4756900533236943e-06 9.414998475953373e-36
3.5567312527036693e-06 1.0088436877625593e-35
3.6396620555569646e-06 1.081007085854929e-35
3.7245265209709786e-06 1.158335032188043e-35
3.811369735340273e-06 1.2411972135362924e-35
3.900237836319859e-06 1.3299897810787633e-35
3.991178037336996e-06 1.4251372448915054e-35
4.0842386526745176e-06 1.5270945039987104e-35
4.179469123139017e-06 1.6363490217734603e-35
4.2769200423275275e-06 1.7534231570613658e-35
4.376643183506652e-06 1.8788766621550273e-35
4.478691527118417e-06 2.0133093595716906e-35
4.583119288927478e-06 2.1573640104346603e-35
4.689981948824612e-06 2.3117293881698755e-35
4.799336280301815e-06 2.47714357221112e-35
4.911240380614659e-06 2.6543974774598686e-35
5.0257537016479225e-06 2.844338636373664e-35
5.142937081500915e-06 3.047875251754996e-35
5.262852776809252e-06 3.2659805396072393e-35
5.385564495820272e-06 3.4996973828526246e-35
5.511137432239651e-06 3.750143318131597e-35
5.639638299867211e-06 4.0185158794549176e-35
5.771135368040315e-06 4.3060983244213283e-35
5.905698497903673e-06 4.614265770129289e-35
6.043399179524854e-06 4.944491768361059e-35
6.184310569875183e-06 5.298355351225536e-35
6.32850753169624e-06 5.677548581106615e-35
6.47606667327258e-06 6.083884640912657e-35
6.627066389131828e-06 6.519306503281254e-35
6.781586901693754e-06 6.985896220189917e-35
6.939710303890459e-06 7.485884877345579e-35
7.101520602780329e-06 8.021663260907642e-35
7.267103764178904e-06 8.595793287502892e-35
