# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 4.105478098938939e-32
3.2360111549336787e-07 4.501953051668888e-32
3.311463862505236e-07 4.936717894358098e-32
3.388675869043115e-07 5.413470571959271e-32
3.4676881953794695e-07 5.936266171191851e-32
3.548542818811901e-07 6.509551412862996e-32
3.6312826954049566e-07 7.138202475474368e-32
3.715951782811629e-07 7.827566471731899e-32
3.8025950636269697e-07 8.58350693088677e-32
3.89125856928623e-07 9.412453673667634e-32
3.9819894045202297e-07 1.032145750409629e-31
4.0748357723809307e-07 1.1318250183415501e-31
4.169846999850535e-07 1.2411310196202165e-31
4.2670735640476865e-07 1.3609934868159197e-31
4.3665671190447213e-07 1.4924319448920933e-31
4.4683805233101997e-07 1.6365643832657694e-31
4.572567867791303e-07 1.794616765402367e-31
4.6791845046510194e-07 1.9679334568439377e-31
4.788287076675383e-07 2.157988660366418e-31
4.899933547366384e-07 2.366398955522479e-31
5.014183231736547e-07 2.5949370492603307e-31
5.131096827821533e-07 2.8455468545513047e-31
5.250736448927506e-07 3.120360025306702e-31
5.373165656630395e-07 3.421714088210521e-31
5.4984494945446e-07 3.7521723257187907e-31
5.626654522879044e-07 4.114545579333121e-31
5.757848853798981e-07 4.511916158619628e-31
5.892102187612295e-07 4.947664059344171e-31
6.029485849799565e-07 5.4254957137042275e-31
6.17007282890752e-07 5.949475517281565e-31
6.313937815326057e-07 6.524060400765105e-31
6.461157240969403e-07 7.154137740664369e-31
6.611809319882495e-07 7.84506693134767e-31
6.765974089794179e-07 8.602724972058258e-31
6.923733454639272e-07 9.43355645673455e-31
7.085171228072106e-07 1.0344628391759501e-30
7.250373177994646e-07 1.1343690307949608e-30
7.419427072122865e-07 1.2439240178150048e-30
7.592422724615558e-07 1.3640596701054368e-30
7.769452043790388e-07 1.4957978566007684e-30
7.950609080952509e-07 1.640259137346412e-30
8.135990080361694e-07 1.798672294966396e-30
8.325693530364543e-07 1.9723847867169324e-30
8.519820215718901e-07 2.162874205949245e-30
8.718473271138315e-07 2.3717608505353523e-30
8.921758236084957e-07 2.600821505130486e-30
9.12978311084014e-07 2.852004554510321e-30
9.342658413882192e-07 3.1274465565284426e-30
9.560497240602198e-07 3.429490415703007e-30
9.78341532338879e-07 3.760705311941982e-30
1.0011531093113902e-06 4.123908554004872e-30
1.0244965742052174e-06 4.522189543539793e-30
1.048384328826741e-06 4.958936053483154e-30
1.0728290641500308e-06 5.437863044499499e-30
1.0978437670592484e-06 5.963044264389979e-30
1.1234417272482566e-06 6.538946899336081e-30
1.149636544281106e-06 7.170469571823804e-30
1.1764421348171486e-06 7.862984008193998e-30
1.2038727400046132e-06 8.622380730532694e-30
1.2319429330465773e-06 9.455119161328225e-30
1.2606676269433496e-06 1.0368282567250452e-29
1.2900620824153782e-06 1.1369638309237114e-29
1.3201419160108953e-06 1.246770391155546e-29
1.3509231084026028e-06 1.3671819511532026e-29
1.38242201287781e-06 1.4992227306678323e-29
1.4146553640265304e-06 1.6440158674308055e-29
1.447640286632156e-06 1.8027929705439112e-29
1.4813943047694329e-06 1.9769045964876344e-29
1.5159353511145682e-06 2.1678317368986026e-29
1.5512817764724183e-06 2.3771984158244147e-29
1.587452359525819e-06 2.606785503601093e-29
1.6244663168122348e-06 2.8585458648052423e-29
1.6623433129330315e-06 3.134620969247223e-29
1.7011034710007933e-06 3.437359107174939e-29
1.740767383330235e-06 3.769335363620189e-29
1.7813561223783898e-06 4.133373521964865e-29
1.8228912519398869e-06 4.532570082760225e-29
1.8653948386032614e-06 4.9703206023526794e-29
1.908889463474389e-06 5.450348575116617e-29
1.9533982341732686e-06 5.976737105142792e-29
1.9989447971105317e-06 6.553963636830242e-29
2.045553350050195e-06 7.186938039329468e-29
2.0932486549653353e-06 7.881044369515566e-29
2.1420560511935146e-06 8.642186667923419e-29
2.192001468898943e-06 9.476839177849059e-29
2.2431114428485372e-06 1.0392101414357055e-28
2.2954131265091837e-06 1.1395758551548767e-28
2.3489343064737076e-06 1.2496347642242146e-28
2.403703417223201e-06 1.3703230232493715e-28
2.4597495562335635e-06 1.5026671989184987e-28
2.5171024994342686e-06 1.647793001816384e-28
2.575792717027583e-06 1.8069348614649657e-28
2.635851389676631e-06 1.98144642611422e-28
2.6973104250709106e-06 2.1728120765807126e-28
2.760202474878063e-06 2.382659552042118e-28
2.8245609520908932e-06 2.612773795155123e-28
2.8904200487788716e-06 2.8651121343462356e-28
2.9578147542535346e-06 3.1418209322397867e-28
3.026780873657441e-06 3.4452538420331477e-28
3.097355046986562e-06 3.777991826896755e-28
3.1695747685562034e-06 4.142865112815933e-28
3.2434784069208122e-06 4.542977261552211e-28
3.319105225258239e-06 4.981731568280335e-28
3.3964954022292982e-06 5.462860008848582e-28
3.4756900533236943e-06 5.990454982391945e-28
3.5567312527036693e-06 6.569004119436571e-28
3.6396620555569646e-06 7.203428451871273e-28
3.7245265209709786e-06 7.899124268747633e-28
3.811369735340273e-06 8.662009014444941e-28
3.900237836319859e-06 9.498571619406142e-28
3.991178037336996e-06 1.041592769139096e-27
4.0842386526745176e-06 1.1421880036677788e-27
4.179469123139017e-06 1.2524985025967045e-27
4.2769200423275275e-06 1.3734625369554062e-27
4.376643183506652e-06 1.506108992007071e-27
4.478691527118417e-06 1.651566118247862e-27
4.583119288927478e-06 1.8110711274541772e-27
4.689981948824612e-06 1.9859807154340476e-27
4.799336280301815e-06 2.177782600970274e-27
4.911240380614659e-06 2.388108179112688e-27
5.0257537016479225e-06 2.6187463962831038e-27
5.142937081500915e-06 2.8716589654650693e-27
5.262852776809252e-06 3.1489970504237485e-27
5.385564495820272e-06 3.4531195614249776e-27
5.511137432239651e-06 3.786613217429416e-27
5.639638299867211e-06 4.15231454580389e-27
5.771135368040315e-06 4.553334006402904e-27
5.905698497903673e-06 4.993082445051732e-27
6.043399179524854e-06 5.4753001019875335e-27
6.184310569875183e-06 6.0040884208529475e-27
6.32850753169624e-06 6.583944929619552e-27
6.47606667327258e-06 7.219801489858359e-27
6.627066389131828e-06 7.917066239027389e-27
6.781586901693754e-06 8.68166958298384e-27
6.939710303890459e-06 9.52011462962502e-27
7.101520602780329e-06 1.0439532492202265e-26
7.267103764178904e-06 1.1447742932972971e-26
7.436547758330399e-06 1.255332086161225e-26
7.609942606644117e-06 1.37656692556116e-26
7.787380429520604e-06 1.5095099120834842e-26
7.968955495292936e-06 1.6552917172393504e-26
8.15476427030917e-06 1.8151521982424923e-26
8.344905470182516e-06 1.9904509409628012e-26
8.539480112236516e-06 2.182678820932684e-26
8.738591569173047e-06 2.39347068054523e-26
8.942345623991688e-06 2.624619230062811e-26
9.150850526189614e-06 2.878090290965604e-26
9.364217049271877e-06 3.156039510710553e-26
9.58255854960264e-06 3.4608306914261615e-26
9.805991026628606e-06 3.7950558877236935e-26
1.0034633184506672e-05 4.161557445445106e-26
1.0268606495168497e-05 4.5634521668199053e-26
1.0508035262855554e-05 5.004157809891109e-26
1.07530466901589e-05 5.487422144475713e-26
1.1003770945598772e-05 6.017354814501291e-26
1.1260341232779899e-05 6.598462274611865e-26
1.1522893861159297e-05 7.235686100028728e-26
1.1791568318464117e-05 7.934444993423792e-26
1.206650734479802e-05 8.70068084788815e-26
1.2347857008475478e-05 9.540909253592151e-26
1.263576678362426e-05 1.0462274881016671e-25
1.293038962959737e-05 1.1472612209159767e-25
1.3231882072236462e-05 1.258051211413793e-25
1.3540404287030327e-05 1.379539488269688e-25
1.3856120184212054e-05 1.5127590275692414e-25
1.4179197495840522e-05 1.6588425313775385e-25
1.4509807864912299e-05 1.8190320535569336e-25
1.484812693655133e-05 1.994689554433315e-25
1.5194334451324849e-05 2.187308473921704e-25
1.5548614340735104e-05 2.3985264209335915e-25
1.5911154824937624e-05 2.6301390875822366e-25
1.6282148512737936e-05 2.8841155052512066e-25
1.6661792503919872e-05 3.162614772868889e-25
1.7050288493959805e-05 3.468004398407902e-25
1.7447842881182494e-05 3.8028804097788413e-25
1.785466687641539e-05 4.17008940595291e-25
1.8270976615199758e-05 4.572752733901296e-25
1.869699327261814e-05 5.014292998037706e-25
1.91329431807992e-05 5.4984631256801385e-25
1.957905794916243e-05 6.02937823562034e-25
2.003557458746648e-05 6.611550578541319e-25
2.0502735631726606e-05 7.249927847381907e-25
2.0980789273068064e-05 7.949935181059948e-25
2.1469989489583918e-05 8.717521214450869e-25
2.1970596181267336e-05 9.559208572614064e-25
2.2482875308090033e-05 1.0482149225075343e-24
2.3007099031300245e-05 1.149418517987119e-24
2.354354585801526e-05 1.2603915023820182e-24
2.4092500789185385e-05 1.3820766873044634e-24
2.4654255471007912e-05 1.5155078354194612e-24
2.5229108349871537e-05 1.661818428813662e-24
2.5817364830913554e-05 1.8222512818907583e-24
2.641933744027406e-05 1.9981690800950786e-24
2.7035345991133382e-05 2.191065933549447e-24
2.7665717753620915e-05 2.4025800426834016e-24
2.8310787628685666e-05 2.634507583307409e-24
2.8970898326020842e-05 2.8888179284084503e-24
2.964640054613707e-05 3.1676703341354292e-24
3.033765316668089e-05 3.47343223165847e-24
3.104502343309761e-05 3.808699278675571e-24
3.176888715373972e-05 4.176317339224561e-24
3.25096288995246e-05 4.5794065770321194e-24
3.326764220824756e-05 5.021387867075235e-24
3.4043329793658724e-05 5.506011741836478e-24
3.483710375941493e-05 6.0373901235286696e-24
3.5649385818020195e-05 6.620031103119283e-24
3.648060751487119e-05 7.258877059238327e-24
3.73312104575266e-05 7.959346440060434e-24
3.820164655032238e-05 8.727379552510604e-24
3.90923782344573e-05 9.569488751392646e-24
4.0003878733676586e-05 1.0492813438631913e-23
4.093663230568398e-05 1.1505180341615219e-23
4.1891134499415887e-05 1.261516957043978e-23
4.2867892418314344e-05 1.3832187003673908e-23
4.386742498973848e-05 1.5166543616312188e-23
4.489026324065786e-05 1.6629542402906508e-23
4.5936950579773975e-05 1.823357361861717e-23
4.700804308621986e-05 1.9992219142985492e-23
4.8104109804991236e-05 2.192036682592115e-23
4.922573304926602e-05 2.403433575891562e-23
5.0373508709772956e-05 2.6352013532508423e-23
5.154804657137365e-05 2.88930065980457e-23
5.27499706370262e-05 3.1678804985455544e-23
5.397991945930254e-05 3.473296273957356e-23
5.5238546479635675e-05 3.808129556631856e-23
5.6526520375476976e-05 4.175209732954996e-23
5.784452541554797e-05 4.577637713497404e-23
5.9193261823375433e-05 5.018811902250312e-23
6.057344614930286e-05 5.502456634013863e-23
6.198581165117595e-05 6.032653315647042e-23
6.34311086839044e-05 6.613874524435033e-23
6.491010509810695e-05 7.251021345649279e-23
6.642358664805138e-05 7.949464243519312e-23
6.797235740910648e-05 8.715087816224876e-23
6.955724020492732e-05 9.554339776554506e-23
7.117907704460117e-05 1.0474284567737715e-22
7.283872956998614e-05 1.148266205117698e-22
7.453707951348025e-05 1.2587951722374395e-22
7.627502916646401e-05 1.3799442987832658e-22
7.805350185866558e-05 1.5127312053989836e-22
7.987344244870308e-05 1.6582706056735235e-22
8.173581782606456e-05 1.8177835076550986e-22
8.364161742479263e-05 1.9926072800996724e-22
8.559185374914618e-05 2.1842066604478312e-22
8.758756291151902e-05 2.394185793210552e-22
8.96298051829007e-05 2.6243013914988836e-22
9.17196655561724e-05 2.8764771263659963e-22
9.385825432253677e-05 3.152819355168547e-22
9.604670766138824e-05 3.4556343113721724e-22
9.828618824393714e-05 3.787446886945101e-22
0.00010057788585090809 4.1510211565146726e-22
0.00010292301800464121 4.549382789100367e-22
0.00010532283061593165 4.985843538207926e-22
0.00010777859864595113 5.464027966118681e-22
0.00011029162678360347 5.987902638907147e-22
0.00011286325013867351 6.5618079712649e-22
0.00011549483495113791 7.190492995922472e-22
0.00011818777931701482 7.879153280339953e-22
0.0001209435139311377 8.633472296534334e-22
0.00012376350284724815 9.459666524338131e-22
0.00012664924425581149 1.0364534612116253e-21
0.00012960227127996844 1.135551097457883e-21
0.00013262415279004548 1.244072416505373e-21
0.00013571649423705693 1.3629060471833298e-21
0.0001388809385056415 1.4930233134173542e-21
0.00014211916678688624 1.635485770862834e-21
0.00014543289947150178 1.7914534056097004e-21
0.0001488238970638237 1.9621935496046693e-21
0.00015229396111712465 2.149090576196846e-21
0.00015584493519073535 2.3536564337857816e-21
0.00015947870582948208 2.5775420901187906e-21
0.00016319720356596128 2.822549954427161e-21
0.00016700240394618395 3.090647360384968e-21
0.00017089632857913436 3.383981190597211e-21
0.000174881046210801 3.7048937281931345e-21
0.00017895867382325032 4.055939830958214e-21
0.0001831313777593269 4.439905526975389e-21
0.00018740137487357792 4.859828143328433e-21
0.00019177093371001327 5.3190180562698104e-21
0.000196242375707327 5.821082215080499e-21
0.00020081807643222024 6.369949531081202e-21
0.00020550046684148122 6.969898267056947e-21
0.0002102920345734925 7.625585587454177e-21
0.0002151953252698519 8.342079351608022e-21
0.00022021294392780895 9.124892373071802e-21
0.00022534755628423554 9.980019217519346e-21
0.0002306018902318662 1.0913975723232721e-20
0.00023597873726856003 1.1933841439354028e-20
0.0002414809539803547 1.3047305053196745e-20
0.0002471114635590999 1.4262713063663537e-20
0.00025287325735547713 1.558912173228555e-20
0.00025876939646823026 1.703635265263718e-20
0.00026480301337045197 1.8615051850338056e-20
0.000270977313573789 2.0336752816126275e-20
0.00027729557733145163 2.2213943341913447e-20
0.00028376116138093086 2.4260136537389733e-20
0.0002903775007273506 2.6489945919775162e-20
0.00029714811046840066 2.891916473424987e-20
0.00030407658766182135 3.156484973362791e-20
0.00031116661323643183 3.444540904681558e-20
0.0003184219539477161 3.7580694559580434e-20
0.00032584646437900766 4.099209847976245e-20
0.00033344408898933415 4.470265416140574e-20
0.0003412188642090111 4.873714077253215e-20
0.0003491749205840977 5.3122191988598366e-20
0.0003573164849708539 5.788640798543263e-20
0.0003656478827813646 6.306047081674492e-20
0.0003741735402815245 6.867726218152339e-20
0.0003828979869426037 7.477198342040138e-20
0.000391825857847644 8.138227717275947e-20
0.000400961896153964 8.85483493354946e-20
0.0004103109556130814 9.631309085115434e-20
0.0004198780031493915 1.0472219819667967e-19
0.00042966812149897106 1.1382429149557568e-19
0.000439686511909911 1.2367102828489387e-19
0.0004499384969056106 1.3431721236108493e-19
0.00046042952311250296 1.4582089489744973e-19
0.0004711651641537129 1.5824346700386613e-19
0.00048215112361018567 1.7164974085294845e-19
0.0004933932380508582 1.8610801804451076e-19
0.0005048974801334842 2.0169014186525416e-19
0.0005166699617777604 2.184715307560988e-19
0.0005287169374124361 2.365311928283069e-19
0.0005410448072981404 2.5595171426240643e-19
0.0005536601209276797 2.7681922239292e-19
0.0005665695805056229 2.9922332003579197e-19
0.0005797800445090163 3.2325698423925177e-19
0.0005932985313311235 3.490164338889175e-19
0.000607132223010125 3.7660095367480155e-19
0.0006212884690447563 4.0611268132767963e-19
0.0006357747902989163 4.376563477990728e-19
0.0006505988829973161 4.713389714533665e-19
0.0006657686228142928 5.072695065277304e-19
0.0006812920690579615 5.455584350412808e-19
0.0006971774689519261 5.863173174330965e-19
0.0007134332620168255 6.2965827965520425e-19
0.0007300680845540431 6.756934566310372e-19
0.0007470907742339592 7.245343825154105e-19
0.0007645103747911887 7.76291329077683e-19
0.0007823361408292924 8.31072598461348e-19
0.00080057754273752 8.889837733154832e-19
0.0008192442717221943 9.501269239537151e-19
0.0008383462449554094 1.0145997850997003e-18
0.0008578936108437789 1.0824949036462165e-18
