# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2 MeV4, datatype: float64}
# schema: astropy-2.0
mx sigma
3.162277660168379e-07 4.1054785812920963e-32
3.2360111549336787e-07 4.501953605605889e-32
3.311463862505236e-07 4.93671853050005e-32
3.388675869043115e-07 5.413471302502939e-32
3.4676881953794695e-07 5.936267010143394e-32
3.548542818811901e-07 6.509552376306366e-32
3.6312826954049566e-07 7.138203581879512e-32
3.715951782811629e-07 7.827567742308692e-32
3.8025950636269697e-07 8.583508389991446e-32
3.89125856928623e-07 9.412455349269476e-32
3.9819894045202297e-07 1.0321459428313585e-31
4.0748357723809307e-07 1.131825239313093e-31
4.169846999850535e-07 1.241131273376954e-31
4.2670735640476865e-07 1.360993778221498e-31
4.3665671190447213e-07 1.492432279531614e-31
4.4683805233101997e-07 1.6365647675527987e-31
4.572567867791303e-07 1.7946172067018213e-31
4.6791845046510194e-07 1.9679339636131965e-31
4.788287076675383e-07 2.1579892423173576e-31
4.899933547366384e-07 2.3663996238075546e-31
5.014183231736547e-07 2.5949378166862425e-31
5.131096827821533e-07 2.845547735824365e-31
5.250736448927506e-07 3.1203610373145976e-31
5.373165656630395e-07 3.4217152503458493e-31
5.4984494945446e-07 3.75217366025061e-31
5.626654522879044e-07 4.114547111833576e-31
5.757848853798981e-07 4.511917918453884e-31
5.892102187612295e-07 4.947666080232992e-31
6.029485849799565e-07 5.425498034370011e-31
6.17007282890752e-07 5.9494781821901675e-31
6.313937815326057e-07 6.5240634609777305e-31
6.461157240969403e-07 7.154141254815781e-31
6.611809319882495e-07 7.84507096676951e-31
6.765974089794179e-07 8.602729606068938e-31
6.923733454639272e-07 9.43356177812049e-31
7.085171228072106e-07 1.0344634502476048e-30
7.250373177994646e-07 1.1343697325074224e-30
7.419427072122865e-07 1.2439248236125207e-30
7.592422724615558e-07 1.3640605954263053e-30
7.769452043790388e-07 1.495798919173097e-30
7.950609080952509e-07 1.6402603575277283e-30
8.135990080361694e-07 1.7986736961336456e-30
8.325693530364543e-07 1.972386395714299e-30
8.519820215718901e-07 2.1628760536024057e-30
8.718473271138315e-07 2.3717629722419985e-30
8.921758236084957e-07 2.6008239415384167e-30
9.12978311084014e-07 2.852007352296137e-30
9.342658413882192e-07 3.1274497692916934e-30
9.560497240602198e-07 3.429494104992992e-30
9.78341532338879e-07 3.7607095484368035e-30
1.0011531093113902e-06 4.123913418865392e-30
1.0244965742052174e-06 4.5221951299643725e-30
1.048384328826741e-06 4.958942468493009e-30
1.0728290641500308e-06 5.437870410988834e-30
1.0978437670592484e-06 5.963052723480175e-30
1.1234417272482566e-06 6.538956613079077e-30
1.149636544281106e-06 7.170480726306374e-30
1.1764421348171486e-06 7.862996817102498e-30
1.2038727400046132e-06 8.622395439246452e-30
1.2319429330465773e-06 9.45513605162008e-30
1.2606676269433496e-06 1.0368301962684413e-29
1.2900620824153782e-06 1.1369660581366596e-29
1.3201419160108953e-06 1.2467729487040763e-29
1.3509231084026028e-06 1.367184888031348e-29
1.38242201287781e-06 1.499226103136158e-29
1.4146553640265304e-06 1.6440197400941322e-29
1.447640286632156e-06 1.802797417588889e-29
1.4813943047694329e-06 1.9769097031038547e-29
1.5159353511145682e-06 2.16783760091048e-29
1.5512817764724183e-06 2.3772051495651087e-29
1.587452359525819e-06 2.606793236064342e-29
1.6244663168122348e-06 2.8585547441163516e-29
1.6623433129330315e-06 3.134631165500532e-29
1.7011034710007933e-06 3.437370815692117e-29
1.740767383330235e-06 3.76934880869178e-29
1.7813561223783898e-06 4.1333889611467465e-29
1.8228912519398869e-06 4.53258781180729e-29
1.8653948386032614e-06 4.9703409608842613e-29
1.908889463474389e-06 5.450371953122119e-29
1.9533982341732686e-06 5.976763950452255e-29
1.9989447971105317e-06 6.553994463692813e-29
2.045553350050195e-06 7.186973438264212e-29
