# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 5.9387939611862356e-46 7.813079172319072e-46 2.1129589090953526e-45 8.915211436847093e-45 4.018188450494501e-43 4.425170600560387e-41 4.017284170948482e-39 7.719513876435792e-39
3.2360111549336787e-07 5.8174460425102934e-46 7.65925222543176e-46 2.0823860925266436e-45 8.926977800171563e-45 4.110554280559927e-43 4.5484201005377e-41 4.252973555646711e-39 8.241851621268437e-39
3.311463862505236e-07 5.698610662634786e-46 7.50852930537668e-46 2.0523957391128954e-45 8.941429318671612e-45 4.205157061954775e-43 4.675759563086266e-41 4.5041217042341567e-39 8.800709786543649e-39
3.388675869043115e-07 5.582235289511709e-46 7.360846801351684e-46 2.0229773859343058e-45 8.958606284622193e-45 4.302049598049874e-43 4.807357244044052e-41 4.771792750343579e-39 9.398675293020461e-39
3.4676881953794695e-07 5.468268497943037e-46 7.216142421433204e-46 1.9941207870632246e-45 8.97855114120887e-45 4.401286138009761e-43 4.943389737048645e-41 5.057125574614555e-39 1.0038519290551706e-38
3.548542818811901e-07 5.3566599461105606e-46 7.074355164981285e-46 1.9658159095692132e-45 9.00130853001267e-45 4.502922413861597e-43 5.084042443638395e-41 5.3613391033004176e-39 1.0723210253952607e-38
3.6312826954049566e-07 5.247360352606145e-46 6.935425295626463e-46 1.938052929616248e-45 9.026925338945375e-45 4.6070156792353654e-43 5.229510072362834e-41 5.6857379856398126e-39 1.1455928206365233e-38
3.715951782811629e-07 5.140321473951664e-46 6.7992943148260156e-46 1.9108222286506362e-45 9.055450750507006e-45 4.713624749854559e-43 5.379997168823238e-41 6.031718676966402e-39 1.2240080071577985e-38
3.8025950636269697e-07 5.035496082598143e-46 6.66590493597767e-46 1.8841143896781578e-45 9.086936290224521e-45 4.82281004585256e-43 5.535718678699948e-41 6.400775956076798e-39 1.3079316025906676e-38
3.89125856928623e-07 4.932837945393795e-46 6.535201059078729e-46 1.8579201936290123e-45 9.121435875117094e-45 4.934633635987101e-43 5.696900545966171e-41 6.794509907543638e-39 1.397754676553074e-38
3.9819894045202297e-07 4.8323018025109815e-46 6.4071277459192244e-46 1.8322306158092353e-45 9.159005862020327e-45 5.049159283823878e-43 5.863780348646628e-41 7.214633402500166e-39 1.4938961840525288e-38
