# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 3.031887723591282e-43 4.0450051918382225e-43 1.2133431098299229e-42 7.747526459691135e-42 6.014798602066185e-39 1.409480614589128e-35 1.6305322277864266e-32 4.057665534961264e-32
3.2360111549336787e-07 3.039508135911362e-43 4.058580602521687e-43 1.2253920223891972e-42 8.020191701100496e-42 6.566351323615646e-39 1.5325219098647048e-35 1.787812802373313e-32 4.449518573901762e-32
3.311463862505236e-07 3.0471669515285045e-43 4.072247438118286e-43 1.2376729327149339e-42 8.306925268632155e-42 7.168444260193121e-39 1.6668292115319517e-35 1.960274224768357e-32 4.8792149255831195e-32
3.388675869043115e-07 3.054864462033628e-43 4.086006625444792e-43 1.2501922348295901e-42 8.608621601928241e-42 7.8256044251341e-39 1.8134620971578664e-35 2.1493822165318253e-32 5.350409395972295e-32
3.4676881953794695e-07 3.0626009609826112e-43 4.0998591033490384e-43 1.2629565456336286e-42 8.926240975155332e-42 8.542741028664748e-39 1.9735811117118974e-35 2.3567440371040196e-32 5.867109766107177e-32
3.548542818811901e-07 3.0703767454532513e-43 4.11380582364789e-43 1.2759727141383419e-42 9.260814909459846e-42 9.325173533939683e-39 2.148457454896187e-35 2.584122152459175e-32 6.433710881992362e-32
3.6312826954049566e-07 3.0781921153210575e-43 4.1278477512779496e-43 1.2892478311381481e-42 9.613452069717782e-42 1.0178661105803228e-38 2.3394836010989584e-35 2.833449223842762e-32 7.055032036915068e-32
3.715951782811629e-07 3.0860473739150593e-43 4.1419858642523975e-43 1.3027892393454997e-42 9.985344691733008e-42 1.1109433421914835e-38 2.548184941858448e-35 3.1068445440369116e-32 7.736357964046263e-32
3.8025950636269697e-07 3.093942826997524e-43 4.156221153959675e-43 1.3166045440136215e-42 1.0377775590627449e-41 1.2124222799255365e-38 2.776232549482013e-35 3.4066320610061775e-32 8.483483788137842e-32
3.89125856928623e-07 3.1018787842301688e-43 4.1705546256484565e-43 1.3307016240732685e-42 1.0792125806223126e-41 1.3230297571445842e-38 3.025457169901047e-35 3.735360142181871e-32 9.302764318564127e-32
3.9819894045202297e-07 3.1098555576026997e-43 4.184987298222306e-43 1.3450886438115746e-42 1.1229882946782642e-41 1.443549663436736e-38 3.297864563335388e-35 4.0958232475158426e-32 1.0201168103049972e-31
4.0748357723809307e-07 3.1178734632203776e-43 4.1995202049510906e-43 1.3597740651225138e-42 1.1692650298608006e-41 1.5748265059857814e-38 3.595652322766666e-35 4.4910856956559335e-32 1.1186336701886957e-31
4.169846999850535e-07 3.1259328200057235e-43 4.214154393426411e-43 1.3747666603606864e-42 1.218215677574927e-41 1.7177690660759786e-38 3.921228312745643e-35 4.924507725365508e-32 1.2266649686760717e-31
4.2670735640476865e-07 3.1340339500244697e-43 4.228890925805709e-43 1.3900755258314786e-42 1.270026779150745e-41 1.8733541376317863e-38 4.2772308848589545e-35 5.399774073892608e-32 1.3451295917155641e-31
4.3665671190447213e-07 3.1421771785953805e-43 4.243730879149391e-43 1.4057100959533516e-42 1.3248997141599125e-41 2.042630333633582e-38 4.666551041215363e-35 5.920925315329479e-32 1.475035170051733e-31
4.4683805233101997e-07 3.150362835516993e-43 4.258675345847329e-43 1.4216801581294157e-42 1.3830519997852277e-41 2.226721945703069e-38 5.092356733914875e-35 6.492392225561249e-32 1.6174866501110034e-31
4.572567867791303e-07 3.1585912527750653e-43 4.273725433506168e-43 1.4379958683687647e-42 1.4447187121208106e-41 2.4268328423079974e-38 5.558119506541436e-35 7.119033466063607e-32 1.773695692650982e-31
4.6791845046510194e-07 3.1668627664244915e-43 4.288882265543501e-43 1.454667767699507e-42 1.5101540413694768e-41 2.6442503920901394e-38 6.067643703677378e-35 7.806176907121101e-32 1.9449909791287902e-31
4.788287076675383e-07 3.175177715449532e-43 4.3041469813259366e-43 1.471706799418735e-42 1.57963299410116e-41 2.8803494009893395e-38 6.625098496200484e-35 8.559664941931513e-32 2.132829513449342e-31
4.899933547366384e-07 3.183536443408349e-43 4.319520736466914e-43 1.4891243272275335e-42 1.6534532570518947e-41 3.1365960553381314e-38 7.235052994027081e-35 9.38590417698595e-32 2.3388090152157277e-31
5.014183231736547e-07 3.1919392967963404e-43 4.335004703154824e-43 1.5069321543015553e-42 1.7319372383875877e-41 3.414551868189118e-38 7.902514744315685e-35 1.0291919921496468e-31 2.5646815099275605e-31
5.131096827821533e-07 3.200386625646011e-43 4.350600070371971e-43 1.5251425433517194e-42 1.815434303942862e-41 3.715877632982283e-38 8.632971941727544e-35 1.1285415939229663e-31 2.8123682316961865e-31
5.250736448927506e-07 3.2088787847754487e-43 4.366308044390357e-43 1.543768237732342e-42 1.904323227685041e-41 4.042337397485621e-38 9.432439709033752e-35 1.2374839971071074e-31 3.0839759652610217e-31
5.373165656630395e-07 3.217416131132596e-43 4.3821298487761406e-43 1.562822483658614e-42 1.9990148775610216e-41 4.395802481889124e-38 1.030751084082087e-34 1.3569455585567882e-31 3.3818149662933318e-31
5.4984494945446e-07 3.22599902660517e-43 4.398066724913508e-43 1.582319053597806e-42 2.0999551599744992e-41 4.778255578086546e-38 1.1265411441091505e-34 1.4879420968684336e-31 3.708418612439149e-31
5.626654522879044e-07 3.2346278368531913e-43 4.414119932391758e-43 1.6022722709049447e-42 2.2076282484293372e-41 5.191794982558977e-38 1.231406192702787e-34 1.6315875322876198e-31 4.066564952236534e-31
5.757848853798981e-07 3.2433029311849308e-43 4.430290749138759e-43 1.6226970357760914e-42 2.3225601243776285e-41 5.638639032770978e-38 1.3462143916869544e-34 1.7891033610432785e-31 4.459300335215196e-31
5.892102187612295e-07 3.2520246831047067e-43 4.4465804718704775e-43 1.6436088525987926e-42 2.4453224610474584e-41 6.121130836522818e-38 1.4719173569838203e-34 1.9618290446964769e-31 4.8899653241775925e-31
6.029485849799565e-07 3.260793469767935e-43 4.46299041636303e-43 1.6650238587839082e-42 2.576536884013034e-41 6.641743404752219e-38 1.6095582000764148e-34 2.1512334028620135e-31 5.362223110041213e-31
6.17007282890752e-07 3.2696096729885476e-43 4.479521918035267e-43 1.6869588551682888e-42 2.716879645530612e-41 7.203085320784837e-38 1.7602803452528984e-34 2.3589271062376884e-31 5.880090671013482e-31
6.313937815326057e-07 3.2784736779559344e-43 4.49617633188421e-43 1.709431338084693e-42 2.867086753217529e-41 7.807907101931546e-38 1.9253371974777708e-34 2.5866763761585454e-31 6.447972941022629e-31
6.461157240969403e-07 3.2873858746269035e-43 4.512955033285734e-43 1.732459533200861e-42 3.0279595975225094e-41 8.459108432749856e-38 2.106102743048767e-34 2.8364180072640233e-31 7.070700278193884e-31
6.611809319882495e-07 3.2963466575422102e-43 4.5298594181206855e-43 1.756062431237233e-42 3.2003711266463865e-41 9.159746471562171e-38 2.3040831730383333e-34 3.110275841006205e-31 7.753569551946268e-31
6.765974089794179e-07 3.305356424556233e-43 4.54689090317983e-43 1.7802598256797085e-42 3.385272622148928e-41 9.913045453233464e-38 2.5209296282669496e-34 3.410578830137976e-31 8.502389198239386e-31
