# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-10 inf
1.3848863713938747e-10 inf
1.9179102616724848e-10 inf
2.656087782946684e-10 inf
3.6783797718286343e-10 inf
5.094138014816385e-10 inf
7.054802310718631e-10 inf
9.770099572992246e-10 inf
1.3530477745798075e-09 inf
1.873817422860387e-09 inf
2.595024211399732e-09 inf
3.5938136638046257e-09 inf
4.977023564332114e-09 inf
6.892612104349681e-09 inf
9.545484566618328e-09 inf
1.3219411484660288e-08 inf
1.8307382802953696e-08 inf
2.5353644939701113e-08 inf
3.5111917342151277e-08 inf
4.8626015800653535e-08 inf
6.734150657750828e-08 inf
9.3260334688322e-08 inf
1.2915496650148827e-07 inf
1.7886495290574352e-07 inf
2.4770763559917087e-07 inf
3.430469286314912e-07 inf
4.7508101621027934e-07 inf
6.579332246575682e-07 inf
9.111627561154887e-07 inf
1.261856883066021e-06 inf
1.747528400007683e-06 inf
2.4201282647943835e-06 inf
3.3516026509388406e-06 inf
4.641588833612773e-06 inf
6.4280731172843194e-06 inf
8.902150854450375e-06 inf
1.2328467394420658e-05 inf
1.7073526474706886e-05 inf
2.3644894126454072e-05 inf
3.274549162877725e-05 2.6654756352556077e-24
4.534878508128582e-05 2.0260111634344885e-26
6.280291441834246e-05 9.721327365473057e-27
8.697490026177834e-05 1.0708107899625773e-26
0.00012045035402587811 1.799307377566262e-26
0.0001668100537200059 3.764773258415676e-26
0.0002310129700083158 7.796428613516689e-26
0.00031992671377973844 9.125774985119707e-26
0.00044306214575838776 1.0162113343565747e-25
0.0006135907273413163 1.488827476657022e-25
0.0008497534359086438 2.1125822495319346e-25
0.0011768119524349966 2.8949247113766454e-25
0.0016297508346206436 4.025070093409489e-25
0.002257019719633917 5.572330558400149e-25
0.0031257158496882354 7.710520923835043e-25
0.004328761281083053 1.0670531639216006e-24
0.005994842503189409 1.4782941343006583e-24
0.008302175681319735 2.0470657676850716e-24
0.011497569953977356 2.8352051125167314e-24
0.01592282793341094 3.926270240276617e-24
0.022051307399030412 5.4375077985714926e-24
0.030538555088334123 7.53125761271855e-24
0.04229242874389499 1.0431940781367357e-23
0.058570208180566734 1.4450593465641824e-23
0.08111308307896856 2.002301841347908e-23
0.11233240329780265 2.7759414185097496e-23
0.15556761439304723 3.852190830319835e-23
0.21544346900318778 5.355602047423088e-23
0.2983647240283334 7.472110993303239e-23
0.41320124001153347 1.049487027273381e-22
0.572236765935022 1.492388377593325e-22
0.7924828983539153 2.170492127324598e-22
1.0974987654930546 3.28170538889796e-22
1.5199110829529332 5.277859268572552e-22
2.104904144512022 9.250316102336357e-22
2.91505306282517 1.7911321842945976e-21
4.03701725859655 3.8040935136126e-21
5.5908101825122225 8.629458365050116e-21
7.742636826811277 2.0164035376576898e-20
10.72267222010321 4.669714120892872e-20
14.849682622544636 1.031864810173052e-19
20.565123083486515 2.1051229879024423e-19
28.48035868435793 3.892959431852432e-19
39.44206059437648 6.546712091636116e-19
54.62277217684337 1.0213290483222113e-18
75.64633275546291 1.5145711129631792e-18
104.76157527896619 2.178022611862463e-18
145.08287784959373 3.077960250917442e-18
200.92330025650458 4.308554274731205e-18
278.2559402207126 6.0005752674312264e-18
385.352859371052 8.334674194113862e-18
533.6699231206302 1.1560392321943706e-17
739.0722033525775 1.602272391083895e-17
1023.5310218990269 2.2198974101642044e-17
1417.474162926802 3.074979242565531e-17
1963.0406500402685 4.2589833824500657e-17
2718.58824273294 5.898559422501705e-17
3764.935806792456 8.169088303471885e-17
5214.0082879996735 1.131344229353238e-16
7220.8090183854565 1.5667964360191309e-16
10000.0 2.1698445852682522e-16
