# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1e-10 3.127847869344367e-32 3.1300779170241365e-32 5.030621163516543e-32 1.087188114007373e-31 9.660821249263451e-31 8.669143225743986e-28
1.3848863713938747e-10 2.1557149500519373e-32 2.1585233846944763e-32 3.632529004229751e-32 7.850378226163777e-32 6.9758960194660135e-31 6.2598256392652835e-28
1.9179102616724848e-10 1.4888072676043136e-32 1.4923527746769617e-32 2.622982533538321e-32 5.668608859456798e-32 5.037163367404811e-31 4.520104552316202e-28
2.656087782946684e-10 1.030173055636939e-32 1.0346514417576809e-32 1.8940062965535674e-32 4.093195128394335e-32 3.6372423672561654e-31 3.26388676009993e-28
3.6783797718286343e-10 7.140670883063941e-33 7.197082807457495e-33 1.367626158353343e-32 2.955619322735793e-32 2.626387272738326e-31 2.3567979578793207e-28
5.094138014816385e-10 4.957531621019649e-33 5.027989041042384e-33 9.87537145491777e-33 2.1341980521412236e-32 1.8964696186748334e-31 1.7018093167084463e-28
7.054802310718631e-10 3.446965227821298e-33 3.533356734774038e-33 7.13082264189079e-33 1.541066118732822e-32 1.3694121092583647e-31 1.2288586313079496e-28
9.770099572992246e-10 2.3999728355098284e-33 2.50231624029248e-33 5.149038429806987e-33 1.1127778210895874e-32 9.888368884981353e-32 8.873556355769002e-29
1.3530477745798075e-09 1.6731383501769777e-33 1.7877359669606326e-33 3.7180328081897435e-33 8.035203317251252e-33 7.140348741512635e-32 6.407706512948888e-29
1.873817422860387e-09 1.1678201300589145e-33 1.2865539182494142e-33 2.684735016551756e-33 5.802132213910946e-33 5.15611230691661e-32 4.627271544619662e-29
2.595024211399732e-09 8.160279112550501e-34 9.290874735578514e-34 1.938616008464259e-33 4.189699373812115e-33 3.7234111477304284e-32 3.3418032108351263e-29
3.5938136638046257e-09 5.708066138945507e-34 6.712095193187411e-34 1.399865466375818e-33 3.0254272474956275e-33 2.688993124660442e-32 2.413798563922726e-29
4.977023564332114e-09 3.996698410311307e-34 4.847587241625466e-34 1.0108547094920291e-33 2.1847768082061354e-33 1.9422093907899266e-32 1.7439916651373538e-29
6.892612104349681e-09 2.801040260217465e-34 3.500602914512562e-34 7.2997230684147536e-34 1.5778259378825272e-33 1.403178589805451e-32 1.2607355898535088e-29
9.545484566618328e-09 1.9648282533837585e-34 2.5279101079100833e-34 5.271730044135426e-34 1.1396506666656495e-33 1.0142422173463957e-32 9.123390509992545e-30
1.3219411484660288e-08 1.3794468491852941e-34 1.8255948614475712e-34 3.807638361652746e-34 8.233803417403008e-34 7.337972059284555e-33 6.615384858074405e-30
1.8307382802953696e-08 9.692993271221094e-35 1.3185529439370467e-34 2.7508360728092143e-34 5.951837611739341e-34 5.3184616584051315e-33 4.815156177369445e-30
2.5353644939701113e-08 6.817054084666658e-35 9.525498002875352e-35 1.9882745104538154e-34 4.30649706593946e-34 3.867897051805118e-33 3.530382021159923e-30
3.5111917342151277e-08 4.799124052584733e-35 6.884319854456348e-35 1.4383704085711646e-34 3.1217408603392467e-34 2.8311874159425508e-33 2.624275725034611e-30
4.8626015800653535e-08 3.382517820095467e-35 4.97937909053263e-35 1.042265618494972e-34 2.270726527453775e-34 2.0976243046133995e-33 2.0015981766304384e-30
6.734150657750828e-08 2.3877590361848585e-35 3.606666612595332e-35 7.5749871603548e-35 1.662138681683383e-34 1.589204068622923e-33 1.6000893623750436e-30
9.3260334688322e-08 1.6891647548091307e-35 2.6187765401169304e-35 5.533924459658312e-35 1.2301876868193715e-34 1.25263709205699e-33 1.3874986597565713e-30
1.2915496650148827e-07 1.1984936383244321e-35 1.9088336088812865e-35 4.076483761917388e-35 9.271294052904217e-35 1.0542493787158796e-33 1.363919768232024e-30
1.7886495290574352e-07 8.535538050996689e-36 1.398796467973969e-35 3.038365717322075e-35 7.176146524031432e-35 9.769893968763029e-34 1.5578203872938167e-30
2.4770763559917087e-07 6.104445491521036e-36 1.0314051156698591e-35 2.2971193124417881e-35 5.749392140439265e-35 1.0187545365173595e-33 1.9948673482591655e-30
3.430469286314912e-07 4.384011318251093e-36 7.651279030620312e-36 1.76300088003972e-35 4.7945857690489254e-35 1.191919878868159e-33 2.703009818698421e-30
4.7508101621027934e-07 3.1613435287929785e-36 5.705997362398256e-36 1.3731213234440543e-35 4.180170891428541e-35 1.523744264422169e-33 3.7800116445032054e-30
6.579332246575682e-07 2.2897511330234104e-36 4.2740294489930496e-36 1.0849405630277451e-35 3.8299858001330907e-35 2.0614300428584766e-33 5.456766453806046e-30
9.111627561154887e-07 1.6672064776466822e-36 3.213226099349767e-36 8.698872576828261e-36 3.7127581566684286e-35 2.896232215579071e-33 8.242986223194111e-30
1.261856883066021e-06 1.2213366615049592e-36 2.4234601591344856e-36 7.085700062313123e-36 3.8379032255425416e-35 4.2223175337996914e-33 1.3353514351184643e-29
