# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-10 inf
1.3848863713938747e-10 inf
1.9179102616724848e-10 inf
2.656087782946684e-10 inf
3.6783797718286343e-10 inf
5.094138014816385e-10 inf
7.054802310718631e-10 inf
9.770099572992246e-10 inf
1.3530477745798075e-09 inf
1.873817422860387e-09 inf
2.595024211399732e-09 inf
3.5938136638046257e-09 inf
4.977023564332114e-09 inf
6.892612104349681e-09 inf
9.545484566618328e-09 inf
1.3219411484660288e-08 inf
1.8307382802953696e-08 inf
2.5353644939701113e-08 inf
3.5111917342151277e-08 inf
4.8626015800653535e-08 inf
6.734150657750828e-08 inf
9.3260334688322e-08 inf
1.2915496650148827e-07 inf
1.7886495290574352e-07 inf
2.4770763559917087e-07 inf
3.430469286314912e-07 inf
4.7508101621027934e-07 inf
6.579332246575682e-07 inf
9.111627561154887e-07 inf
1.261856883066021e-06 inf
1.747528400007683e-06 inf
2.4201282647943835e-06 inf
3.3516026509388406e-06 inf
4.641588833612773e-06 inf
6.4280731172843194e-06 inf
8.902150854450375e-06 inf
1.2328467394420658e-05 inf
1.7073526474706886e-05 inf
2.3644894126454072e-05 inf
3.274549162877725e-05 inf
4.534878508128582e-05 2.0066687369981518e-26
6.280291441834246e-05 9.348148425687033e-27
8.697490026177834e-05 1.0148860844113121e-26
0.00012045035402587811 1.692590238094105e-26
0.0001668100537200059 3.527683434321153e-26
0.0002310129700083158 7.357472709026063e-26
0.00031992671377973844 8.893870499972306e-26
0.00044306214575838776 1.0050975765452797e-25
0.0006135907273413163 1.4790735893203163e-25
0.0008497534359086438 2.105178763752426e-25
0.0011768119524349966 2.88974051105692e-25
0.0016297508346206436 4.021350000403827e-25
0.002257019719633917 5.569676377596268e-25
0.0031257158496882354 7.708706102026302e-25
0.004328761281083053 1.0669263831173708e-24
0.005994842503189409 1.4782043294289939e-24
0.008302175681319735 2.047003462611081e-24
0.011497569953977356 2.8351635021398747e-24
0.01592282793341094 3.926242906420344e-24
0.022051307399030412 5.4374896854581214e-24
0.030538555088334123 7.531245082337406e-24
0.04229242874389499 1.04319316727779e-23
0.058570208180566734 1.4450587413883851e-23
0.08111308307896856 2.002301429503531e-23
0.11233240329780265 2.775941033217486e-23
0.15556761439304723 3.8521904212967923e-23
0.21544346900318778 5.355601665543306e-23
0.2983647240283334 7.472110683767985e-23
0.41320124001153347 1.0494870068382985e-22
0.572236765935022 1.4923883714191374e-22
0.7924828983539153 2.1704921322351475e-22
1.0974987654930546 3.281705398795017e-22
1.5199110829529332 5.27785927375891e-22
2.104904144512022 9.250316094394764e-22
2.91505306282517 1.7911321808430012e-21
4.03701725859655 3.8040935044435944e-21
5.5908101825122225 8.629458342599209e-21
7.742636826811277 2.0164035324135102e-20
10.72267222010321 4.669714109501988e-20
14.849682622544636 1.0318648079847454e-19
20.565123083486515 2.1051229843444045e-19
28.48035868435793 3.8929594271928096e-19
39.44206059437648 6.546712086704871e-19
54.62277217684337 1.0213290478668416e-18
75.64633275546291 1.5145711125788214e-18
104.76157527896619 2.178022611571215e-18
145.08287784959373 3.077960250729446e-18
200.92330025650458 4.3085542746419616e-18
278.2559402207126 6.0005752674121366e-18
385.352859371052 8.334674194139373e-18
533.6699231206302 1.1560392322021591e-17
739.0722033525775 1.602272391096949e-17
1023.5310218990269 2.2198974101796137e-17
1417.474162926802 3.074979242579221e-17
1963.0406500402685 4.258983382457456e-17
2718.58824273294 5.898559422502554e-17
3764.935806792456 8.169088303472541e-17
5214.0082879996735 1.1313442293536232e-16
7220.8090183854565 1.566796436019484e-16
10000.0 2.169844585268298e-16
