# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
1e-10 inf inf inf
1.3848863713938747e-10 inf inf inf
1.9179102616724848e-10 inf inf inf
2.656087782946684e-10 inf inf inf
3.6783797718286343e-10 inf inf inf
5.094138014816385e-10 inf inf inf
7.054802310718631e-10 inf inf inf
9.770099572992246e-10 inf inf inf
1.3530477745798075e-09 inf inf inf
1.873817422860387e-09 inf inf inf
2.595024211399732e-09 inf inf inf
3.5938136638046257e-09 inf inf inf
4.977023564332114e-09 inf inf inf
6.892612104349681e-09 inf inf inf
9.545484566618328e-09 inf inf inf
1.3219411484660288e-08 inf inf inf
1.8307382802953696e-08 inf inf inf
2.5353644939701113e-08 inf inf inf
3.5111917342151277e-08 inf inf inf
4.8626015800653535e-08 inf inf inf
6.734150657750828e-08 inf inf inf
9.3260334688322e-08 inf inf inf
1.2915496650148827e-07 inf inf inf
1.7886495290574352e-07 inf inf inf
2.4770763559917087e-07 inf inf inf
3.430469286314912e-07 2.5004452130929923e-30 2.9856138745324672e-30 2.579386530863448e-28
4.7508101621027934e-07 1.444146727414401e-31 1.9542317916739792e-31 3.972767146447126e-29
6.579332246575682e-07 2.655406412945799e-32 4.40281054481632e-32 1.9656184293184854e-29
9.111627561154887e-07 8.720122210832885e-33 1.966100363708308e-32 1.7127596769373312e-29
1.261856883066021e-06 3.98272778527088e-33 1.3855874618425495e-32 2.0888182205569028e-29
1.747528400007683e-06 2.2089062519528235e-33 1.3597194720964632e-32 3.228565416504342e-29
2.4201282647943835e-06 1.3745370213896755e-33 1.7170750258592087e-32 6.000641449174914e-29
3.3516026509388406e-06 9.147667850842246e-34 2.6469814263425396e-32 1.2772211077526452e-28
4.641588833612773e-06 6.325663477587001e-34 4.792629766445452e-32 2.9703579189833215e-28
6.4280731172843194e-06 4.470406327625912e-34 9.848691462586499e-32 7.292145507509686e-28
8.902150854450375e-06 3.200824417935427e-34 2.2211128522658755e-31 1.8491023326595858e-27
1.2328467394420658e-05 2.3138053643195684e-34 5.334517231570715e-31 4.779842677474283e-27
1.7073526474706886e-05 1.6894136970667183e-34 1.3335447887068837e-30 1.2496537989064884e-26
2.3644894126454072e-05 1.2515636068448218e-34 3.416668831098208e-30 3.288835735147138e-26
3.274549162877725e-05 9.501658967012251e-35 8.884536375488254e-30 8.688512530614438e-26
