mx,sigma
1e-10,inf
1.3848863713938747e-10,inf
1.9179102616724848e-10,inf
2.656087782946684e-10,inf
3.6783797718286343e-10,inf
5.094138014816385e-10,inf
7.054802310718631e-10,inf
9.770099572992246e-10,inf
1.3530477745798075e-09,inf
1.873817422860387e-09,inf
2.595024211399732e-09,inf
3.5938136638046257e-09,inf
4.977023564332114e-09,inf
6.892612104349681e-09,inf
9.545484566618328e-09,6.934233010652576e-28
1.3219411484660288e-08,5.298546004258924e-30
1.8307382802953696e-08,5.025624357302804e-31
2.5353644939701113e-08,1.0704995278191293e-31
3.5111917342151277e-08,3.509377986159196e-32
4.8626015800653535e-08,1.477281491470003e-32
6.734150657750828e-08,7.257575018500073e-33
9.3260334688322e-08,3.951081000422318e-33
1.2915496650148827e-07,2.3169835798356176e-33
1.7886495290574352e-07,1.4400996138252612e-33
2.4770763559917087e-07,9.38019867904961e-34
3.430469286314912e-07,6.336794561169281e-34
4.7508101621027934e-07,4.398285459494811e-34
6.579332246575682e-07,3.115566773097031e-34
9.111627561154887e-07,2.2455076894982525e-34
1.261856883066021e-06,1.6485315010484356e-34
1.747528400007683e-06,1.2395492169773502e-34
2.4201282647943835e-06,9.63367071252803e-35
3.3516026509388406e-06,7.817392386017455e-35
4.641588833612773e-06,6.670259405155426e-35
6.4280731172843194e-06,6.002335423594486e-35
8.902150854450375e-06,5.708562618404867e-35
1.2328467394420658e-05,5.764320462019637e-35
1.7073526474706886e-05,6.221539604224486e-35
2.3644894126454072e-05,7.21837353035683e-35
3.274549162877725e-05,9.006842949674608e-35
4.534878508128582e-05,1.2000082681429258e-34
6.280291441834246e-05,1.6873104548973766e-34
8.697490026177834e-05,2.483744119367611e-34
0.00012045035402587811,3.831478104650151e-34
0.0001668100537200059,6.247176146887459e-34
0.0002310129700083158,1.0892320222905612e-33
0.00031992671377973844,2.051840853331901e-33
0.00044306214575838776,4.193854772874135e-33
0.0006135907273413163,9.253520989271057e-33
0.0008497534359086438,2.1738784948431083e-32
0.0011768119524349966,5.344344676685397e-32
0.0016297508346206436,1.3540354976539579e-31
0.002257019719633917,3.4961406831569774e-31
0.0031257158496882354,9.131965024919127e-31
0.004328761281083053,2.401774227564932e-30
0.005994842503189409,6.342185437083585e-30
0.008302175681319735,1.6784210095557278e-29
0.011497569953977356,4.4462684551497844e-29
0.01592282793341094,1.17789844246095e-28
0.022051307399030412,3.1173749384234747e-28
0.030538555088334123,8.229752712101924e-28
0.04229242874389499,2.1616539980862406e-27
0.058570208180566734,5.623272671591775e-27
0.08111308307896856,1.437002852562631e-26
0.11233240329780265,3.558473649765295e-26
0.15556761439304723,8.365930617727572e-26
0.21544346900318778,1.8209330286376209e-25
0.2983647240283334,3.5927064879137517e-25
0.41320124001153347,6.390517498432162e-25
0.572236765935022,1.0391050617155063e-24
0.7924828983539153,1.5827454598520908e-24
1.0974987654930546,2.3123771443907405e-24
1.5199110829529332,3.2970056850528467e-24
2.104904144512022,4.6378553792260876e-24
2.91505306282517,6.477167456120945e-24
4.03701725859655,9.012634960558142e-24
5.5908101825122225,1.251932899212351e-23
7.742636826811277,1.7382240407817275e-23
10.72267222010321,2.414529441714015e-23
14.849682622544636,3.3587838641758596e-23
20.565123083486515,4.684981185131867e-23
28.48035868435793,6.564779178370665e-23
39.44206059437648,9.266824938145068e-23
54.62277217684337,1.3231925519167101e-22
75.64633275546291,1.9223249187223152e-22
104.76157527896619,2.863936356740613e-22
145.08287784959373,4.419506156397632e-22
200.92330025650458,7.146791296944516e-22
278.2559402207126,1.2255875647847152e-21
385.352859371052,2.250368280239704e-21
533.6699231206302,4.4408914545437555e-21
739.0722033525775,9.363861110897279e-21
1023.5310218990269,2.072603044200316e-20
1417.474162926802,4.677541352489372e-20
1963.0406500402685,1.0370974413179562e-19
2718.58824273294,2.1731489580470035e-19
3764.935806792456,4.177824975982891e-19
5214.0082879996735,7.299247575782124e-19
7220.8090183854565,1.1729051711811757e-18
10000.0,1.7735910347387076e-18
