# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 7.880957063872752e-36
3.2360111549336787e-07 8.073134782658995e-36
3.311463862505236e-07 8.271895360334631e-36
3.388675869043115e-07 8.477498857926441e-36
3.4676881953794695e-07 8.690216803102076e-36
3.548542818811901e-07 8.910331698086708e-36
3.6312826954049566e-07 9.138137903785273e-36
3.715951782811629e-07 9.373944117234598e-36
3.8025950636269697e-07 9.618077141159857e-36
3.89125856928623e-07 9.870886418040484e-36
3.9819894045202297e-07 1.013274833759628e-35
4.0748357723809307e-07 1.0404069417604668e-35
4.169846999850535e-07 1.0685287638241723e-35
4.2670735640476865e-07 1.097687167629371e-35
4.3665671190447213e-07 1.1279318851155831e-35
4.4683805233101997e-07 1.1593152733826209e-35
4.572567867791303e-07 1.1918922211533908e-35
4.6791845046510194e-07 1.2257203130016074e-35
4.788287076675383e-07 1.260860300793433e-35
4.899933547366384e-07 1.2973768026567468e-35
5.014183231736547e-07 1.3353390467293342e-35
5.131096827821533e-07 1.374821439897927e-35
5.250736448927506e-07 1.4159038094335735e-35
5.373165656630395e-07 1.458671325321366e-35
5.4984494945446e-07 1.5032142873037683e-35
5.626654522879044e-07 1.549628078977787e-35
5.757848853798981e-07 1.5980135191262828e-35
5.892102187612295e-07 1.6484776732241565e-35
6.029485849799565e-07 1.7011348814436978e-35
6.17007282890752e-07 1.756107726492405e-35
6.313937815326057e-07 1.8135274157105063e-35
6.461157240969403e-07 1.8735339807986638e-35
6.611809319882495e-07 1.9362762308769361e-35
6.765974089794179e-07 2.0019121323759357e-35
6.923733454639272e-07 2.0706097413806108e-35
7.085171228072106e-07 2.1425485399843662e-35
7.250373177994646e-07 2.2179205614957424e-35
7.419427072122865e-07 2.2969311802920537e-35
7.592422724615558e-07 2.3797994649611064e-35
7.769452043790388e-07 2.4667587199632744e-35
7.950609080952509e-07 2.5580575883958517e-35
8.135990080361694e-07 2.653961615293218e-35
8.325693530364543e-07 2.7547547734367814e-35
8.519820215718901e-07 2.8607405847138644e-35
8.718473271138315e-07 2.9722430538211085e-35
8.921758236084957e-07 3.089607920257309e-35
9.12978311084014e-07 3.2132044490534903e-35
9.342658413882192e-07 3.3434274150836537e-35
9.560497240602198e-07 3.4806988655803867e-35
9.78341532338879e-07 3.62546973977902e-35
