# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 5.0792320011549445e-34
3.2360111549336787e-07 5.512155297819395e-34
3.311463862505236e-07 5.9841776244778254e-34
3.388675869043115e-07 6.498937853591318e-34
3.4676881953794695e-07 7.0604220075055e-34
3.548542818811901e-07 7.6729960490556814e-34
3.6312826954049566e-07 8.341441877198818e-34
3.715951782811629e-07 9.07099686312976e-34
3.8025950636269697e-07 9.867397273471324e-34
3.89125856928623e-07 1.073692594652677e-33
3.9819894045202297e-07 1.1686464615862724e-33
4.0748357723809307e-07 1.2723551312033951e-33
4.169846999850535e-07 1.3856443316856343e-33
4.2670735640476865e-07 1.5094186194057053e-33
4.3665671190447213e-07 1.6446689474522824e-33
4.4683805233101997e-07 1.7924809633287974e-33
4.572567867791303e-07 1.954044105917115e-33
4.6791845046510194e-07 2.1306615786893846e-33
4.788287076675383e-07 2.3237612833806074e-33
4.899933547366384e-07 2.534907807147642e-33
5.014183231736547e-07 2.7658155631936843e-33
5.131096827821533e-07 3.0183631941312463e-33
5.250736448927506e-07 3.294609367225042e-33
5.373165656630395e-07 3.596810070418367e-33
5.4984494945446e-07 3.927437572553973e-33
5.626654522879044e-07 4.2892011801238104e-33
5.757848853798981e-07 4.685069952464957e-33
5.892102187612295e-07 5.1182975368947975e-33
6.029485849799565e-07 5.592449290147276e-33
6.17007282890752e-07 6.111432712272707e-33
6.313937815326057e-07 6.679526912895753e-33
6.461157240969403e-07 7.301421135540648e-33
6.611809319882495e-07 7.982250670073067e-33
6.765974089794179e-07 8.72764640609369e-33
6.923733454639272e-07 9.543752319967642e-33
7.085171228072106e-07 1.0437329988092459e-32
7.250373177994646e-07 1.1415716438819539e-32
7.419427072122865e-07 1.2487032849078866e-32
7.592422724615558e-07 1.3660006270056608e-32
7.769452043790388e-07 1.4944405858118297e-32
7.950609080952509e-07 1.635055353961933e-32
8.135990080361694e-07 1.7890237710652297e-32
8.325693530364543e-07 1.9575573503850395e-32
8.519820215718901e-07 2.1420859829978705e-32
8.718473271138315e-07 2.3440848497703918e-32
8.921758236084957e-07 2.565099262046419e-32
9.12978311084014e-07 2.8070693716271584e-32
9.342658413882192e-07 3.071878915840012e-32
9.560497240602198e-07 3.361658741136314e-32
9.78341532338879e-07 3.6784515660511644e-32
1.0011531093113902e-06 4.0252857949292226e-32
1.0244965742052174e-06 4.404720141352537e-32
1.048384328826741e-06 4.8197894853377487e-32
1.0728290641500308e-06 5.273065403305095e-32
1.0978437670592484e-06 5.769483880686835e-32
1.1234417272482566e-06 6.312420181650408e-32
1.149636544281106e-06 6.906216322402634e-32
1.1764421348171486e-06 7.555626173267536e-32
1.2038727400046132e-06 8.265855897061618e-32
1.2319429330465773e-06 9.042608327589029e-32
1.2606676269433496e-06 9.889092893025524e-32
1.2900620824153782e-06 1.0817637408636481e-31
1.3201419160108953e-06 1.1833209222761028e-31
1.3509231084026028e-06 1.294402212634243e-31
1.38242201287781e-06 1.4159080345526236e-31
1.4146553640265304e-06 1.5488255377513881e-31
1.447640286632156e-06 1.6942370161763835e-31
1.4813943047694329e-06 1.8533291288571273e-31
1.5159353511145682e-06 2.0274030017564265e-31
1.5512817764724183e-06 2.217885295568279e-31
1.587452359525819e-06 2.426340332834519e-31
1.6244663168122348e-06 2.654483386939712e-31
1.6623433129330315e-06 2.904195245585091e-31
1.7011034710007933e-06 3.175364884819281e-31
1.740767383330235e-06 3.474297141239334e-31
1.7813561223783898e-06 3.801565517140896e-31
1.8228912519398869e-06 4.159884951087122e-31
1.8653948386032614e-06 4.552232252485272e-31
1.908889463474389e-06 4.981871334637501e-31
1.9533982341732686e-06 5.452380879746297e-31
1.9989447971105317e-06 5.967684671256267e-31
2.045553350050195e-06 6.532084851596322e-31
2.0932486549653353e-06 7.150298388249668e-31
2.1420560511935146e-06 7.827497058346902e-31
2.192001468898943e-06 8.56935129188004e-31
2.2431114428485372e-06 9.382078246416924e-31
2.2954131265091837e-06 1.0272494522161396e-30
2.3489343064737076e-06 1.1248073965629862e-30
2.403703417223201e-06 1.2317011053465877e-30
2.4597495562335635e-06 1.348829039532851e-30
2.5171024994342686e-06 1.477176294681397e-30
2.575792717027583e-06 1.6178229580380726e-30
2.635851389676631e-06 1.7719532724809844e-30
2.6973104250709106e-06 1.9408656852315987e-30
2.760202474878063e-06 2.1259838667625785e-30
2.8245609520908932e-06 2.3288687935831562e-30
2.8904200487788716e-06 2.551231997627357e-30
