# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
3.162277660168379e-07 7.6242111156361e-36
3.198913533276701e-07 7.710063159547032e-36
3.235973843244352e-07 7.797399230955447e-36
3.273463507291321e-07 7.885465872505136e-36
3.311387499604976e-07 7.974599984487813e-36
3.3497508520000185e-07 8.065210757249386e-36
3.3885586545861555e-07 8.157337454212657e-36
3.4278160564434336e-07 8.251021963466885e-36
3.4675282663054365e-07 8.346308930448114e-36
3.507700553250385e-07 8.442729989019563e-36
3.5483382474002496e-07 8.540093095976752e-36
3.5894467406279635e-07 8.63906550371916e-36
3.631031487272799e-07 8.73969103355965e-36
3.673098004864098e-07 8.842016303326856e-36
3.715651874853322e-07 8.946090870303358e-36
3.7586987433546084e-07 9.05122165633823e-36
3.802244321893912e-07 9.15764938557287e-36
3.8462943881668243e-07 9.265844975814861e-36
3.890854786805136e-07 9.375857630342884e-36
3.935931430152358e-07 9.487739560961326e-36
3.9815302990481524e-07 9.601093569976411e-36
4.0276574436218834e-07 9.715724980884009e-36
4.0743189840953603e-07 9.832268215601678e-36
4.1215211115948776e-07 9.950776755583391e-36
4.1692700889726726e-07 1.0071307255249692e-35
4.2175722516378545e-07 1.0193060487785042e-35
4.266434008397049e-07 1.0316806658080666e-35
4.3158618423046956e-07 1.044264932228987e-35
4.365862311523234e-07 1.0570468031234247e-35
4.416442050193258e-07 1.0699947243355215e-35
4.467607769313735e-07 1.0831628279258891e-35
4.519366257632451e-07 1.0965345031747247e-35
4.5717243825467053e-07 1.1101065718691149e-35
4.6246890910145517e-07 1.1238944206209702e-35
4.678267410476489e-07 1.1378961093469057e-35
4.7324664497878843e-07 1.1521161740697692e-35
4.787293400162188e-07 1.1665621957364603e-35
4.842755536125081e-07 1.1812296409262795e-35
4.898860216479637e-07 1.1961292343495629e-35
4.955614885282754e-07 1.2112872470908654e-35
5.013027072832807e-07 1.226644250406488e-35
5.071104396668787e-07 1.242268702963472e-35
5.129854562581011e-07 1.2581682689850317e-35
5.189285365633534e-07 1.2742782231473802e-35
5.249404691198429e-07 1.2906639025762078e-35
5.310220516001977e-07 1.307339763791516e-35
5.371740909183105e-07 1.3242783890543783e-35
5.433974033363963e-07 1.3414717701951832e-35
5.496928145732969e-07 1.358971401716321e-35
5.560611599140381e-07 1.3767860944293852e-35
5.625032843206584e-07 1.394857747332431e-35
5.690200425443143e-07 1.4132345942892755e-35
5.756122992386981e-07 1.4319442253562378e-35
5.82280929074756e-07 1.4509885949406358e-35
5.890268168567425e-07 1.4703026238596292e-35
5.95850857639617e-07 1.4899687966651962e-35
6.027539568478021e-07 1.509997185880024e-35
6.097370303953169e-07 1.5303532843352387e-35
6.168010048072977e-07 1.551049464081864e-35
6.239468173429377e-07 1.5721303062921793e-35
6.311754161198395e-07 1.593585284230027e-35
6.384877602398138e-07 1.6153951031789032e-35
6.458848199161349e-07 1.6376154258443262e-35
6.533675766022694e-07 1.6602308163483292e-35
6.60937023122099e-07 1.6832446288864916e-35
6.685941638016445e-07 1.7066944344099436e-35
6.763400146023288e-07 1.7305512407376522e-35
6.841756032557717e-07 1.7548597353986147e-35
6.921019694001518e-07 1.7796126097159332e-35
7.001201647181472e-07 1.8048229047612982e-35
7.082312530764748e-07 1.8305046815526432e-35
7.164363106670473e-07 1.8566711410988438e-35
7.247364261497574e-07 1.883332249335425e-35
7.331327007969329e-07 1.9104982907400276e-35
7.416262486394482e-07 1.9381889562408194e-35
7.50218196614538e-07 1.9664135847421457e-35
7.589096847153206e-07 1.995181441155548e-35
7.677018661420542e-07 2.0245289379656337e-35
7.765959074551467e-07 2.0544271585024556e-35
7.855929887299308e-07 2.0849364066119084e-35
7.94694303713247e-07 2.116048773559391e-35
8.039010599818267e-07 2.1477773922950954e-35
8.132144791025156e-07 2.180165589290828e-35
8.22635796794354e-07 2.2131883182659665e-35
8.321662630925353e-07 2.2468979770166972e-35
8.41807142514256e-07 2.2813059491209423e-35
8.515597142265038e-07 2.3164158103843837e-35
8.614252722157728e-07 2.3522756387205407e-35
8.714051254597533e-07 2.388869362708407e-35
8.815005981010092e-07 2.426252720083914e-35
8.917130296226671e-07 2.4644203088136725e-35
9.02043775026143e-07 2.503414979013878e-35
9.124942050109185e-07 2.5432450349381487e-35
9.230657061564184e-07 2.5839419433765925e-35
9.337596811059772e-07 2.6255287275215686e-35
9.445775487529453e-07 2.6680314365822015e-35
9.555207444289505e-07 2.711474716136436e-35
9.665907200943417e-07 2.7558879661395966e-35
9.777889445308297e-07 2.8013022192024805e-35
9.89116903536379e-07 2.8477361690421815e-35
1.0005761001223375e-06 2.895235089258862e-35
1.0121680547128618e-06 2.943812608761202e-35
