# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2 MeV4, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-05 2.297644560690852e-28
1.0036916706151159e-05 2.331641201483457e-28
1.0073969696621643e-05 2.3661417851763426e-28
1.0111159474528228e-05 2.4011537882832418e-28
1.0148486544845115e-05 2.436684798287072e-28
1.0185951414410618e-05 2.4727425152870964e-28
1.0223554591934197e-05 2.5093347536708616e-28
1.0261296588003294e-05 2.5464694438111733e-28
1.0299177915090215e-05 2.584154633787514e-28
1.0337199087559224e-05 2.622398491133072e-28
1.037536062167337e-05 2.661209304609637e-28
1.041366303560163e-05 2.700595486005277e-28
1.0452106849425901e-05 2.7405655719629407e-28
1.0490692585147977e-05 2.7811282258318294e-28
1.0529420766696805e-05 2.822292239550153e-28
1.056829191993541e-05 2.8640665355531475e-28
1.0607306572668202e-05 2.9064601687110283e-28
1.0646465254648068e-05 2.949482328294753e-28
1.0685768497583504e-05 2.9931423399705797e-28
1.0725216835145986e-05 3.037449667826812e-28
1.076481080297704e-05 3.0824139164272133e-28
1.0804550938695673e-05 3.128044832896731e-28
1.08444377819056e-05 3.174352309038974e-28
1.0884471874202513e-05 3.2213463834823713e-28
1.0924653759181584e-05 3.269037243861769e-28
1.096498398244467e-05 3.317435229028797e-28
1.1005463091607877e-05 3.366550831298289e-28
1.104609163630893e-05 3.4163946987260503e-28
1.1086870168214569e-05 3.466977637420354e-28
1.1127799241028195e-05 3.518310613889877e-28
1.1168879410497206e-05 3.5704047574236335e-28
1.1210111234420711e-05 3.6232713625077915e-28
1.1251495272657026e-05 3.6769218912789185e-28
1.1293032087131209e-05 3.731367976012484e-28
1.1334722241842831e-05 3.786621421649314e-28
1.1376566302873567e-05 3.8426942083576847e-28
1.1418564838394803e-05 3.8995984941356892e-28
1.1460718418675522e-05 3.9573466174516506e-28
1.1503027616089865e-05 4.015951099923203e-28
1.154549300512505e-05 4.075424649035585e-28
1.1588115162389119e-05 4.135780160901682e-28
1.163089466661869e-05 4.197030723062934e-28
1.1673832098686978e-05 4.2591896173309865e-28
1.1716928041611498e-05 4.32227032267004e-28
1.1760183080562142e-05 4.386286518127899e-28
1.180359780286906e-05 4.451252085802703e-28
1.1847172798030557e-05 4.517181113858413e-28
1.189090865772127e-05 4.584087899586395e-28
1.1934805975800007e-05 4.651986952505883e-28
1.1978865348317977e-05 4.720892997519683e-28
1.2023087373526816e-05 4.7908209781084e-28
1.2067472651886637e-05 4.861786059576341e-28
1.2112021786074345e-05 4.933803632345941e-28
1.215673538099164e-05 5.006889315298488e-28
1.2201614043773386e-05 5.0810589591658735e-28
1.2246658383795795e-05 5.156328649974746e-28
1.2291869012684615e-05 5.232714712538457e-28
1.2337246544323621e-05 5.310233714000703e-28
1.2382791594862741e-05 5.388902467436195e-28
1.24285047827266e-05 5.468738035501179e-28
1.2474386728622844e-05 5.54975773413588e-28
1.2520438055550491e-05 5.631979136329134e-28
1.256665938880857e-05 5.715420075932771e-28
1.2613051356004406e-05 5.800098651533286e-28
1.2659614587062315e-05 5.886033230384108e-28
1.270634971423209e-05 5.9732424523946735e-28
1.2753257372097507e-05 6.061745234176257e-28
1.2800338197585116e-05 6.151560773153085e-28
1.2847592829972686e-05 6.242708551727568e-28
1.289502191089807e-05 6.335208341515126e-28
1.2942626084367834e-05 6.429080207636568e-28
1.2990405996765926e-05 6.524344513074416e-28
1.3038362296862639e-05 6.6210219230973275e-28
1.30864956358232e-05 6.719133409746917e-28
1.313480666721681e-05 6.818700256391279e-28
1.318329604702543e-05 6.919744062351237e-28
1.3231964433652608e-05 7.022286747584266e-28
1.3280812487932609e-05 7.126350557454004e-28
1.3329840873139172e-05 7.231958067552098e-28
1.337905025499471e-05 7.33913218860605e-28
1.342844130167926e-05 7.447896171458974e-28
1.3478014683839479e-05 7.558273612108755e-28
1.3527771074597909e-05 7.67028845684222e-28
1.3577711149562045e-05 7.78396500742849e-28
1.3627835586833414e-05 7.8993279264056615e-28
1.3678145067016984e-05 8.016402242426539e-28
1.3728640273230183e-05 8.135213355701207e-28
1.3779321891112363e-05 8.255787043514312e-28
1.3830190608834034e-05 8.37814946581803e-28
1.3881247117106117e-05 8.502327170916773e-28
1.3932492109189529e-05 8.628347101235018e-28
1.3983926280904356e-05 8.756236599163767e-28
1.4035550330639517e-05 8.88602341300245e-28
1.4087364959362149e-05 9.017735702986966e-28
1.4139370870627038e-05 9.151402047400187e-28
1.4191568770586386e-05 9.28705144878251e-28
1.4243959367999157e-05 9.424713340234037e-28
1.4296543374240903e-05 9.56441759179742e-28
1.4349321503313348e-05 9.706194516954143e-28
