# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 4.095013910902106e-37 4.832106172213509e-37 7.55011311760375e-37 1.0504352985498404e-36 1.7244385662105106e-36 4.441220534596336e-36 1.4502851636823607e-35 8.134762499658497e-36
3.2360111549336787e-07 4.0061335179629815e-37 4.728168809606586e-37 7.393140291484175e-37 1.0294179199351866e-36 1.6930052921102177e-36 4.3886737684893113e-36 1.4704661028403678e-35 8.331385619405114e-36
3.311463862505236e-07 3.919236276343693e-37 4.626543626843121e-37 7.2396292609628645e-37 1.0088618378252588e-36 1.6622689066855473e-36 4.337705707162372e-36 1.491677359999497e-35 8.53472479407336e-36
3.388675869043115e-07 3.834275954746107e-37 4.527176470483651e-37 7.0894974948904895e-37 9.887558421613926e-37 1.632211902940999e-36 4.288282412893535e-36 1.513939016071071e-35 8.745037350050626e-36
3.4676881953794695e-07 3.7512074528584e-37 4.43001452681161e-37 6.942664573503174e-37 9.690890180046557e-37 1.602817256983839e-36 4.240371221458485e-36 1.5372720367365037e-35 8.96259331834899e-36
3.548542818811901e-07 3.669986775439242e-37 4.335006290795995e-37 6.799052141249394e-37 9.498507391714406e-37 1.5740684181675063e-36 4.193940719126743e-36 1.5616983080421217e-35 9.187675079987006e-36
3.6312826954049566e-07 3.590571004950349e-37 4.242101532530904e-37 6.658583853766816e-37 9.310306606771458e-37 1.545949295338355e-36 4.148960724198024e-36 1.587240678661579e-35 9.420578123957431e-36
3.715951782811629e-07 3.5129182754074357e-37 4.151251266938387e-37 6.521185328130773e-37 9.126187117592374e-37 1.5184442467263192e-36 4.1054022649844e-36 1.6139230115006956e-35 9.66161307062857e-36
3.8025950636269697e-07 3.436987746060672e-37 4.062407721994158e-37 6.3867840916238535e-37 8.946050885535908e-37 1.4915380672721527e-36 4.063237561424078e-36 1.6417702444572474e-35 9.911108813062683e-36
3.89125856928623e-07 3.3627395761751735e-37 3.975524308665862e-37 6.2553095334037814e-37 8.769802472790374e-37 1.4652159775859546e-36 4.02244000422794e-36 1.670808458508184e-35 1.0169416312902905e-35
3.9819894045202297e-07 3.2901349001257206e-37 3.890555591149261e-37 6.1266928563844024e-37 8.59734897406597e-37 1.439463612681465e-36 3.982984137165797e-36 1.7010649522258277e-35 1.0436912309167673e-35
4.0748357723809307e-07 3.219135802561804e-37 3.80745725708739e-37 6.000867028488189e-37 8.428599946460188e-37 1.4142670100350098e-36 3.9448456357279626e-36 1.7325683212185045e-35 1.071400220459021e-35
4.169846999850535e-07 3.1497052951344036e-37 3.7261860898589815e-37 5.877766738451232e-37 8.263467347700757e-37 1.3896125998285291e-36 3.908001288266548e-36 1.7653485394927997e-35 1.1001121497287528e-35
4.2670735640476865e-07 3.081807292245183e-37 3.6466999393882314e-37 5.7573283473882555e-37 8.101865465452753e-37 1.3654871925183987e-36 3.87242897776635e-36 1.7994370444172218e-35 1.129873562431279e-35
4.3665671190447213e-07 3.0154065885633126e-37 3.56895769531603e-37 5.639489845654077e-37 7.943710856480189e-37 1.3418779690031335e-36 3.838107662893707e-36 1.8348668258966202e-35 1.1607338642707023e-35
4.4683805233101997e-07 2.9504688360443688e-37 3.4929192593659e-37 5.524190807139588e-37 7.788922280152725e-37 1.318772469018393e-36 3.805017359376932e-36 1.8716725205661768e-35 1.1927451709443394e-35
4.572567867791303e-07 2.886960522748236e-37 3.4185455201223194e-37 5.411372349032546e-37 7.637420642204103e-37 1.2961585822781174e-36 3.773139124476828e-36 1.909890519748626e-35 1.225962259566133e-35
4.6791845046510194e-07 2.824848950724534e-37 3.3457983263595693e-37 5.30097708750968e-37 7.48912892984401e-37 1.2740245369194957e-36 3.742455040795058e-36 1.9495590875174074e-35 1.260442728300843e-35
4.788287076675383e-07 2.764102215466344e-37 3.2746404627520834e-37 5.192949098120003e-37 7.343972155610377e-37 1.2523588906889652e-36 3.712948203013443e-36 1.990718497049023e-35 1.2962474027349805e-35
4.899933547366384e-07 2.7046891859039507e-37 3.2050356251810782e-37 5.087233877298208e-37 7.201877302937157e-37 1.2311505209219491e-36 3.684602703918641e-36 2.033411179364653e-35 1.3334409320569225e-35
5.014183231736547e-07 2.6465794835571942e-37 3.1369483969596e-37 4.983778300126218e-37 7.062773263647121e-37 1.2103886152061518e-36 3.657403621708133e-36 2.0776818836383348e-35 1.372092432669092e-35
