# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
1e-05 1.6530870444874725e-38 2.0528278683053794e-38 3.9753857303301637e-38 7.454305335021633e-38 3.3377845806194064e-37 2.3267170454750547e-35 6.521369041685244e-33 1.5266919966670474e-32
1.0186101701559753e-05 1.6254180791508962e-38 2.0192303059916976e-38 3.9174332950642206e-38 7.369194418116997e-38 3.344671374732008e-37 2.393264581975373e-35 6.87381041336284e-33 1.6126381546817536e-32
1.0375666787451848e-05 1.5982161753864028e-38 1.986190164867967e-38 3.8603804632670946e-38 7.285389360245115e-38 3.3522648337336127e-37 2.462222700084597e-35 7.245926647679281e-33 1.703456099091363e-32
1.056875971184805e-05 1.57147339399398e-38 1.9536981011678326e-38 3.8042129201083065e-38 7.202871499487623e-38 3.3605757844725524e-37 2.5336941093538875e-35 7.638830038413652e-33 1.799422610645568e-32
1.0765446128423159e-05 1.5451819315883666e-38 1.921744929152779e-38 3.7489165839711704e-38 7.121622488649111e-38 3.3696155090107375e-37 2.6077864751262437e-35 8.053696025159407e-33 1.9008302065587082e-32
1.09657929126781e-05 1.5193341182588477e-38 1.8903216184136463e-38 3.6944776025831186e-38 7.041624290610868e-38 3.3793957564756693e-37 2.684612675583174e-35 8.491766782253354e-33 2.007988035430276e-32
1.1169868184678226e-05 1.4939224152698728e-38 1.8594192912189372e-38 3.640882349212256e-38 6.962859173776395e-38 3.389928755259508e-37 2.7642910729660484e-35 8.954355011779879e-33 2.1212228230628063e-32
1.1377741332214902e-05 1.468939412801704e-38 1.8290292199090226e-38 3.588117418928835e-38 6.885309707607251e-38 3.4012272255705037e-37 2.84694579978161e-35 9.442847952258216e-33 2.2408798720721175e-32
1.1589483034398118e-05 1.4443778277304223e-38 1.799142824335459e-38 3.5361696249305687e-38 6.808958758248075e-38 3.4133043923420003e-37 2.9327070608471963e-35 9.958711615279733e-33 2.367324118349312e-32
1.1805165285688056e-05 1.420230501446581e-38 1.7697516693446182e-38 3.485025994930602e-38 6.733789484239515e-38 3.426173998504194e-37 3.021711452080418e-35 1.0503495263059857e-32 2.5009412476079103e-32
1.2024861420374123e-05 1.3964903977117896e-38 1.7408474623047936e-38 3.434673767606996e-38 6.659785332317845e-38 3.439850318623824e-37 3.1141022969901434e-35 1.1078836140607604e-32 2.6421388754337055e-32
1.2248646137509308e-05 1.373150600552601e-38 1.7124220506760836e-38 3.385100389112674e-38 6.586930033300194e-38 3.4543481729169193e-37 3.2100300018805105e-35 1.1686464476993215e-32 2.791347794448799e-32
1.2476595526308685e-05 1.3502043121910068e-38 1.684467419622226e-38 3.3362935096447296e-38 6.515207598054256e-38 3.4696829416397474e-37 3.3096524308381683e-35 1.232820877101959e-32 2.9490232924071386e-32
1.2708787092020594e-05 1.327644851010895e-38 1.6569756896636854e-38 3.2882409800720255e-38 6.444602313551399e-38 3.48587057986318e-37 3.4131353016346916e-35 1.300600137747301e-32 3.1156465452558035e-32
1.294529978227916e-05 1.3054656495598557e-38 1.6299391143712467e-38 3.240930848620095e-38 6.375098739002186e-38 3.5029276326356945e-37 3.520652603741316e-35 1.3721884411048e-32 3.2917260894256056e-32
1.3186214013947486e-05 1.283660252585658e-38 1.6033500780993752e-38 3.1943513576122425e-38 6.306681702073237e-38 3.5208712505403727e-37 3.632387039722569e-35 1.4478015986015243e-32 3.4777993778574914e-32
1.3431611700460154e-05 1.2622223151068476e-38 1.577201093758686e-38 3.148490940265959e-38 6.239336295184592e-38 3.539719205651376e-37 3.74853049134819e-35 1.527667681072629e-32 3.6744344245269104e-32
1.3681576279674705e-05 1.2411456005168098e-38 1.5514848006267987e-38 3.103338217543591e-38 6.173047871886585e-38 3.5594899078956113e-37 3.869284511840506e-35 1.612027715713747e-32 3.88223154249977e-32
1.3936192742241435e-05 1.220423978720739e-38 1.5261939621969127e-38 3.0588819950563417e-38 6.107802043315366e-38 3.580202421825539e-37 3.9948608457561196e-35 1.701136422668168e-32 4.1018251808395365e-32
1.4195547660501015e-05 1.200051424304921e-38 1.5013214640634447e-38 3.0151112600206917e-38 6.043584674726289e-38 3.6018764838093835e-37 4.1254819780873545e-35 1.7952629935029544e-32 4.333885865987596e-32
1.4459729217920196e-05 1.1800220147377403e-38 1.4768603118440422e-38 2.9720151782662177e-38 5.980381882104205e-38 3.6245325196455073e-37 4.26138171426081e-35 1.8946919139565628e-32 4.579122253559177e-32
1.4728827239075018e-05 1.1603299286018983e-38 1.4528036291373888e-38 2.929583091294053e-38 5.91818002885013e-38 3.648191662608147e-37 4.402805792806649e-35 1.9997238334756897e-32 4.838283296834321e-32
1.5002933220192168e-05 1.1409694438572432e-38 1.429144655516125e-38 2.887804513384983e-38 5.856965722543332e-38 3.672875771932348e-37 4.5500125325752175e-35 2.1106764842025727e-32 5.112160538581334e-32
1.5282140360258708e-05 1.1219349361337054e-38 1.405876744554291e-38 2.846669128756371e-38 5.796725811778302e-38 3.698607451746748e-37 4.703273516485478e-35 2.2278856522251976e-32 5.401590533227239e-32
1.556654359271062e-05 1.1032208770538032e-38 1.3829933618886853e-38 2.8061667887670503e-38 5.737447383075893e-38 3.725410070463601e-37 4.86287431390412e-35 2.3517062040627327e-32 5.707457406788606e-32
1.5856239617711373e-05 1.0848218325841676e-38 1.360488083313522e-38 2.7662875091693054e-38 5.679117757867911e-38 3.7533077806367156e-37 5.029115243875498e-35 2.482513171527863e-32 6.030695562398446e-32
1.6151326935030895e-05 1.0667324614156374e-38 1.3383545929078437e-38 2.7270214674072133e-38 5.621724489554817e-38 3.782325539298879e-37 5.202312181549675e-35 2.6207028982858945e-32 6.372292539709365e-32
1.6451905877536607e-05 1.0489475133713598e-38 1.3165866811950836e-38 2.688358999960435e-38 5.565255360635721e-38 3.812489128792037e-37 5.3827974102915e-35 2.7666942516198205e-32 6.733292036925385e-32
1.6758078645307688e-05 1.0314618278424434e-38 1.2951782433342197e-38 2.650290599732751e-38 5.509698379910331e-38 3.84382517810492e-37 5.570920522095966e-35 2.9209299031097735e-32 7.114797104711694e-32
1.706994934038408e-05 1.0142703322506774e-38 1.274123277341998e-38 2.612806913484528e-38 5.455041779752345e-38 3.87636118473471e-37 5.76704936908579e-35 3.0838776821463087e-32 7.517973521757942e-32
1.7387624002162504e-05 9.973680405378111e-39 1.253415882345627e-38 2.5758987393083407e-38 5.401274013453759e-38 3.910125537091522e-37 5.971571069026904e-35 3.256032006420075e-32 7.94405336232732e-32
1.7711210643450867e-05 9.807500516809792e-39 1.233050256865468e-38 2.5395570241470496e-38 5.348383752639838e-38 3.945147537466589e-37 6.184893067964963e-35 3.437915393765588e-32 8.394338766709916e-32
1.804081928719381e-05 9.644115482337663e-39 1.213020697127169e-38 2.5037728613535727e-38 5.296359884754273e-38 3.981457425588032e-37 6.407444263264536e-35 3.630080059986274e-32 8.870205926121219e-32
1.8376562003881724e-05 9.483477948924967e-39 1.1933215954027305e-38 2.468537488291627e-38 5.245191510614234e-38 4.019086402790778e-37 6.639676190519974e-35 3.833109607550874e-32 9.373109294242404e-32
1.8718552949655793e-05 9.3255413708729e-39 1.17394743838001e-38 2.4338422839767653e-38 5.194867942035045e-38 4.058066656830638e-37 6.882064278005214e-35 4.047620810329337e-32 9.90458603829249e-32
1.906690840512252e-05 9.170259995974472e-39 1.1548928055601507e-38 2.399678766756962e-38 5.145378699524163e-38 4.098431387376275e-37 7.13510917253983e-35 4.274265499830752e-32 1.0466260743256683e-31
1.9421746814890246e-05 9.017588851907599e-39 1.1361523676824765e-38 2.3660385920321433e-38 5.096713510044357e-38 4.1402148322166716e-37 7.399338140869056e-35 4.5137325587157494e-32 1.1059850383668304e-31
1.978318882784162e-05 8.86748373286309e-39 1.1177208851763538e-38 2.3329135500119254e-38 5.048862304845821e-38 4.1834522942263385e-37 7.675306550889998e-35 4.766750027684876e-32 1.1687169578162415e-31
2.0151357338155584e-05 8.719901186403438e-39 1.0995932066395582e-38 2.300295563510948e-38 5.001815217367103e-38 4.228180169135308e-37 7.963599437302804e-35 5.034087332191121e-32 1.2350136142883746e-31
2.052637752709252e-05 8.574798500548529e-39 1.081764267342694e-38 2.2681766857811545e-38 4.955562581204807e-38 4.274435974156201e-37 8.26483315652603e-35 5.31655763579131e-32 1.3050776960746048e-31
2.09083769055575e-05 8.432133691084042e-39 1.0642290877591913e-38 2.236549098380349e-38 4.910094928151917e-38 4.322258377526698e-37 8.579657135991576e-35 5.615020327339448e-32 1.3791234184508374e-31
2.1297485357455188e-05 8.291865489088969e-39 1.046982772120467e-38 2.20540510907648e-38 4.86540298630482e-38 4.3716872290316e-37 8.908755723224235e-35 5.930383649633582e-32 1.4573771792652802e-31
2.1693835183851823e-05 8.153953328678205e-39 1.0300205069957957e-38 2.174737149786987e-38 4.821477678239003e-38 4.4227635915758e-37 9.2528501404192e-35 6.263607477561822e-32 1.5400782518130565e-31
2.209756114795903e-05 8.018357334956549e-39 1.013337559896461e-38 2.144537774552628e-38 4.778310119253513e-38 4.4755297738864706e-37 9.612700550554498e-35 6.615706254250054e-32 1.627479517118353e-31
2.2508800520954618e-05 7.885038312180503e-39 9.969292779037812e-39 2.1147996575452252e-38 4.735891615684258e-38 4.530029364430536e-37 9.989108241417984e-35 6.987752094197574e-32 1.7198482378653745e-31
2.2927693128656486e-05 7.75395773212399e-39 9.807910863205675e-39 2.0855155911086873e-38 4.694213663286328e-38 4.586307266641929e-37 1.0382917934291159e-34 7.380878062898509e-32 1.817466876347065e-31
2.335438139906477e-05 7.625077722644835e-39 9.64918487345652e-39 2.0566784838328465e-38 4.653267945685562e-38 4.644409735561574e-37 1.0795020224412736e-34 7.796281642986034e-32 1.9206339589349456e-31
2.3789010410788956e-05 7.498361056448149e-39 9.493070587710419e-39 2.0282813586594455e-38 4.613046332899511e-38 4.704384416002438e-37 1.1226354160749803e-34 8.235228397508346e-32 2.029664989716157e-31
2.4231727942376007e-05 7.373771140043493e-39 9.339524527013483e-39 2.000317351019827e-38 4.5735408799282145e-38 4.7662803823617324e-37 1.1677909973030002e-34 8.69905584154785e-32 2.144893416093991e-31
2.4682684522556925e-05 7.251272002892099e-39 9.188503942950625e-39 1.972779707003687e-38 4.5347438254149583e-38 4.830148180212359e-37 1.2150731954438761e-34 9.189177534033807e-32 2.26667164930758e-31
2.5142033481427965e-05 7.130828286741274e-39 9.039966805273483e-39 1.9456617815584778e-38 4.496647590377572e-38 4.8960398698163864e-37 1.2645921508860487e-34 9.70708740227101e-32 2.395372142994064e-31
2.5609931002584567e-05 7.012405235142367e-39 8.893871789739397e-39 1.9189570367188556e-38 4.4592447770105516e-38 4.964009071714327e-37 1.3164640372045593e-34 1.025436431242099e-31 2.5313885330946414e-31
2.6086536176225506e-05 6.895968683149314e-39 8.750178266158089e-39 1.8926590398657147e-38 4.4225281675585816e-38 5.034111014555344e-37 1.3708114016615378e-34 1.0832676899924074e-31 2.675136842593416e-31
2.6572011053245066e-05 6.781485047194583e-39 8.608846286642229e-39 1.8667614620142866e-38 4.3864907232619043e-38 5.106402585345087e-37 1.4277635251376805e-34 1.1443788674646194e-31 2.8270567547763953e-31
2.706652070033241e-05 6.668921315139339e-39 8.46983657405851e-39 1.8412580761308235e-38 4.3511255833741684e-38 5.180942382300137e-37 1.4874568026012614e-34 1.208956341637639e-31 2.987612958908007e-31
2.7570233256095827e-05 6.558245036494983e-39 8.333110510675759e-39 1.8161427554773865e-38 4.316426064253376e-38 5.257790770509736e-37 1.5500351452835104e-34 1.2771970877187542e-31 3.157296572443629e-31
2.8083319988231698e-05 6.449424312812965e-39 8.198630127006677e-39 1.7914094719842759e-38 4.282385658526619e-38 5.337009940618259e-37 1.6156504057954874e-34 1.3493092808114177e-31 3.336626644131413e-31
2.860595535175745e-05 6.342427788239952e-39 8.066358090839791e-39 1.7670522946496024e-38 4.248998034329289e-38 5.4186639707540896e-37 1.6844628274912311e-34 1.425512932859276e-31 3.526151742603993e-31
2.9138317048327887e-05 6.23722464023561e-39 7.936257696458559e-39 1.7430653879656132e-38 4.216257034619653e-38 5.5028188919429934e-37 1.7566415194556978e-34 1.5060405658158601e-31 3.7264516353222685e-31
2.9680586086656024e-05 6.133784570449924e-39 7.808292854044049e-39 1.7194430103712267e-38 4.184156676569526e-38 5.5895427572568135e-37 1.832364958574038e-34 1.5911379231004353e-31 3.938139063010418e-31
3.0232946844057763e-05 6.032077795757638e-39 7.682428079258459e-39 1.6961795127304557e-38 4.1526911510320693e-38 5.678905714960141e-37 1.911821520220822e-34 1.6810647215173598e-31 4.161861615012894e-31
3.079558712914223e-05 5.93207503944677e-39 7.558628483006008e-39 1.673269336836173e-38 4.121854822087588e-38 5.770980085930266e-37 1.995210039195016e-34 1.776095445940463e-31 4.398303711313733e-31
3.13686982456688e-05 5.833747522558741e-39 7.436859761368359e-39 1.6507070139388843e-38 4.09164222666841e-38 5.865840445637246e-37 2.082740402618312e-34 1.876520189194699e-31 4.648188697284576e-31
3.1952475057592136e-05 5.737066955377442e-39 7.317088185711513e-39 1.628487163300045e-38 4.062048074263926e-38 5.963563710982696e-37 2.1746341766114455e-34 1.982645539705591e-31 4.912281057572805e-31
3.254711605531848e-05 5.6420055290645193e-39 7.199280592961121e-39 1.6066044907695047e-38 4.033067246706902e-38 6.064229232307176e-37 2.2711252686659824e-34 2.0947955196335135e-31 5.191388755906458e-31
