# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 2.411369800177995e-38 2.854256799994273e-38 4.5114623820020444e-38 6.356841883917698e-38 1.0747251576055507e-37 3.1076329922237316e-37 2.4349667791408952e-36 4.061606076543468e-36
3.2360111549336787e-07 2.41474056639697e-38 2.858980677220763e-38 4.5232754960766874e-38 6.380319579274201e-38 1.0814323723270378e-37 3.1584028880333892e-37 2.604428242420511e-36 4.406819082979587e-36
3.311463862505236e-07 2.4181356984575864e-38 2.8637411546028857e-38 4.5352031485657735e-38 6.404075987212752e-38 1.088253099686523e-37 3.21084716073865e-37 2.787980872643362e-36 4.7831569723685755e-36
3.388675869043115e-07 2.421554854128042e-38 2.868537806843765e-38 4.547244871613499e-38 6.428111818630287e-38 1.0951889758948526e-37 3.265032290724857e-37 2.9868889506441848e-36 5.19351249704561e-36
3.4676881953794695e-07 2.424997699062756e-38 2.873370219186704e-38 4.5594002229694975e-38 6.452427851948378e-38 1.1022416928205157e-37 3.321028127184616e-37 3.202533939579681e-36 5.6410545078947265e-36
3.548542818811901e-07 2.428463906974068e-38 2.8782379876436303e-38 4.571668786694004e-38 6.477024935142876e-38 1.1094129999382159e-37 3.37890808464817e-37 3.436425348887641e-36 6.129253991042462e-36
3.6312826954049566e-07 2.4319531597599944e-38 2.883140719205702e-38 4.584050173823139e-38 6.501903987719137e-38 1.116704706329797e-37 3.4387493524332707e-37 3.690212592816095e-36 6.661912633982466e-36
3.715951782811629e-07 2.4354651476194914e-38 2.8880780320198386e-38 4.596544022970493e-38 6.527066002628268e-38 1.1241186827383877e-37 3.5006331179437096e-37 3.96569793565083e-36 7.243194200992166e-36
3.8025950636269697e-07 2.4389995691620056e-38 2.8930495555449506e-38 4.6091500008937226e-38 6.552512048120602e-38 1.1316568636771594e-37 3.5646448048223796e-37 4.2648506251863565e-36 7.877659001453858e-36
3.89125856928623e-07 2.442556131477024e-38 2.898054930676298e-38 4.621867802989625e-38 6.578243269535086e-38 1.1393212495945191e-37 3.6308743270473243e-37 4.589822326491126e-36 8.57030174541804e-36
3.9819894045202297e-07 2.446134550199384e-38 2.903093809856906e-38 4.6346971537614776e-38 6.604260891024637e-38 1.1471139090980148e-37 3.6994163601484727e-37 4.942963979730894e-36 9.326593099818178e-36
4.0748357723809307e-07 2.449734549547283e-38 2.9081658571480134e-38 4.647637807206709e-38 6.630566217216599e-38 1.1550369812395253e-37 3.7703706308193595e-37 5.326844218858121e-36 1.015252528591049e-35
4.169846999850535e-07 2.453355862353383e-38 2.9132707482863383e-38 4.660689547177795e-38 6.657160634810884e-38 1.163092677864717e-37 3.8438422263031786e-37 5.744269502477824e-36 1.1054662092566546e-35
4.2670735640476865e-07 2.4569982300732113e-38 2.9184081707164755e-38 4.673852187681585e-38 6.684045614116182e-38 1.1712832860300425e-37 3.919941925046389e-37 6.198306124289868e-36 1.204019371954528e-35
4.3665671190447213e-07 2.460661402759015e-38 2.9235778235973986e-38 4.687125573134436e-38 6.711222710529203e-38 1.1796111704908885e-37 3.998786550237062e-37 6.692304288314335e-36 1.3116996908662423e-35
4.4683805233101997e-07 2.4643451390603693e-38 2.9287794177930656e-38 4.7005095785708977e-38 6.738693565956602e-38 1.1880787762648131e-37 4.0804993479800024e-37 7.22992445375819e-36 1.4293700868020348e-35
4.572567867791303e-07 2.4680492061699216e-38 2.9340126758362475e-38 4.714004109810473e-38 6.766459910186764e-38 1.1966886312740829e-37 4.165210392007254e-37 7.815166176005521e-36 1.5579759545459538e-35
4.6791845046510194e-07 2.471773379762073e-38 2.939277331879177e-38 4.727609103581472e-38 6.794523562212661e-38 1.2054433490720508e-37 4.253057016982466e-37 8.452399693936471e-36 1.6985530862082665e-35
4.788287076675383e-07 2.4755174439502853e-38 2.9445731316230204e-38 4.741324527603796e-38 6.822886431511675e-38 1.2143456316582027e-37 4.344184282631496e-37 9.146400539723613e-36 1.8522363568990297e-35
4.899933547366384e-07 2.4792811911960376e-38 2.949899832236255e-38 4.755150380644497e-38 6.851550519286053e-38 1.2233982723869824e-37 4.438745471121341e-37 9.90238747556e-36 2.0202692470450198e-35
5.014183231736547e-07 2.4830644222145747e-38 2.9552572022469623e-38 4.769086692527213e-38 6.880517919668953e-38 1.2326041589758039e-37 4.536902620316153e-37 1.0726064092534866e-35 2.2040142773890458e-35
5.131096827821533e-07 2.486866945887585e-38 2.9606450214324884e-38 4.78313352411697e-38 6.909790820901241e-38 1.2419662766179513e-37 4.638827095764713e-37 1.1623664440267523e-35 2.4049644378606224e-35
5.250736448927506e-07 2.490688579148007e-38 2.9660630806933537e-38 4.797290967281991e-38 6.93937150648364e-38 1.2514877112063762e-37 4.7447002045201915e-37 1.2602003092230005e-35 2.624755725776909e-35
5.373165656630395e-07 2.494529146870499e-38 2.971511181908747e-38 4.811559144813292e-38 6.969262356308993e-38 1.261171652674625e-37 4.854713854160753e-37 1.3668530090399384e-35 2.8651808246776067e-35
5.4984494945446e-07 2.498388481736844e-38 2.9769891377926113e-38 4.825938210337447e-38 6.999465847780481e-38 1.2710213984615488e-37 4.969071260674721e-37 1.4831391255724378e-35 3.128204079481034e-35
5.626654522879044e-07 2.502266424127016e-38 2.982496771731318e-38 4.840428348200571e-38 7.029984556920156e-38 1.2810403571066547e-37 5.087987709193343e-37 1.609949439595322e-35 3.415977799877066e-35
5.757848853798981e-07 2.506162821951721e-38 2.988033917615266e-38 4.855029773329737e-38 7.060821159472725e-38 1.2912320519833141e-37 5.211691371905644e-37 1.7482581991829876e-35 3.7308599639103863e-35
5.892102187612295e-07 2.5100775305455314e-38 2.993600419671947e-38 4.869742731090424e-38 7.091978432010242e-38 1.301600125177389e-37 5.340424187873167e-37 1.8991310995603646e-35 4.0754333390247336e-35
6.029485849799565e-07 2.514010412497592e-38 2.999196132277441e-38 4.884567497113666e-38 7.123459253041214e-38 1.312148341519141e-37 5.474442809882048e-37 2.063734043297185e-35 4.45252598510872e-35
6.17007282890752e-07 2.517961337518757e-38 3.0048209197771493e-38 4.899504377127391e-38 7.155266604133974e-38 1.3228805927778263e-37 5.614019623950268e-37 2.243342758371365e-35 4.865236097606994e-35
6.313937815326057e-07 2.5219301822815954e-38 3.010474656292582e-38 4.914553706762658e-38 7.187403571039392e-38 1.333800902021549e-37 5.759443847478885e-37 2.439353344678926e-35 5.316945183718719e-35
6.461157240969403e-07 2.525916830268959e-38 3.0161572255295233e-38 4.929715851365254e-38 7.219873344858744e-38 1.3449134281649787e-37 5.911022712945599e-37 2.653293862812644e-35 5.811354078001327e-35
6.611809319882495e-07 2.529921171622227e-38 3.0218685205849754e-38 4.944991205794067e-38 7.25267922321222e-38 1.356222470697926e-37 6.069082744096364e-37 2.886837032548706e-35 6.352499641922672e-35
6.765974089794179e-07 2.5339431029905184e-38 3.0276084437507134e-38 4.960380194225359e-38 7.285824611468626e-38 1.3677324746240474e-37 6.233971132929298e-37 3.141814194891824e-35 6.944811096085654e-35
6.923733454639272e-07 2.5379825273583157e-38 3.033376906303813e-38 4.975883269910768e-38 7.319313023903207e-38 1.3794480355718982e-37 6.4060572251038944e-37 3.4202304934426665e-35 7.593028509439732e-35
7.085171228072106e-07 2.5420393539051383e-38 3.0391738283278995e-38 4.991500915037761e-38 7.353148085129864e-38 1.39137390520958e-37 6.585734125788091e-37 3.724281826381042e-35 8.302445328692555e-35
7.250373177994646e-07 2.5461134978371337e-38 3.0449991384830076e-38 5.007233640414815e-38 7.387333531168152e-38 1.4035149967468514e-37 6.773420431288679e-37 4.056372820724226e-35 9.078553025270818e-35
7.419427072122865e-07 2.5502048802587077e-38 3.0508527738632697e-38 5.023081985430788e-38 7.421873211174028e-38 1.4158763909015413e-37 6.96956210595658e-37 4.419137581223674e-35 9.927676574612909e-35
7.592422724615558e-07 2.554313427950054e-38 3.056734679705916e-38 5.039046517604939e-38 7.456771088308524e-38 1.4284633417940226e-37 7.174634503878723e-37 4.815460587140555e-35 1.0856001138627367e-34
7.769452043790388e-07 2.558439073333421e-38 3.062644809336153e-38 5.055127832748079e-38 7.492031241974419e-38 1.4412812835880117e-37 7.38914456836359e-37 5.248502632354566e-35 1.187113677655791e-34
