# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-10 inf
1.3848863713938747e-10 inf
1.9179102616724848e-10 inf
2.656087782946684e-10 inf
3.6783797718286343e-10 inf
5.094138014816385e-10 inf
7.054802310718631e-10 inf
9.770099572992246e-10 inf
1.3530477745798075e-09 inf
1.873817422860387e-09 inf
2.595024211399732e-09 inf
3.5938136638046257e-09 inf
4.977023564332114e-09 inf
6.892612104349681e-09 inf
9.545484566618328e-09 inf
1.3219411484660288e-08 inf
1.8307382802953696e-08 inf
2.5353644939701113e-08 inf
3.5111917342151277e-08 inf
4.8626015800653535e-08 inf
6.734150657750828e-08 inf
9.3260334688322e-08 inf
1.2915496650148827e-07 inf
1.7886495290574352e-07 inf
2.4770763559917087e-07 inf
3.430469286314912e-07 inf
4.7508101621027934e-07 inf
6.579332246575682e-07 inf
9.111627561154887e-07 inf
1.261856883066021e-06 inf
1.747528400007683e-06 inf
2.4201282647943835e-06 inf
3.3516026509388406e-06 inf
4.641588833612773e-06 inf
6.4280731172843194e-06 inf
8.902150854450375e-06 inf
1.2328467394420658e-05 inf
1.7073526474706886e-05 inf
2.3644894126454072e-05 inf
3.274549162877725e-05 9.575803393202665e-25
4.534878508128582e-05 7.278507564231404e-27
6.280291441834246e-05 3.492416825779911e-27
8.697490026177834e-05 3.8469207748051196e-27
0.00012045035402587811 6.46406722448293e-27
0.0001668100537200059 1.3525063994486065e-26
0.0002310129700083158 2.79822375506023e-26
0.00031992671377973844 3.2629263815672435e-26
0.00044306214575838776 3.6265607349889677e-26
0.0006135907273413163 5.309809262143142e-26
0.0008497534359086438 7.531633435720571e-26
0.0011768119524349966 1.0318701738619425e-25
0.0016297508346206436 1.4345513505439413e-25
0.002257019719633917 1.9858879242245437e-25
0.0031257158496882354 2.747814841230657e-25
0.004328761281083053 3.802605985494042e-25
0.005994842503189409 5.268064124565866e-25
0.008302175681319735 7.294898970721809e-25
0.011497569953977356 1.0103471977424563e-24
0.01592282793341094 1.3991542736218717e-24
0.022051307399030412 1.9376923334368103e-24
0.030538555088334123 2.6838122486648873e-24
0.04229242874389499 3.717487998361317e-24
0.058570208180566734 5.14955925952923e-24
0.08111308307896856 7.135326941425591e-24
0.11233240329780265 9.892238963994335e-24
0.15556761439304723 1.3727519860535908e-23
0.21544346900318778 1.9085018327252167e-23
0.2983647240283334 2.6627328489951915e-23
0.41320124001153347 3.739911778047055e-23
0.572236765935022 5.318218081086951e-23
0.7924828983539153 7.734682645593686e-23
1.0974987654930546 1.1694559669164267e-22
1.5199110829529332 1.880797717012551e-22
2.104904144512022 3.2964072170089993e-22
2.91505306282517 6.382810045664363e-22
4.03701725859655 1.355612193056119e-21
5.5908101825122225 3.0751607275679e-21
7.742636826811277 7.185578407336318e-21
10.72267222010321 1.6640814365185982e-20
14.849682622544636 3.67711391154092e-20
20.565123083486515 7.50173564272376e-20
28.48035868435793 1.3872801112730666e-19
39.44206059437648 2.3329612442853986e-19
54.62277217684337 3.6395690756944796e-19
75.64633275546291 5.397267604474113e-19
104.76157527896619 7.761517953619318e-19
145.08287784959373 1.0968501253628716e-18
200.92330025650458 1.5353798981099964e-18
278.2559402207126 2.138342018062235e-18
385.352859371052 2.9701125711871175e-18
533.6699231206302 4.119617127629834e-18
739.0722033525775 5.709796520408199e-18
1023.5310218990269 7.910741381266101e-18
1417.474162926802 1.0957878246662585e-17
1963.0406500402685 1.5177150048152312e-17
2718.58824273294 2.10198804231216e-17
3764.935806792456 2.9111050174358883e-17
5214.0082879996735 4.0316149613880515e-17
7220.8090183854565 5.583375765760444e-17
10000.0 7.732375051626836e-17
