# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
1e-10 3.936832275590656e-42 1.0570769501489752e-39 2.644851082667858e-36
1.3848863713938747e-10 3.1903528351505267e-42 1.4476063502892717e-39 3.652969715872374e-36
1.9179102616724848e-10 2.6300847803643805e-42 1.9935036009526987e-39 5.051897562208244e-36
2.656087782946684e-10 2.2122096149369768e-42 2.7528124301288912e-39 6.991235312806791e-36
3.6783797718286343e-10 1.9064863176781675e-42 3.8066438681281836e-39 9.678420085159642e-36
5.094138014816385e-10 1.692878315537175e-42 5.267685899889996e-39 1.3400894974804947e-35
7.054802310718631e-10 1.5598746167243158e-42 7.292211266041132e-39 1.855686499204865e-35
9.770099572992246e-10 1.504234787118749e-42 1.0096781045705913e-38 2.5697909651792366e-35
1.3530477745798075e-09 1.5321947119481793e-42 1.3981412756661002e-38 3.558804770625765e-35
1.873817422860387e-09 1.662248634717669e-42 1.9361693342081456e-38 4.928562658443067e-35
2.595024211399732e-09 1.9290580183063202e-42 2.6813293499621594e-38 6.825697186290197e-35
3.5938136638046257e-09 2.386314286230299e-42 3.7133707449659444e-38 9.453440890507555e-35
4.977023564332114e-09 3.105273442762494e-42 5.142798933727732e-38 1.309367626616744e-34
6.892612104349681e-09 4.1719172030925154e-42 7.122810108401117e-38 1.8137914006947208e-34
9.545484566618328e-09 5.6959702472579756e-42 9.865981884024206e-38 2.5131366832046744e-34
1.3219411484660288e-08 7.833802241064167e-42 1.3667818776000796e-37 3.48370994997624e-34
1.8307382802953696e-08 1.0811005792278022e-41 1.8940503590182076e-37 4.833316343656486e-34
2.5353644939701113e-08 1.4945107930958197e-41 2.6262673846627497e-37 6.716922861133045e-34
3.5111917342151277e-08 2.0678049239100002e-41 3.645640406098406e-37 9.364241546011951e-34
4.8626015800653535e-08 2.86230275524577e-41 5.071514850851528e-37 1.3133815255470032e-33
6.734150657750828e-08 3.9630028236890545e-41 7.083728372081361e-37 1.8630770367417398e-33
9.3260334688322e-08 5.487687542387875e-41 9.96979395165793e-37 2.6988006906202374e-33
1.2915496650148827e-07 7.599565722807352e-41 1.4228999150610818e-36 4.058562136986233e-33
1.7886495290574352e-07 1.0524846631497817e-40 2.08165874816073e-36 6.497993931571616e-33
2.4770763559917087e-07 1.4577231985742896e-40 3.173551464654626e-36 1.1413747008325944e-32
3.430469286314912e-07 2.0192202015578747e-40 5.1493510094819497e-36 2.2415922290243427e-32
4.7508101621027934e-07 2.7975368723899697e-40 9.075566401737848e-36 4.8816308675037006e-32
6.579332246575682e-07 3.877149724170386e-40 1.7574764506203345e-35 1.1468132141333193e-31
9.111627561154887e-07 5.376492704413862e-40 3.7289981436799046e-35 2.8290953886038853e-31
1.261856883066021e-06 7.462987681542112e-40 8.536153772396796e-35 7.191779600875345e-31
1.747528400007683e-06 1.0376435274379153e-39 2.0648318688373494e-34 1.8615445634078564e-30
2.4201282647943835e-06 1.4467230684581396e-39 5.180322523423252e-34 4.870598822300306e-30
3.3516026509388406e-06 2.0262296857479297e-39 1.3297729669994771e-33 1.2824709455007916e-29
4.641588833612773e-06 2.8585297574280376e-39 3.461537146422227e-33 3.38943655709164e-29
6.4280731172843194e-06 4.0787505289560303e-39 9.086603604803137e-33 8.977280623775739e-29
8.902150854450375e-06 5.921288867519849e-39 2.3971269000991681e-32 2.38066207246339e-28
1.2328467394420658e-05 8.817920642287013e-39 6.342265553565153e-32 6.317590233582886e-28
1.7073526474706886e-05 1.3614784381894518e-38 1.6808514491975568e-31 1.6771476219939783e-27
2.3644894126454072e-05 2.2076443446587927e-38 4.458933361779675e-31 4.453271394921997e-27
3.274549162877725e-05 3.811435426107582e-38 1.1834927446801884e-30 1.1825685425285948e-26
4.534878508128582e-05 7.090466935598692e-38 3.1421454486070848e-30 3.140339243320589e-26
6.280291441834246e-05 1.4301259635405556e-37 8.343502112074679e-30 8.338588094178224e-26
8.697490026177834e-05 3.117737806840521e-37 2.215578596115128e-29 2.213707652999437e-25
0.00012045035402587811 7.255737349155069e-37 5.883035952200938e-29 5.874440893996204e-25
0.0001668100537200059 1.7721562914026912e-36 1.5618435990448298e-28 1.5576095904062052e-24
0.0002310129700083158 4.47104526367584e-36 4.144823309654399e-28 4.123536899579885e-24
