# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-10 inf
1.3848863713938747e-10 inf
1.9179102616724848e-10 inf
2.656087782946684e-10 inf
3.6783797718286343e-10 inf
5.094138014816385e-10 inf
7.054802310718631e-10 inf
9.770099572992246e-10 inf
1.3530477745798075e-09 inf
1.873817422860387e-09 inf
2.595024211399732e-09 inf
3.5938136638046257e-09 inf
4.977023564332114e-09 inf
6.892612104349681e-09 inf
9.545484566618328e-09 inf
1.3219411484660288e-08 inf
1.8307382802953696e-08 inf
2.5353644939701113e-08 inf
3.5111917342151277e-08 inf
4.8626015800653535e-08 inf
6.734150657750828e-08 inf
9.3260334688322e-08 inf
1.2915496650148827e-07 inf
1.7886495290574352e-07 inf
2.4770763559917087e-07 inf
3.430469286314912e-07 inf
4.7508101621027934e-07 inf
6.579332246575682e-07 inf
9.111627561154887e-07 inf
1.261856883066021e-06 inf
1.747528400007683e-06 inf
2.4201282647943835e-06 inf
3.3516026509388406e-06 inf
4.641588833612773e-06 inf
6.4280731172843194e-06 inf
8.902150854450375e-06 inf
1.2328467394420658e-05 inf
1.7073526474706886e-05 inf
2.3644894126454072e-05 inf
3.274549162877725e-05 7.310524881439507e-24
4.534878508128582e-05 7.495772439534431e-27
6.280291441834246e-05 3.53736825710439e-27
8.697490026177834e-05 3.86476182155233e-27
0.00012045035402587811 6.466670628549842e-27
0.0001668100537200059 1.3500795487008362e-26
0.0002310129700083158 2.7935219418962234e-26
0.00031992671377973844 3.264159061375541e-26
0.00044306214575838776 3.627783296215006e-26
0.0006135907273413163 5.309753707071961e-26
0.0008497534359086438 7.531753901293017e-26
0.0011768119524349966 1.0318856421604161e-25
0.0016297508346206436 1.4345619843151522e-25
0.002257019719633917 1.9858878468575932e-25
0.0031257158496882354 2.747821074922895e-25
0.004328761281083053 3.8026088028580883e-25
0.005994842503189409 5.268065034346976e-25
0.008302175681319735 7.294900826788958e-25
0.011497569953977356 1.0103473906953671e-24
0.01592282793341094 1.399154359233457e-24
0.022051307399030412 1.9376924051590456e-24
0.030538555088334123 2.683812290451378e-24
0.04229242874389499 3.717487944526402e-24
0.058570208180566734 5.149559261557278e-24
0.08111308307896856 7.135326994867493e-24
0.11233240329780265 9.892238968560556e-24
0.15556761439304723 1.372751982034101e-23
0.21544346900318778 1.9085018313934303e-23
0.2983647240283334 2.662732850140634e-23
0.41320124001153347 3.739911775814847e-23
0.572236765935022 5.318218081974882e-23
0.7924828983539153 7.734682646433468e-23
1.0974987654930546 1.1694559669865147e-22
1.5199110829529332 1.8807977170294686e-22
2.104904144512022 3.2964072170443586e-22
2.91505306282517 6.382810045694518e-22
4.03701725859655 1.355612193063435e-21
5.5908101825122225 3.075160727565115e-21
7.742636826811277 7.185578407342579e-21
10.72267222010321 1.6640814365190198e-20
14.849682622544636 3.6771139115420576e-20
20.565123083486515 7.501735642727583e-20
28.48035868435793 1.3872801112750398e-19
39.44206059437648 2.332961244286395e-19
54.62277217684337 3.639569075695053e-19
75.64633275546291 5.3972676044752365e-19
104.76157527896619 7.761517953619538e-19
145.08287784959373 1.0968501253628308e-18
200.92330025650458 1.5353798981100879e-18
278.2559402207126 2.1383420180622835e-18
385.352859371052 2.970112571187138e-18
533.6699231206302 4.11961712762984e-18
739.0722033525775 5.709796520408222e-18
1023.5310218990269 7.91074138126611e-18
1417.474162926802 1.095787824666259e-17
1963.0406500402685 1.5177150048152337e-17
2718.58824273294 2.1019880423121602e-17
3764.935806792456 2.9111050174358896e-17
5214.0082879996735 4.031614961388053e-17
7220.8090183854565 5.583375765760446e-17
10000.0 7.732375051626842e-17
