# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
1e-10 inf inf inf
1.3848863713938747e-10 inf inf inf
1.9179102616724848e-10 inf inf inf
2.656087782946684e-10 inf inf inf
3.6783797718286343e-10 inf inf inf
5.094138014816385e-10 inf inf inf
7.054802310718631e-10 inf inf inf
9.770099572992246e-10 inf inf inf
1.3530477745798075e-09 inf inf inf
1.873817422860387e-09 inf inf inf
2.595024211399732e-09 inf inf inf
3.5938136638046257e-09 inf inf inf
4.977023564332114e-09 inf inf inf
6.892612104349681e-09 inf inf inf
9.545484566618328e-09 inf inf inf
1.3219411484660288e-08 inf inf inf
1.8307382802953696e-08 inf inf inf
2.5353644939701113e-08 inf inf inf
3.5111917342151277e-08 inf inf inf
4.8626015800653535e-08 inf inf inf
6.734150657750828e-08 inf inf inf
9.3260334688322e-08 inf inf inf
1.2915496650148827e-07 inf inf inf
1.7886495290574352e-07 1.554002594114263e-31 1.8213241285033953e-31 1.3199098173288838e-29
2.4770763559917087e-07 6.773933455754033e-33 8.99255258445313e-33 1.7349906084243647e-30
3.430469286314912e-07 1.2306145546283492e-33 2.0333337847025836e-33 1.0281231330525794e-30
4.7508101621027934e-07 4.270981710065863e-34 1.0067717245773034e-33 1.1728015049731226e-30
6.579332246575682e-07 2.083620769484049e-34 8.331844561623126e-34 1.8750669440004727e-30
9.111627561154887e-07 1.2196839427940645e-34 9.946827478567091e-34 3.63717669761267e-30
1.261856883066021e-06 7.876765472386841e-35 1.5444300643979782e-33 7.946903055884269e-30
1.747528400007683e-06 5.363685135656245e-35 2.877871962213257e-33 1.8708730666804945e-29
2.4201282647943835e-06 3.758716545470006e-35 6.069797453689009e-33 4.615296933645311e-29
3.3516026509388406e-06 2.67657962425665e-35 1.3910662165890285e-32 1.1721729942400162e-28
4.641588833612773e-06 1.9252885246351052e-35 3.3673974551655714e-32 3.0308844208145153e-28
6.4280731172843194e-06 1.3965645361948833e-35 8.444995694581041e-32 7.922963208611845e-28
8.902150854450375e-06 1.0235388461323214e-35 2.165893989211841e-31 2.0847494577801468e-27
1.2328467394420658e-05 7.625971790621789e-36 5.6329057898615195e-31 5.5068434007762085e-27
1.7073526474706886e-05 5.84811698385571e-36 1.477519145781494e-30 1.4578705610374537e-26
2.3644894126454072e-05 4.7177559499279723e-36 3.895463228161906e-30 3.8641610240129647e-26
