# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5
1e-10 inf
1.3848863713938747e-10 inf
1.9179102616724848e-10 inf
2.656087782946684e-10 inf
3.6783797718286343e-10 inf
5.094138014816385e-10 inf
7.054802310718631e-10 inf
9.770099572992246e-10 inf
1.3530477745798075e-09 inf
1.873817422860387e-09 inf
2.595024211399732e-09 inf
3.5938136638046257e-09 inf
4.977023564332114e-09 inf
6.892612104349681e-09 inf
9.545484566618328e-09 inf
1.3219411484660288e-08 inf
1.8307382802953696e-08 inf
2.5353644939701113e-08 inf
3.5111917342151277e-08 inf
4.8626015800653535e-08 inf
6.734150657750828e-08 inf
9.3260334688322e-08 inf
1.2915496650148827e-07 inf
1.7886495290574352e-07 7.76471005419717e-33
2.4770763559917087e-07 3.3846551742942905e-34
3.430469286314912e-07 6.148873394005112e-35
4.7508101621027934e-07 2.1340334148118045e-35
6.579332246575682e-07 1.0410993649060312e-35
9.111627561154887e-07 6.094257634720248e-36
1.261856883066021e-06 3.9356948495221226e-36
1.747528400007683e-06 2.6800122508235462e-36
2.4201282647943835e-06 1.8780756391287113e-36
3.3516026509388406e-06 1.3373764495657445e-36
4.641588833612773e-06 9.619872721631662e-37
6.4280731172843194e-06 6.978057010071044e-37
8.902150854450375e-06 5.114201481725868e-37
1.2328467394420658e-05 3.810383590087568e-37
1.7073526474706886e-05 2.92206286621725e-37
2.3644894126454072e-05 2.357268076410995e-37
3.274549162877725e-05 2.0696729138549834e-37
4.534878508128582e-05 2.0671967695007312e-37
6.280291441834246e-05 2.448874248364709e-37
8.697490026177834e-05 3.505006678828905e-37
0.00012045035402587811 5.972810300213289e-37
0.0001668100537200059 1.1697839900467286e-36
0.0002310129700083158 2.536876647044157e-36
0.00031992671377973844 5.907945199112385e-36
0.00044306214575838776 1.443663004747448e-35
0.0006135907273413163 3.6407176082707393e-35
0.0008497534359086438 9.368224496674642e-35
0.0011768119524349966 2.44116711967177e-34
0.0016297508346206436 6.410454423523212e-34
0.002257019719633917 1.691173070806565e-33
0.0031257158496882354 4.473526481683572e-33
0.004328761281083053 1.1850354349336762e-32
0.005994842503189409 3.140859271568318e-32
0.008302175681319735 8.322658203546902e-32
0.011497569953977356 2.2027109110602993e-31
0.01592282793341094 5.81411127285302e-31
0.022051307399030412 1.5264853725306671e-30
0.030538555088334123 3.967463966662261e-30
0.04229242874389499 1.0122206584920542e-29
0.058570208180566734 2.4995462783614135e-29
0.08111308307896856 5.850377576951605e-29
0.11233240329780265 1.2655933194223762e-28
0.15556761439304723 2.4792764269389196e-28
0.21544346900318778 4.380298492270759e-28
0.2983647240283334 7.084851876746916e-28
0.41320124001153347 1.0753232222272041e-27
0.572236765935022 1.5676446309607193e-27
0.7924828983539153 2.2323508268939008e-27
1.0974987654930546 3.1378606415669946e-27
1.5199110829529332 4.380006054747743e-27
2.104904144512022 6.091540282076194e-27
2.91505306282517 8.456249078635201e-27
4.03701725859655 1.1729215750357583e-26
5.5908101825122225 1.626590001454757e-26
7.742636826811277 2.2564539183129606e-26
10.72267222010321 3.132973688535007e-26
14.849682622544636 4.357162557097711e-26
20.565123083486515 6.076815300466327e-26
28.48035868435793 8.514523593899667e-26
39.44206059437648 1.2018674306304523e-25
54.62277217684337 1.7160936546763471e-25
75.64633275546291 2.493105713941499e-25
104.76157527896619 3.7142841050932686e-25
145.08287784959373 5.7317119130184375e-25
200.92330025650458 9.268748282446445e-25
278.2559402207126 1.5894760550709526e-24
385.352859371052 2.9185225128715867e-24
533.6699231206302 5.759429896266654e-24
739.0722033525775 1.2144069248225815e-23
1023.5310218990269 2.687975837650588e-23
1417.474162926802 6.066341183785494e-23
1963.0406500402685 1.34501996049905e-22
2718.58824273294 2.8183740446390564e-22
3764.935806792456 5.418253790798771e-22
5214.0082879996735 9.466450456270677e-22
7220.8090183854565 1.5211496805056534e-21
10000.0 2.3001836891291703e-21
