# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1e-10 inf inf inf inf inf inf
1.3848863713938747e-10 inf inf inf inf inf inf
1.9179102616724848e-10 inf inf inf inf inf inf
2.656087782946684e-10 inf inf inf inf inf inf
3.6783797718286343e-10 inf inf inf inf inf inf
5.094138014816385e-10 inf inf inf inf inf inf
7.054802310718631e-10 inf inf inf inf inf inf
9.770099572992246e-10 inf inf inf inf inf inf
1.3530477745798075e-09 inf inf inf inf inf inf
1.873817422860387e-09 inf inf inf inf inf inf
2.595024211399732e-09 inf inf inf inf inf inf
3.5938136638046257e-09 inf inf inf inf inf inf
4.977023564332114e-09 inf inf inf inf inf inf
6.892612104349681e-09 inf inf inf inf inf inf
9.545484566618328e-09 inf inf inf inf inf inf
1.3219411484660288e-08 inf inf inf inf inf inf
1.8307382802953696e-08 inf inf inf inf inf inf
2.5353644939701113e-08 inf inf inf inf inf inf
3.5111917342151277e-08 inf inf inf inf inf inf
4.8626015800653535e-08 inf inf inf inf inf inf
6.734150657750828e-08 inf inf inf inf inf inf
9.3260334688322e-08 inf inf inf inf inf inf
1.2915496650148827e-07 inf inf inf inf inf inf
1.7886495290574352e-07 1.5539769077933684e-31 1.5539769103619861e-31 1.554002594114263e-31 1.5565465779846909e-31 1.8213241285033953e-31 1.3199098173288838e-29
2.4770763559917087e-07 6.773726857076533e-33 6.773726877736303e-33 6.773933455754033e-33 6.794401865879893e-33 8.99255258445313e-33 1.7349906084243647e-30
3.430469286314912e-07 1.2305439694658354e-33 1.2305439765215823e-33 1.2306145546283492e-33 1.2376121017427162e-33 2.0333337847025836e-33 1.0281231330525794e-30
4.7508101621027934e-07 4.270519338124563e-34 4.270519384335733e-34 4.270981710065863e-34 4.316873572743303e-34 1.0067717245773034e-33 1.1728015049731226e-30
6.579332246575682e-07 2.0831939927901104e-34 2.0831940354900844e-34 2.083620769484049e-34 2.126072229826865e-34 8.331844561623126e-34 1.8750669440004727e-30
9.111627561154887e-07 1.2192098006987048e-34 1.2192098481123897e-34 1.2196839427940645e-34 1.2670395514417433e-34 9.946827478567091e-34 3.63717669761267e-30
1.261856883066021e-06 7.870935039389813e-35 7.870935622097222e-35 7.876765472386841e-35 8.463575632342042e-35 1.5444300643979782e-33 7.946903055884269e-30
1.747528400007683e-06 5.356106819545769e-35 5.356107576876225e-35 5.363685135656245e-35 6.137510297815659e-35 2.877871962213257e-33 1.8708730666804945e-29
2.4201282647943835e-06 3.7485661348344504e-35 3.748567149017596e-35 3.758716545470006e-35 4.82345304878751e-35 6.069797453689009e-33 4.615296933645311e-29
3.3516026509388406e-06 2.662761982607119e-35 2.6627633625773204e-35 2.67657962425665e-35 4.198885220530359e-35 1.3910662165890285e-32 1.1721729942400162e-28
4.641588833612773e-06 1.9063099090971655e-35 1.9063118026355063e-35 1.9252885246351052e-35 4.204151782633462e-35 3.3673974551655714e-32 3.0308844208145153e-28
6.4280731172843194e-06 1.3703563895305812e-35 1.3703589992479451e-35 1.3965645361948833e-35 5.024457552993173e-35 8.444995694581041e-32 7.922963208611845e-28
8.902150854450375e-06 9.871968463065145e-36 9.872004513822979e-36 1.0235388461323214e-35 7.270374824998453e-35 2.165893989211841e-31 2.0847494577801468e-27
1.2328467394420658e-05 7.119668459509196e-36 7.119718320219489e-36 7.625971790621789e-36 1.2512818313034947e-34 5.6329057898615195e-31 5.5068434007762085e-27
1.7073526474706886e-05 5.137706415884659e-36 5.1377754201167266e-36 5.84811698385571e-36 2.469640452260992e-34 1.477519145781494e-30 1.4578705610374537e-26
2.3644894126454072e-05 3.7086088734029396e-36 3.7087044025532576e-36 4.7177559499279723e-36 5.38579323795017e-34 3.895463228161906e-30 3.8641610240129647e-26
3.274549162877725e-05 2.6774523271419335e-36 2.6775846002103506e-36 4.1421727980172674e-36 1.2591029525174589e-33 1.0301229288558572e-29 1.0247263152964279e-25
4.534878508128582e-05 1.933162772238172e-36 1.9333459394503464e-36 4.137217127138315e-36 3.084662710679444e-33 2.728635584065671e-29 2.7172142391428537e-25
6.280291441834246e-05 1.395834253537967e-36 1.396087911336002e-36 4.9010934188860045e-36 7.79206583995416e-33 7.233473230957341e-29 7.199644364980633e-25
8.697490026177834e-05 1.0078805350839854e-36 1.0082318259647766e-36 7.014800853180222e-36 2.0071537372926764e-32 1.917772563896083e-28 1.9042470287246476e-24
0.00012045035402587811 7.2776197850683e-37 7.282485041010841e-37 1.1953778873773447e-35 5.233646080221726e-32 5.081448333867102e-28 5.0185718399091254e-24
0.0001668100537200059 5.254995219153618e-37 5.261733909470035e-37 2.3411657903482466e-35 1.374889601771308e-31 1.3442488639927468e-27 1.3135878211903667e-23
0.0002310129700083158 3.794518498531969e-37 3.803853206274551e-37 5.077218418894495e-35 3.628017475099816e-31 3.54429121854089e-27 3.3945339054073e-23
0.00031992671377973844 2.739944378598488e-37 2.7528782959775295e-37 1.1823960072202357e-34 9.598205034041029e-31 9.285230477749085e-27 8.571388085487411e-23
0.00044306214575838776 1.9784596463891825e-37 1.996388717134137e-37 2.8892979116350117e-34 2.5427410045420906e-30 2.4034548140229532e-26 2.0799104144842104e-22
0.0006135907273413163 1.42860723351014e-37 1.4534823012149734e-37 7.2864080798895695e-34 6.73954010538896e-30 6.086928188015457e-26 4.739040507463213e-22
0.0008497534359086438 1.0315697508944326e-37 1.0661392547772217e-37 1.8749245069631164e-33 1.7858174187673926e-29 1.484396454434526e-25 9.890600660515588e-22
0.0011768119524349966 7.448767389818171e-38 7.930707978647951e-38 4.885668634317873e-33 4.7261073060689434e-29 3.4077293360916012e-25 1.86196234506e-21
0.0016297508346206436 5.378612613694109e-38 6.054500237451607e-38 1.282966489936285e-32 1.247284140700577e-28 7.182253302505322e-25 3.173180671982622e-21
