# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 1.289623868670381e-35
3.2360111549336787e-07 1.3664935756693308e-35
3.311463862505236e-07 1.4485067077428934e-35
3.388675869043115e-07 1.5360230959198572e-35
3.4676881953794695e-07 1.62942813705269e-35
3.548542818811901e-07 1.7291346195917172e-35
3.6312826954049566e-07 1.8355846799653575e-35
3.715951782811629e-07 1.949251898915696e-35
3.8025950636269697e-07 2.0706435478054363e-35
3.89125856928623e-07 2.2003029956319918e-35
3.9819894045202297e-07 2.3388122882506807e-35
4.0748357723809307e-07 2.486794912132933e-35
4.169846999850535e-07 2.6449187558706157e-35
4.2670735640476865e-07 2.813899283576388e-35
4.3665671190447213e-07 2.9945029353526955e-35
4.4683805233101997e-07 3.1875507710774017e-35
4.572567867791303e-07 3.393922374930563e-35
4.6791845046510194e-07 3.614560039315808e-35
4.788287076675383e-07 3.850473248185459e-35
4.899933547366384e-07 4.102743481200646e-35
5.014183231736547e-07 4.372529361676271e-35
5.131096827821533e-07 4.661072172952029e-35
5.250736448927506e-07 4.969701769535074e-35
5.373165656630395e-07 5.299842911281324e-35
5.4984494945446e-07 5.653022050899073e-35
5.626654522879044e-07 6.030874607214698e-35
5.757848853798981e-07 6.435152759015799e-35
5.892102187612295e-07 6.867733796712759e-35
6.029485849799565e-07 7.330629071676179e-35
6.17007282890752e-07 7.825993586168258e-35
6.313937815326057e-07 8.356136269638824e-35
6.461157240969403e-07 8.923530990572716e-35
6.611809319882495e-07 9.530828356475015e-35
6.765974089794179e-07 1.0180868358449226e-34
6.923733454639272e-07 1.0876693920912196e-34
7.085171228072106e-07 1.1621565421041382e-34
7.250373177994646e-07 1.2418976247616602e-34
7.419427072122865e-07 1.3272669473487689e-34
7.592422724615558e-07 1.4186655721460847e-34
7.769452043790388e-07 1.5165232309032328e-34
7.950609080952509e-07 1.6213003763508582e-34
8.135990080361694e-07 1.733490380564062e-34
8.325693530364543e-07 1.853621890685709e-34
8.519820215718901e-07 1.9822613532808415e-34
8.718473271138315e-07 2.120015719387308e-34
8.921758236084957e-07 2.2675353432070277e-34
9.12978311084014e-07 2.4255170882907566e-34
9.342658413882192e-07 2.5947076560791554e-34
9.560497240602198e-07 2.7759071527141945e-34
9.78341532338879e-07 2.96997291117115e-34
1.0011531093113902e-06 3.1778235870206813e-34
1.0244965742052174e-06 3.400443547357013e-34
1.048384328826741e-06 3.6388875739339286e-34
1.0728290641500308e-06 3.8942859029411e-34
1.0978437670592484e-06 4.167849625650597e-34
1.1234417272482566e-06 4.460876475512498e-34
1.149636544281106e-06 4.774757029726058e-34
1.1764421348171486e-06 5.110981354590876e-34
1.2038727400046132e-06 5.471146126678338e-34
1.2319429330465773e-06 5.856962263752065e-34
1.2606676269433496e-06 6.270263101964556e-34
1.2900620824153782e-06 6.7130131584331895e-34
1.3201419160108953e-06 7.1873175211693635e-34
1.3509231084026028e-06 7.695431911085445e-34
1.38242201287781e-06 8.239773464441785e-34
1.4146553640265304e-06 8.822932287112598e-34
1.447640286632156e-06 9.447683836056544e-34
1.4813943047694329e-06 1.0117002187055366e-33
1.5159353511145682e-06 1.0834074252420845e-33
1.5512817764724183e-06 1.1602315016349463e-33
1.587452359525819e-06 1.2425383861081807e-33
1.6244663168122348e-06 1.3307202061749595e-33
1.6623433129330315e-06 1.4251971533673635e-33
1.7011034710007933e-06 1.5264194921767457e-33
1.740767383330235e-06 1.6348697128103284e-33
1.7813561223783898e-06 1.7510648380542262e-33
1.8228912519398869e-06 1.875558895287651e-33
1.8653948386032614e-06 2.008945565466167e-33
1.908889463474389e-06 2.1518610217359232e-33
1.9533982341732686e-06 2.304986971256279e-33
1.9989447971105317e-06 2.4690539147961833e-33
2.045553350050195e-06 2.644844639653598e-33
