# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 6.021306275608063e-29
3.2360111549336787e-07 6.602839676097968e-29
3.311463862505236e-07 7.240537152096273e-29
3.388675869043115e-07 7.939822989388682e-29
3.4676881953794695e-07 8.706645347193196e-29
3.548542818811901e-07 9.547526853632948e-29
3.6312826954049566e-07 1.0469620087297832e-28
3.715951782811629e-07 1.1480768417895034e-28
3.8025950636269697e-07 1.2589572721621082e-28
3.89125856928623e-07 1.3805464541404844e-28
3.9819894045202297e-07 1.5138786310971823e-28
4.0748357723809307e-07 1.6600879329172982e-28
4.169846999850535e-07 1.8204180229310395e-28
4.2670735640476865e-07 1.9962326764553676e-28
4.3665671190447213e-07 2.189027381315097e-28
4.4683805233101997e-07 2.400442058366517e-28
4.572567867791303e-07 2.632275010839063e-28
4.6791845046510194e-07 2.8864982207005667e-28
4.788287076675383e-07 3.1652741223446977e-28
4.899933547366384e-07 3.4709739968857345e-28
5.014183231736547e-07 3.806198141431235e-28
5.131096827821533e-07 4.173797988161906e-28
5.250736448927506e-07 4.57690035811512e-28
5.373165656630395e-07 5.018934058771224e-28
5.4984494945446e-07 5.503659048904431e-28
5.626654522879044e-07 6.035198421061692e-28
5.757848853798981e-07 6.6180734732592875e-28
5.892102187612295e-07 7.257242166811403e-28
6.029485849799565e-07 7.958141299128347e-28
6.17007282890752e-07 8.726732749168403e-28
6.313937815326057e-07 9.569554189778593e-28
6.461157240969403e-07 1.0493774696676039e-27
6.611809319882495e-07 1.1507255729612848e-27
6.765974089794179e-07 1.2618618001677538e-27
6.923733454639272e-07 1.3837314807975211e-27
7.085171228072106e-07 1.517371243485714e-27
7.250373177994646e-07 1.6639178335681512e-27
7.419427072122865e-07 1.8246177824631236e-27
7.592422724615558e-07 2.0008380105341036e-27
7.769452043790388e-07 2.1940774540934895e-27
7.950609080952509e-07 2.4059798155803674e-27
8.135990080361694e-07 2.638347544817215e-27
8.325693530364543e-07 2.893157170769502e-27
8.519820215718901e-07 3.1725761139684192e-27
8.718473271138315e-07 3.478981122163403e-27
8.921758236084957e-07 3.814978488065614e-27
9.12978311084014e-07 4.183426217228705e-27
9.342658413882192e-07 4.587458339348164e-27
9.560497240602198e-07 5.03051156576525e-27
9.78341532338879e-07 5.5163545225651055e-27
1.0011531093113902e-06 6.0491198057051204e-27
1.0244965742052174e-06 6.633339134571757e-27
1.048384328826741e-06 7.273981897391831e-27
1.0728290641500308e-06 7.97649742031082e-27
1.0978437670592484e-06 8.74686132280035e-27
1.1234417272482566e-06 9.59162634158274e-27
1.149636544281106e-06 1.0517978071574155e-26
1.1764421348171486e-06 1.1533796084766618e-26
1.2038727400046132e-06 1.2647720956245074e-26
1.2319429330465773e-06 1.3869227758334444e-26
1.2606676269433496e-06 1.5208706655216018e-26
1.2900620824153782e-06 1.6677551284890804e-26
1.3201419160108953e-06 1.828825566880766e-26
1.3509231084026028e-06 2.005452048954436e-26
1.38242201287781e-06 2.1991369625808487e-26
1.4146553640265304e-06 2.4115277947700168e-26
1.447640286632156e-06 2.6444311449644104e-26
1.4813943047694329e-06 2.8998280920947236e-26
1.5159353511145682e-06 3.1798910453243086e-26
1.5512817764724183e-06 3.487002222439538e-26
1.587452359525819e-06 3.823773913132047e-26
1.6244663168122348e-06 4.1930706996551917e-26
1.6623433129330315e-06 4.598033820668658e-26
1.7011034710007933e-06 5.042107893363955e-26
1.740767383330235e-06 5.529070209589771e-26
1.7813561223783898e-06 6.063062869909789e-26
1.8228912519398869e-06 6.648628011734713e-26
1.8653948386032614e-06 7.290746445467617e-26
1.908889463474389e-06 7.994880022890937e-26
1.9533982341732686e-06 8.767018092834558e-26
1.9989447971105317e-06 9.61372844751886e-26
2.045553350050195e-06 1.0542213186514805e-25
2.0932486549653353e-06 1.1560369974567812e-25
2.1420560511935146e-06 1.2676859227355822e-25
2.192001468898943e-06 1.390117776197403e-25
2.2431114428485372e-06 1.524373958717443e-25
2.2954131265091837e-06 1.6715964479355512e-25
2.3489343064737076e-06 1.8330375114996946e-25
2.403703417223201e-06 2.0100703590164435e-25
2.4597495562335635e-06 2.204200822125147e-25
2.5171024994342686e-06 2.4170801629081307e-25
2.575792717027583e-06 2.650519118843911e-25
2.635851389676631e-06 2.9065033054757533e-25
2.6973104250709106e-06 3.1872101045447926e-25
2.760202474878063e-06 3.495027185226062e-25
2.8245609520908932e-06 3.832572811657948e-25
2.8904200487788716e-06 4.202718115133786e-25
2.9578147542535346e-06 4.608611513133748e-25
3.026780873657441e-06 5.053705491125577e-25
3.097355046986562e-06 5.541785965544272e-25
3.1695747685562034e-06 6.07700448789673e-25
3.2434784069208122e-06 6.6639135561454105e-25
3.319105225258239e-06 7.30750533464191e-25
3.3964954022292982e-06 8.013254118030449e-25
3.4756900533236943e-06 8.787162891458848e-25
3.5567312527036693e-06 9.63581438895406e-25
3.6396620555569646e-06 1.0566427090716944e-24
3.7245265209709786e-06 1.158691660538199e-24
3.811369735340273e-06 1.2705963006912137e-24
3.900237836319859e-06 1.393308466925603e-24
3.991178037336996e-06 1.527871920467641e-24
4.0842386526745176e-06 1.675431225447058e-24
4.179469123139017e-06 1.837241483748855e-24
4.2769200423275275e-06 2.014679009738032e-24
4.376643183506652e-06 2.2092530362375115e-24
4.478691527118417e-06 2.4226185511382127e-24
4.583119288927478e-06 2.6565903745378173e-24
4.689981948824612e-06 2.9131585920075067e-24
4.799336280301815e-06 3.1945054815422456e-24
4.911240380614659e-06 3.5030240758578e-24
5.0257537016479225e-06 3.841338512729331e-24
5.142937081500915e-06 4.212326354822731e-24
5.262852776809252e-06 4.619143063523984e-24
5.385564495820272e-06 5.0652488357412856e-24
5.511137432239651e-06 5.5544380319326975e-24
5.639638299867211e-06 6.090871445898062e-24
5.771135368040315e-06 6.679111695817202e-24
5.905698497903673e-06 7.324162021732588e-24
