# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
3.162277660168379e-07 5.941444632316988e-40
3.1695681929364404e-07 5.97140992049169e-40
3.176875533800999e-07 6.001559104805937e-40
3.184199721512585e-07 6.031893402770239e-40
3.1915407949110935e-07 6.062414040072618e-40
3.1988987929259374e-07 6.093122250633935e-40
3.206273754576306e-07 6.124019276664005e-40
3.21366571897132e-07 6.155106368717758e-40
3.2210747253102857e-07 6.186384785752125e-40
3.22850081288288e-07 6.217855795183101e-40
3.2359440210693434e-07 6.249520672943231e-40
3.243404389340731e-07 6.281380703539725e-40
3.2508819572590726e-07 6.313436480597954e-40
3.2583767644776316e-07 6.345688617755336e-40
3.265888850741065e-07 6.378139743264867e-40
3.273418255885687e-07 6.410791174623752e-40
3.280965019839626e-07 6.4436442381583735e-40
3.288529182623083e-07 6.476700269084306e-40
3.2961107843485257e-07 6.5099606115665034e-40
3.303709865220878e-07 6.5434266187798676e-40
3.311326465537783e-07 6.577099652970592e-40
3.318960625689763e-07 6.610981085517484e-40
3.326612386160483e-07 6.645072296994172e-40
3.334281787526918e-07 6.679374677231342e-40
3.34196887045961e-07 6.713889625379787e-40
3.349673675722868e-07 6.748618549973695e-40
3.3573962441749595e-07 6.783562868994301e-40
3.3651366167683775e-07 6.818724009934377e-40
3.372894834550002e-07 6.8541034098626745e-40
3.3806709386613735e-07 6.889702515489335e-40
3.388464970338855e-07 6.925522783231282e-40
3.3962769709138987e-07 6.961565679278522e-40
3.404106981813246e-07 6.997832679660657e-40
3.4119550445591263e-07 7.0343252703138e-40
3.419821200769523e-07 7.071044947148359e-40
3.4277054921583424e-07 7.1079932161167874e-40
3.4356079605356876e-07 7.145171593282341e-40
3.4435286478080264e-07 7.182581604887806e-40
3.4514675959784616e-07 7.220224787425223e-40
3.459424847146933e-07 7.258102687705772e-40
3.4674004435104184e-07 7.2962168629301465e-40
3.4753944273632086e-07 7.334568880759802e-40
3.4834068410970744e-07 7.373160319388151e-40
3.4914377272015465e-07 7.411992629506939e-40
3.499487128264088e-07 7.451066874506166e-40
3.507555086970364e-07 7.49038531097646e-40
3.515641646104453e-07 7.529949559199664e-40
3.5237468485490476e-07 7.569761250337861e-40
3.531870737285736e-07 7.609822026507966e-40
3.540013355395168e-07 7.650133540856295e-40
3.548174746057344e-07 7.69069745763429e-40
3.556354952551786e-07 7.731515452274207e-40
3.564554018257825e-07 7.772589211465853e-40
3.5727719866547713e-07 7.81392043323339e-40
3.5810089013221984e-07 7.85551082701316e-40
3.589264805940151e-07 7.89736211373175e-40
3.597539744289354e-07 7.939476025884583e-40
3.6058337602514977e-07 7.98185430761546e-40
3.614146897809411e-07 8.024498714796114e-40
3.6224792010473523e-07 8.06741101510689e-40
3.630830714151186e-07 8.110592988117488e-40
3.639201481408667e-07 8.154046425368765e-40
3.6475915472096564e-07 8.19777313045479e-40
3.65600095604633e-07 8.241774919105454e-40
3.66442975251347e-07 8.286053619270105e-40
3.67287798130864e-07 8.33061107120114e-40
3.6813456872324835e-07 8.375449127538878e-40
3.6898329151888993e-07 8.420569653396345e-40
3.698339710185333e-07 8.465974526445338e-40
3.7068661173329954e-07 8.511665637002633e-40
3.715412181847075e-07 8.557644888116854e-40
3.7239779490470347e-07 8.603914195656355e-40
3.732563464356788e-07 8.650475484639958e-40
3.741168773305002e-07 8.697330662902054e-40
3.749793921525281e-07 8.744481721552074e-40
3.758438954756463e-07 8.791930628584913e-40
3.7671039188428083e-07 8.839679365261443e-40
3.77578885973429e-07 8.887729926200195e-40
3.784493823486819e-07 8.936084319469283e-40
3.793218856262463e-07 8.98474456667903e-40
3.801964004329746e-07 9.033712703075584e-40
3.8107293140638317e-07 9.082990777634685e-40
3.8195148319468315e-07 9.132580853156698e-40
3.8283206045679873e-07 9.182485006361642e-40
3.837146678623977e-07 9.232705327985603e-40
3.8459931009191337e-07 9.28324392287734e-40
