# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2 MeV4, datatype: float64}
# schema: astropy-2.0
mx sigma
3.162277660168379e-07 2.2886747940574885e-28
3.2360111549336787e-07 2.5097133625354943e-28
3.311463862505236e-07 2.7520996782657362e-28
3.388675869043115e-07 3.017895491542293e-28
3.4676881953794695e-07 3.3093616749939495e-28
3.548542818811901e-07 3.6289774547411575e-28
3.6312826954049566e-07 3.9794614987387717e-28
3.715951782811629e-07 4.363795042090389e-28
3.8025950636269697e-07 4.78524724532473e-28
3.89125856928623e-07 5.247403002346131e-28
3.9819894045202297e-07 5.754193433320335e-28
4.0748357723809307e-07 6.309929323410709e-28
4.169846999850535e-07 6.919337790435441e-28
4.2670735640476865e-07 7.587602493541313e-28
4.3665671190447213e-07 8.320407726389316e-28
4.4683805233101997e-07 9.123986767435171e-28
4.572567867791303e-07 1.0005174900909746e-27
4.6791845046510194e-07 1.0971467557795612e-27
4.788287076675383e-07 1.2031084072061296e-27
4.899933547366384e-07 1.3193037596776896e-27
5.014183231736547e-07 1.4467211766869833e-27
5.131096827821533e-07 1.5864444773042747e-27
5.250736448927506e-07 1.7396621549641322e-27
5.373165656630395e-07 1.9076774871253067e-27
5.4984494945446e-07 2.091919620741125e-27
5.626654522879044e-07 2.293955728702986e-27
5.757848853798981e-07 2.515504340487804e-27
5.892102187612295e-07 2.7584499598659296e-27
6.029485849799565e-07 3.0248590946602478e-27
6.17007282890752e-07 3.3169978345115994e-27
6.313937815326057e-07 3.637351126498804e-27
6.461157240969403e-07 3.9886439119613666e-27
6.611809319882495e-07 4.3738643052781554e-27
6.765974089794179e-07 4.796289010715388e-27
6.923733454639272e-07 5.259511194472425e-27
7.085171228072106e-07 5.7674710480320895e-27
7.250373177994646e-07 6.324489303556658e-27
7.419427072122865e-07 6.935303986984265e-27
7.592422724615558e-07 7.605110719273122e-27
7.769452043790388e-07 8.339606910392438e-27
7.950609080952509e-07 9.145040222484691e-27
8.135990080361694e-07 1.0028261712346194e-26
8.325693530364543e-07 1.0996784107156863e-26
8.519820215718901e-07 1.2058845708199615e-26
8.718473271138315e-07 1.3223480464466287e-26
8.921758236084957e-07 1.4500594819983378e-26
9.12978311084014e-07 1.5901051973604425e-26
9.342658413882192e-07 1.7436764285934016e-26
9.560497240602198e-07 1.9120794604177654e-26
9.78341532338879e-07 2.0967467376832004e-26
1.0011531093113902e-06 2.2992490494925623e-26
1.0244965742052174e-06 2.5213088910407548e-26
1.048384328826741e-06 2.764815114700537e-26
1.0728290641500308e-06 3.031838996478432e-26
1.0978437670592484e-06 3.32465185568993e-26
1.1234417272482566e-06 3.6457443731254096e-26
1.149636544281106e-06 3.997847778184075e-26
1.1764421348171486e-06 4.38395708017421e-26
1.2038727400046132e-06 4.8073565449299904e-26
1.2319429330465773e-06 5.271647629982439e-26
1.2606676269433496e-06 5.780779618640732e-26
1.2900620824153782e-06 6.339083214070661e-26
1.3201419160108953e-06 6.951307374770724e-26
1.3509231084026028e-06 7.622659710883808e-26
1.38242201287781e-06 8.35885077936262e-26
1.4146553640265304e-06 9.166142659215901e-26
