# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 5.9931777049984995e-49 8.07232036512994e-49 2.0184067942541927e-47 1.7250072143558998e-45 1.7236936815625973e-43 1.7335734254096537e-41 5.761727924353144e-40 5.943642927668869e-40
3.2360111549336787e-07 5.85900780187501e-49 7.934893145157596e-49 2.0503204108862925e-47 1.7651296410554078e-45 1.763916559560811e-43 1.77544132615181e-41 5.97139978974391e-40 6.2487778814871284e-40
3.311463862505236e-07 5.7279466598849376e-49 7.800039153097055e-49 2.0833285674079094e-47 1.8061899188422322e-45 1.8050795868032997e-43 1.8183803497702356e-41 6.1911861782329695e-40 6.573164512147929e-40
3.388675869043115e-07 5.5999243750273046e-49 7.667708704944887e-49 2.1174559169317623e-47 1.8482098631723032e-45 1.8472048353460343e-43 1.8624214684134976e-41 6.421682874657292e-40 6.9181163107029614e-40
3.4676881953794695e-07 5.4748726394121506e-49 7.537853625022783e-49 2.152727427338252e-47 1.8912117997294524e-45 1.890314901806437e-43 1.9075967397129367e-41 6.663524362781836e-40 7.285037645314201e-40
3.548542818811901e-07 5.35272470380709e-49 7.410427115311853e-49 2.1891683722013752e-47 1.935218576291295e-45 1.9344329202278676e-43 1.953939353319794e-41 6.917386463605335e-40 7.675430070344094e-40
3.6312826954049566e-07 5.2334153409461154e-49 7.28538363673053e-49 2.2268043228210705e-47 1.9802535748739617e-45 1.979582575286408e-43 2.0014836797960113e-41 7.183989159713609e-40 8.090899076209327e-40
3.715951782811629e-07 5.116880809578359e-49 7.16267880236606e-49 2.2656611416004814e-47 2.0263407241629366e-45 2.025788115845829e-43 2.0502653219366043e-41 7.46409961941403e-40 8.533161314018276e-40
3.8025950636269697e-07 5.003058819234976e-49 7.042269282455974e-49 2.305764977009008e-47 2.0735045122355517e-45 2.0730743688739676e-43 2.1003211686852544e-41 7.758535435033656e-40 9.004052333665688e-40
3.89125856928623e-07 4.891888495692586e-49 6.924112720734176e-49 2.3471422603703866e-47 2.121769999583198e-45 2.1214667537324384e-43 2.151689451771515e-41 8.06816809077262e-40 9.50553487965081e-40
