# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
1e-05 3.59111410979819e-50 1.3913239453038326e-49 5.449537491593182e-46 5.49116873385172e-44 7.110535546333514e-42 7.77870536712415e-39 9.65391022721744e-36 2.404165158185226e-35
1.0186101701559753e-05 3.5484266693535596e-50 1.3909550913909424e-49 5.550955302997986e-46 5.594745293464121e-44 7.290707974402098e-42 8.185034171897845e-39 1.0202292534130617e-35 2.540872606305849e-35
1.0375666787451848e-05 3.5063877183585204e-50 1.3908354436432343e-49 5.654262346296997e-46 5.700318476027097e-44 7.476497798698785e-42 8.613686789038688e-39 1.0781851684661656e-35 2.685354831872719e-35
1.056875971184805e-05 3.464987780770644e-50 1.3909672796755768e-49 5.759493844154846e-46 5.807928829045582e-44 7.6681185147122e-42 9.065918160146834e-39 1.1394360651961578e-35 2.8380540218971736e-35
1.0765446128423159e-05 3.4242175362280843e-50 1.3913529973492425e-49 5.866685678656211e-46 5.917617818286584e-44 7.865793001995734e-42 9.543054378729966e-39 1.2041693244272721e-35 2.999437513001372e-35
1.09657929126781e-05 3.38406781769652e-50 1.391995116946936e-49 5.975874403769949e-46 6.029427852623413e-44 8.069753979607805e-42 1.0046496732409167e-38 1.2725829839939768e-35 3.169999221823138e-35
1.1169868184678226e-05 3.344529609158149e-50 1.392896283388179e-49 6.087097258055156e-46 6.143402309702573e-44 8.280244485318117e-42 1.0577725974857444e-38 1.344886344860277e-35 3.3502611567761986e-35
1.1377741332214902e-05 3.3055940433420383e-50 1.3940592684830231e-49 6.200392177614274e-46 6.259585562465333e-44 8.497518379890585e-42 1.113830684053827e-38 1.42130061171252e-35 3.540775015793302e-35
1.1589483034398118e-05 3.2672523994953085e-50 1.3954869732218456e-49 6.315797809298435e-46 6.378023006556999e-44 8.721840877828234e-42 1.1729892816053496e-38 1.5020595699863812e-35 3.7421238749424213e-35
1.1805165285688056e-05 3.2294961011945944e-50 1.3971824300987009e-49 6.4333535241701136e-46 6.498761088658381e-44 8.953489106044905e-42 1.2354231182695942e-38 1.5874103014002077e-35 3.954923973084489e-35
1.2024861420374123e-05 3.192316714197169e-50 1.3991488054654645e-49 6.5530994312287545e-46 6.62184733577556e-44 9.192752692013013e-42 1.3013168345633227e-38 1.6776139401849367e-35 4.179826598035397e-35
1.2248646137509308e-05 3.15570594433127e-50 1.401389401913721e-49 6.675076391404561e-46 6.747330385525283e-44 9.439934383024989e-42 1.3708655466025194e-38 1.7729464723250762e-35 4.4175200800050164e-35
1.2476595526308685e-05 3.119655635425056e-50 1.4039076606810427e-49 6.799326031826299e-46 6.875260017455126e-44 9.695350698300837e-42 1.4442754413306184e-38 1.8736995802571394e-35 4.6687318984149965e-35
1.2708787092020594e-05 3.084157767273672e-50 1.4067071640780417e-49 6.925890760368856e-46 7.005687185439294e-44 9.95933261577386e-42 1.5217644055843357e-38 1.9801815356109818e-35 4.934230908543828e-35
1.294529978227916e-05 3.0492044536439844e-50 1.4097916379322228e-49 7.054813780486355e-46 7.138664051192272e-44 1.0232226295491748e-41 1.6035626909217003e-38 2.0927181427264046e-35 5.214829694814275e-35
1.3186214013947486e-05 3.014787940316386e-50 1.4131649540443542e-49 7.186139106337162e-46 7.274244018944952e-44 1.0514393841682873e-41 1.6899136162465766e-38 2.2116537358331316e-35 5.511387057926493e-35
1.3431611700460154e-05 2.980900603163312e-50 1.4168311326527463e-49 7.319911578206643e-46 7.412481771329106e-44 1.080621410565471e-41 1.7810743103793808e-38 2.337352232946049e-35 5.824810643448925e-35
1.3681576279674705e-05 2.947534946263927e-50 1.4207943449004613e-49 7.456176878234356e-46 7.553433306518558e-44 1.11080835318175e-41 1.877316496846242e-38 2.47019824970164e-35 6.156059719912894e-35
1.3936192742241435e-05 2.9146836000545576e-50 1.4250589153001345e-49 7.59498154645203e-46 7.697155976677219e-44 1.1420417049258462e-41 1.978927323287938e-38 2.6105982765447627e-35 6.506148114913933e-35
1.4195547660501015e-05 2.8823393195144386e-50 1.4296293241907065e-49 7.736372997139047e-46 7.843708527766287e-44 1.1743649011431542e-41 2.0862102380264962e-38 2.7589819228687674e-35 6.876147318206468e-35
1.4459729217920196e-05 2.850494982386284e-50 1.4345102101800132e-49 7.880399535502436e-46 7.993151140765475e-44 1.2078234186677446e-41 2.199485916471926e-38 2.9158032319172873e-35 7.267189761290315e-35
1.4728827239075018e-05 2.8191435874313744e-50 1.4397063725667952e-49 8.027110374688218e-46 8.145545474364993e-44 1.2424648802444046e-41 2.3190932402037008e-38 3.0815420704719527e-35 7.680472283526353e-35
1.5002933220192168e-05 2.788278252718651e-50 1.445222773735301e-49 8.176555653131414e-46 8.300954709187862e-44 1.2783391646244989e-41 2.445390331723217e-38 3.2567055975798215e-35 8.117259795390996e-35
1.5282140360258708e-05 2.75789221394748e-50 1.4510645415153078e-49 8.328786452252204e-46 8.459443593604715e-44 1.3154985226569647e-41 2.578755648043684e-38 3.4418298168159154e-35 8.578889150081748e-35
1.556654359271062e-05 2.72797882280371e-50 1.457236971499975e-49 8.483854814505642e-46 8.621078491205462e-44 1.3539976997143263e-41 2.7195891364638744e-38 3.6374812168318575e-35 9.066773235323701e-35
