# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 4.47101188583092e-45 7.354956933107575e-45 6.366986539040986e-43 2.194792275087067e-39 6.799964875812801e-36 6.38926756654838e-32 9.069027035886545e-29 2.261968966792109e-28
3.2360111549336787e-07 4.48863868932986e-45 7.402671185041458e-45 6.80171071382622e-43 2.3597120608191552e-39 7.447005572042469e-36 7.00624496411084e-32 9.944905828821503e-29 2.480428302335821e-28
3.311463862505236e-07 4.506405001581049e-45 7.451003999630491e-45 7.271861542378472e-43 2.535939333006672e-39 8.156080956685136e-36 7.682805188779433e-32 1.090537630810482e-28 2.719986284498862e-28
3.388675869043115e-07 4.524312483758227e-45 7.499967297474727e-45 7.780612546733633e-43 2.7242363112884287e-39 8.933160791010181e-36 8.424702499711931e-32 1.1958608275874754e-28 2.9826806056054347e-28
3.4676881953794695e-07 4.5423628240302426e-45 7.549573300020745e-45 8.331435620225724e-43 2.9254282881177675e-39 9.78479037650057e-36 9.23824688839016e-32 1.3113560567642393e-28 3.2707457568129624e-28
3.548542818811901e-07 4.5605577374311233e-45 7.599834538717157e-45 8.928129400263105e-43 3.140410177885228e-39 1.0718146092445307e-35 1.0130357750566874e-31 1.4380057256818737e-28 3.5866320348661965e-28
3.6312826954049566e-07 4.5788989663997355e-45 7.650763864688574e-45 9.574850280926138e-43 3.3701536566905405e-39 1.1741096294612971e-35 1.110862274138244e-31 1.5768871218443028e-28 3.9330263843660793e-28
3.715951782811629e-07 4.5973882810857244e-45 7.702374458581234e-45 1.0276146300050871e-42 3.615714932841043e-39 1.286226809393069e-35 1.2181362315410229e-31 1.7291815764523972e-28 4.31287525324142e-28
3.8025950636269697e-07 4.616027481212926e-45 7.754679840916853e-45 1.1036994155837797e-42 3.878243192401249e-39 1.409112058075152e-35 1.3357700498613409e-31 1.89618451276164e-28 4.729409655126763e-28
3.89125856928623e-07 4.6348183951300913e-45 7.807693882714863e-45 1.1862839630289686e-42 4.158989771219039e-39 1.5438025120206902e-35 1.464764249702837e-31 2.0793164651367282e-28 5.186172652829873e-28
3.9819894045202297e-07 4.6537628808406565e-45 7.861430816535254e-45 1.2759641721442654e-42 4.459318111188063e-39 1.691435339755104e-35 1.6062159798756573e-31 2.280135162026629e-28 5.687049495404724e-28
4.0748357723809307e-07 4.672862827229876e-45 7.915905247981557e-45 1.3733920813409207e-42 4.78071456725429e-39 1.8532573966573413e-35 1.761328349744518e-31 2.5003487762491665e-28 6.236300666700656e-28
