# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1e-10 9.345646915817747e-26 9.345647670607217e-26 9.349680526806498e-26 9.746497025855249e-26 4.699065185256673e-25 4.210763277915222e-22
1.3848863713938747e-10 5.261299736934071e-26 5.261300271756142e-26 5.265054102658623e-26 5.630051073362569e-26 3.3842873494969655e-25 3.0455087879816265e-22
1.9179102616724848e-10 3.10328281074957e-26 3.103283257414692e-26 3.106967973999789e-26 3.4556651228486374e-26 2.4483366796783706e-25 2.2002065968075423e-22
2.656087782946684e-10 1.8913852780788282e-26 1.8913856957375905e-26 1.8951531844446998e-26 2.2327045505696717e-26 1.769856342213132e-25 1.5890022405242996e-22
3.6783797718286343e-10 1.1807829245041113e-26 1.1807833454008075e-26 1.1847626967332227e-26 1.507668023887879e-26 1.2784952768923592e-25 1.147465813535804e-22
5.094138014816385e-10 7.507248338727376e-27 7.507252788335054e-27 7.550392833978073e-27 1.0534438965100052e-26 9.233046585522684e-26 8.285821161078691e-23
7.054802310718631e-10 4.841551466449093e-27 4.841556330875986e-27 4.88927589425508e-27 7.517176463648117e-27 6.667324952495164e-26 5.983035781849618e-23
9.770099572992246e-10 3.158280879264154e-27 3.15828635207513e-27 3.211800926133091e-27 5.414437256907441e-27 4.814408434644325e-26 4.320208735846857e-23
1.3530477745798075e-09 2.0795830745996834e-27 2.079589376377941e-27 2.1399334392774308e-27 3.9100351569407596e-27 3.47639040934906e-26 3.119526033246181e-23
1.873817422860387e-09 1.3800061999005119e-27 1.3800135837035959e-27 1.4476473499421461e-27 2.824259821023361e-27 2.5102268070484005e-26 2.252545622387618e-23
2.595024211399732e-09 9.218095277838074e-28 9.218182953002508e-28 9.959725414483254e-28 2.039655851091289e-27 1.8125824041477379e-26 1.6265189031104588e-23
3.5938136638046257e-09 6.192203179319184e-28 6.192308411262353e-28 6.97273680281669e-28 1.472874700559901e-27 1.3088295325559767e-26 1.1744779795165217e-23
4.977023564332114e-09 4.179883074858542e-28 4.1800105434935175e-28 4.955719830492597e-28 1.0635519053045581e-27 9.450803670772658e-27 8.480680043323911e-24
6.892612104349681e-09 2.833551507934512e-28 2.833707165009136e-28 3.5572905111261157e-28 7.6797346635401406e-28 6.824243550637743e-27 6.123735667191139e-24
9.545484566618328e-09 1.9280872156294892e-28 1.9282786672424152e-28 2.5652510977305525e-28 5.545389072631915e-28 4.9276551233729566e-27 4.421832056221464e-24
