# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5
1e-10 4.667858832494457e-27
1.3848863713938747e-10 2.628595621657102e-27
1.9179102616724848e-10 1.5511640058856607e-27
2.656087782946684e-10 9.461614763816705e-28
3.6783797718286343e-10 5.914966829615377e-28
5.094138014816385e-10 3.7695585189075436e-28
7.054802310718631e-10 2.4409871120266075e-28
9.770099572992246e-10 1.6035022029127037e-28
1.3530477745798075e-09 1.0683688257413896e-28
1.873817422860387e-09 7.227427129077234e-29
2.595024211399732e-09 4.9724257542192864e-29
3.5938136638046257e-09 3.4811618405965096e-29
4.977023564332114e-09 2.474159466284357e-29
6.892612104349681e-09 1.7759890174322766e-29
9.545484566618328e-09 1.2807100691597226e-29
1.3219411484660288e-08 9.247896915801081e-30
1.8307382802953696e-08 6.678739999474238e-30
2.5353644939701113e-08 4.822954722496989e-30
3.5111917342151277e-08 3.4826557382746966e-30
4.8626015800653535e-08 2.5147795793494946e-30
6.734150657750828e-08 1.81587786935575e-30
9.3260334688322e-08 1.3112107198901906e-30
1.2915496650148827e-07 9.467997945402492e-31
1.7886495290574352e-07 6.836658006517271e-31
2.4770763559917087e-07 4.936619238672969e-31
3.430469286314912e-07 3.564638205940482e-31
4.7508101621027934e-07 2.573957116690019e-31
6.579332246575682e-07 1.858605276416386e-31
9.111627561154887e-07 1.342063386187965e-31
1.261856883066021e-06 9.690783585804976e-32
1.747528400007683e-06 6.99752999931792e-32
2.4201282647943835e-06 5.052783114087104e-32
3.3516026509388406e-06 3.6485186573239585e-32
4.641588833612773e-06 2.634526292366524e-32
6.4280731172843194e-06 1.9023420218753287e-32
8.902150854450375e-06 1.3736460908129135e-32
1.2328467394420658e-05 9.91885336795051e-33
1.7073526474706886e-05 7.162238525461991e-33
2.3644894126454072e-05 5.171748806834198e-33
3.274549162877725e-05 3.734466953210291e-33
4.534878508128582e-05 2.696650839288538e-33
6.280291441834246e-05 1.9472880966411827e-33
8.697490026177834e-05 1.4062214074451404e-33
0.00012045035402587811 1.0155742711286606e-33
0.0001668100537200059 7.335600362206086e-34
0.0002310129700083158 5.300119002516943e-34
0.00031992671377973844 3.8315553579393705e-34
0.00044306214575838776 2.7727862792241685e-34
0.0006135907273413163 2.0104686523608103e-34
0.0008497534359086438 1.462837170568271e-34
0.0011768119524349966 1.0707929391602212e-34
0.0016297508346206436 7.913065615520575e-35
0.002257019719633917 5.925695131536617e-35
0.0031257158496882354 4.5079959617473353e-35
0.004328761281083053 3.485575408837749e-35
0.005994842503189409 2.736906789286597e-35
0.008302175681319735 2.180962579833764e-35
0.011497569953977356 1.764272632525889e-35
0.01592282793341094 1.4510094293232025e-35
0.022051307399030412 1.216705157688235e-35
0.030538555088334123 1.04460977541092e-35
0.04229242874389499 9.237259492017066e-36
0.058570208180566734 8.480010239953616e-36
0.08111308307896856 8.16611446246416e-36
0.11233240329780265 8.35823031443781e-36
0.15556761439304723 9.23924972881152e-36
0.21544346900318778 1.1231410593183681e-35
0.2983647240283334 1.5286327280657812e-35
0.41320124001153347 2.361062613048798e-35
0.572236765935022 4.1517519969898527e-35
0.7924828983539153 8.218797583307913e-35
1.0974987654930546 1.7899486496045652e-34
1.5199110829529332 4.178107627398457e-34
2.104904144512022 1.0224701646353357e-33
2.91505306282517 2.5812056053643018e-33
4.03701725859655 6.646944321628676e-33
5.5908101825122225 1.733016685375291e-32
7.742636826811277 4.5527549118255594e-32
10.72267222010321 1.20150459165788e-31
14.849682622544636 3.179436269345645e-31
20.565123083486515 8.426737846751325e-31
28.48035868435793 2.235417140134655e-30
39.44206059437648 5.9329093171964856e-30
54.62277217684337 1.5749708424058916e-29
75.64633275546291 4.1811102798961395e-29
104.76157527896619 1.1098277158963962e-28
145.08287784959373 2.945074133543322e-28
200.92330025650458 7.811783575975711e-28
278.2559402207126 2.0709945821928853e-27
385.352859371052 5.487789195578251e-27
533.6699231206302 1.4537229464792285e-26
739.0722033525775 3.8505491716574195e-26
1023.5310218990269 1.0198401011259989e-25
1417.474162926802 2.6998954089208367e-25
1963.0406500402685 7.13759575144138e-25
2718.58824273294 1.8808743557896623e-24
3764.935806792456 4.924395289663449e-24
5214.0082879996735 1.2735025983402257e-23
7220.8090183854565 3.220390229600636e-23
10000.0 7.83411589716634e-23
