# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-10 inf
1.3848863713938747e-10 inf
1.9179102616724848e-10 inf
2.656087782946684e-10 inf
3.6783797718286343e-10 inf
5.094138014816385e-10 inf
7.054802310718631e-10 inf
9.770099572992246e-10 inf
1.3530477745798075e-09 inf
1.873817422860387e-09 inf
2.595024211399732e-09 inf
3.5938136638046257e-09 inf
4.977023564332114e-09 inf
6.892612104349681e-09 inf
9.545484566618328e-09 inf
1.3219411484660288e-08 inf
1.8307382802953696e-08 inf
2.5353644939701113e-08 inf
3.5111917342151277e-08 inf
4.8626015800653535e-08 inf
6.734150657750828e-08 inf
9.3260334688322e-08 inf
1.2915496650148827e-07 inf
1.7886495290574352e-07 inf
2.4770763559917087e-07 inf
3.430469286314912e-07 inf
4.7508101621027934e-07 inf
6.579332246575682e-07 inf
9.111627561154887e-07 inf
1.261856883066021e-06 inf
1.747528400007683e-06 inf
2.4201282647943835e-06 inf
3.3516026509388406e-06 inf
4.641588833612773e-06 inf
6.4280731172843194e-06 inf
8.902150854450375e-06 inf
1.2328467394420658e-05 inf
1.7073526474706886e-05 inf
2.3644894126454072e-05 inf
3.274549162877725e-05 inf
4.534878508128582e-05 1.5549964991773885e-30
6.280291441834246e-05 9.242591707006622e-32
8.697490026177834e-05 2.7000654272260057e-32
0.00012045035402587811 1.3742656136682465e-32
0.0001668100537200059 8.803020424743913e-33
0.0002310129700083158 6.1613263033320394e-33
0.00031992671377973844 4.4761722147463134e-33
0.00044306214575838776 3.3373217289141336e-33
0.0006135907273413163 2.5749629208643505e-33
0.0008497534359086438 2.1073912345682067e-33
0.0011768119524349966 1.9105258279652436e-33
0.0016297508346206436 2.0399235054212846e-33
0.002257019719633917 2.7121053698752877e-33
0.0031257158496882354 4.507205143657355e-33
0.004328761281083053 8.893554811878065e-33
0.005994842503189409 1.962507768101451e-32
0.008302175681319735 4.6479908316059126e-32
0.011497569953977356 1.1510666332655151e-31
0.01592282793341094 2.930879152944254e-31
0.022051307399030412 7.5909664371016e-31
0.030538555088334123 1.9864634232446967e-30
0.04229242874389499 5.230560555887725e-30
0.058570208180566734 1.3823046853415173e-29
0.08111308307896856 3.6608989370294906e-29
0.11233240329780265 9.707499704307698e-29
0.15556761439304723 2.5759048291736953e-28
0.21544346900318778 6.837780294164203e-28
0.2983647240283334 1.8154082075270406e-27
0.41320124001153347 4.819932010857296e-27
0.572236765935022 1.2795314396476887e-26
0.7924828983539153 3.3956934952517265e-26
1.0974987654930546 9.00710334514047e-26
1.5199110829529332 2.387552957377957e-25
2.104904144512022 6.324930663721694e-25
2.91505306282517 1.6751209936251483e-24
4.03701725859655 4.4371853015860625e-24
5.5908101825122225 1.1756820964429432e-23
7.742636826811277 3.1148953275804926e-23
10.72267222010321 8.245673900296253e-23
14.849682622544636 2.177970068633749e-22
20.565123083486515 5.726668812537074e-22
28.48035868435793 1.4926299555310798e-21
39.44206059437648 3.8278811890695074e-21
54.62277217684337 9.537249265861556e-21
75.64633275546291 2.2641985868801644e-20
104.76157527896619 4.996467795363921e-20
145.08287784959373 1.0019914538694556e-19
200.92330025650458 1.810649415845609e-19
278.2559402207126 2.981418336692608e-19
385.352859371052 4.580235588688812e-19
533.6699231206302 6.726457492713062e-19
739.0722033525775 9.618470147303193e-19
1023.5310218990269 1.3550365097614798e-18
1417.474162926802 1.8936103343065187e-18
1963.0406500402685 2.634909241426896e-18
2718.58824273294 3.658122537401205e-18
3764.935806792456 5.072660032880074e-18
5214.0082879996735 7.029815523641921e-18
7220.8090183854565 9.738934758931547e-18
10000.0 1.3489802633151649e-17
