# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5 sigma_3 sigma_2
1e-10 inf inf inf
1.3848863713938747e-10 inf inf inf
1.9179102616724848e-10 inf inf inf
2.656087782946684e-10 inf inf inf
3.6783797718286343e-10 inf inf inf
5.094138014816385e-10 inf inf inf
7.054802310718631e-10 inf inf inf
9.770099572992246e-10 inf inf inf
1.3530477745798075e-09 inf inf inf
1.873817422860387e-09 inf inf inf
2.595024211399732e-09 inf inf inf
3.5938136638046257e-09 inf inf inf
4.977023564332114e-09 inf inf inf
6.892612104349681e-09 inf inf inf
9.545484566618328e-09 inf inf inf
1.3219411484660288e-08 inf inf inf
1.8307382802953696e-08 inf inf inf
2.5353644939701113e-08 inf inf inf
3.5111917342151277e-08 inf inf inf
4.8626015800653535e-08 inf inf inf
6.734150657750828e-08 inf inf inf
9.3260334688322e-08 inf inf inf
1.2915496650148827e-07 inf inf inf
1.7886495290574352e-07 inf inf inf
2.4770763559917087e-07 inf inf inf
3.430469286314912e-07 inf inf inf
4.7508101621027934e-07 inf inf inf
6.579332246575682e-07 inf inf inf
9.111627561154887e-07 inf inf inf
1.261856883066021e-06 inf inf inf
1.747528400007683e-06 inf inf inf
2.4201282647943835e-06 inf inf inf
3.3516026509388406e-06 inf inf inf
4.641588833612773e-06 inf inf inf
6.4280731172843194e-06 inf inf inf
8.902150854450375e-06 inf inf inf
1.2328467394420658e-05 inf inf inf
1.7073526474706886e-05 inf inf inf
2.3644894126454072e-05 inf inf inf
3.274549162877725e-05 inf inf inf
4.534878508128582e-05 7.643317494030672e-28 8.868984986676e-28 5.758484398319604e-26
6.280291441834246e-05 1.6895430758699254e-29 2.158207511983511e-29 3.0669364010181036e-27
8.697490026177834e-05 2.0160931660933004e-30 2.9979535636242942e-30 8.586033998161995e-28
0.00012045035402587811 4.816593212345865e-31 8.864090958600487e-31 4.290439581616714e-28
0.0001668100537200059 1.6797664699736786e-31 4.035622351151365e-31 2.7237697293867715e-28
0.0002310129700083158 7.304020140899193e-32 2.355655362517743e-31 1.8997865290946007e-28
0.00031992671377973844 3.637436417668339e-32 1.5690508469039347e-31 1.3779932541962188e-28
0.00044306214575838776 1.9784977966503714e-32 1.1148948353087437e-31 1.0257547155544975e-28
0.0006135907273413163 1.1439760697145236e-32 8.212678297153131e-32 7.895498192200453e-29
0.0008497534359086438 6.924383314501033e-33 6.257253049253845e-32 6.43419151062298e-29
