mx,sigma
1e-10,inf
1.3848863713938747e-10,inf
1.9179102616724848e-10,inf
2.656087782946684e-10,inf
3.6783797718286343e-10,inf
5.094138014816385e-10,inf
7.054802310718631e-10,inf
9.770099572992246e-10,inf
1.3530477745798075e-09,inf
1.873817422860387e-09,inf
2.595024211399732e-09,inf
3.5938136638046257e-09,inf
4.977023564332114e-09,inf
6.892612104349681e-09,inf
9.545484566618328e-09,inf
1.3219411484660288e-08,inf
1.8307382802953696e-08,inf
2.5353644939701113e-08,inf
3.5111917342151277e-08,inf
4.8626015800653535e-08,inf
6.734150657750828e-08,inf
9.3260334688322e-08,inf
1.2915496650148827e-07,inf
1.7886495290574352e-07,inf
2.4770763559917087e-07,inf
3.430469286314912e-07,inf
4.7508101621027934e-07,inf
6.579332246575682e-07,inf
9.111627561154887e-07,inf
1.261856883066021e-06,inf
1.747528400007683e-06,inf
2.4201282647943835e-06,inf
3.3516026509388406e-06,inf
4.641588833612773e-06,inf
6.4280731172843194e-06,inf
8.902150854450375e-06,inf
1.2328467394420658e-05,inf
1.7073526474706886e-05,inf
2.3644894126454072e-05,inf
3.274549162877725e-05,inf
4.534878508128582e-05,3.815951461847084e-29
6.280291441834246e-05,8.435099517002465e-31
8.697490026177834e-05,1.0065411610052864e-31
0.00012045035402587811,2.4047000434207257e-32
0.0001668100537200059,8.386289489693223e-33
0.0002310129700083158,3.6465561395025546e-33
0.00031992671377973844,1.816002125545306e-33
0.00044306214575838776,9.877715488445368e-34
0.0006135907273413163,5.711338249332835e-34
0.0008497534359086438,3.457021202114902e-34
0.0011768119524349966,2.1728180036138364e-34
0.0016297508346206436,1.4127075698946467e-34
0.002257019719633917,9.481198395908862e-35
0.0031257158496882354,6.550234543294095e-35
0.004328761281083053,4.641654412922162e-35
0.005994842503189409,3.366252651820638e-35
0.008302175681319735,2.5015381178922973e-35
0.011497569953977356,1.9131972657385427e-35
0.01592282793341094,1.5131147553602414e-35
0.022051307399030412,1.2400539432838158e-35
0.030538555088334123,1.0527483814478139e-35
0.04229242874389499,9.264740054698659e-36
0.058570208180566734,8.489436378939535e-36
0.08111308307896856,8.169549056241876e-36
0.11233240329780265,8.359616345913303e-36
0.15556761439304723,9.239895144360305e-36
0.21544346900318778,1.1231771969742403e-35
0.2983647240283334,1.5286580155118891e-35
0.41320124001153347,2.3610853655369172e-35
0.572236765935022,4.151778508191145e-35
0.7924828983539153,8.218836716505321e-35
1.0974987654930546,1.7899556394621584e-34
1.5199110829529332,4.178121966922515e-34
2.104904144512022,1.02247339735801e-33
2.91505306282517,2.5812133557958242e-33
4.03701725859655,6.64696361138254e-33
5.5908101825122225,1.7330215644993663e-32
7.742636826811277,4.5527670733605984e-32
10.72267222010321,1.2015073909272822e-31
14.849682622544636,3.179441458648527e-31
20.565123083486515,8.426743275715322e-31
28.48035868435793,2.235416585929542e-30
39.44206059437648,5.9329050834267014e-30
54.62277217684337,1.574969653342898e-29
75.64633275546291,4.1811079738719756e-29
104.76157527896619,1.1098274212049474e-28
145.08287784959373,2.9450741330408508e-28
200.92330025650458,7.811785137524717e-28
278.2559402207126,2.0709952808872554e-27
385.352859371052,5.487791563924528e-27
533.6699231206302,1.4537236691060566e-26
739.0722033525775,3.8505512585908263e-26
1023.5310218990269,1.0198406840820905e-25
1417.474162926802,2.699897002033295e-25
1963.0406500402685,7.137600031729647e-25
2718.58824273294,1.8808754862815325e-24
3764.935806792456,4.924398213535394e-24
5214.0082879996735,1.2735033327749033e-23
7220.8090183854565,3.2203919906457367e-23
10000.0,7.83411980351449e-23
