# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1e-10 inf inf inf inf inf inf
1.3848863713938747e-10 inf inf inf inf inf inf
1.9179102616724848e-10 inf inf inf inf inf inf
2.656087782946684e-10 inf inf inf inf inf inf
3.6783797718286343e-10 inf inf inf inf inf inf
5.094138014816385e-10 inf inf inf inf inf inf
7.054802310718631e-10 inf inf inf inf inf inf
9.770099572992246e-10 inf inf inf inf inf inf
1.3530477745798075e-09 inf inf inf inf inf inf
1.873817422860387e-09 inf inf inf inf inf inf
2.595024211399732e-09 inf inf inf inf inf inf
3.5938136638046257e-09 inf inf inf inf inf inf
4.977023564332114e-09 inf inf inf inf inf inf
6.892612104349681e-09 inf inf inf inf inf inf
9.545484566618328e-09 inf inf inf inf inf inf
1.3219411484660288e-08 inf inf inf inf inf inf
1.8307382802953696e-08 inf inf inf inf inf inf
2.5353644939701113e-08 inf inf inf inf inf inf
3.5111917342151277e-08 inf inf inf inf inf inf
4.8626015800653535e-08 inf inf inf inf inf inf
6.734150657750828e-08 inf inf inf inf inf inf
9.3260334688322e-08 inf inf inf inf inf inf
1.2915496650148827e-07 inf inf inf inf inf inf
1.7886495290574352e-07 inf inf inf inf inf inf
2.4770763559917087e-07 inf inf inf inf inf inf
3.430469286314912e-07 inf inf inf inf inf inf
4.7508101621027934e-07 inf inf inf inf inf inf
6.579332246575682e-07 inf inf inf inf inf inf
9.111627561154887e-07 inf inf inf inf inf inf
1.261856883066021e-06 inf inf inf inf inf inf
1.747528400007683e-06 inf inf inf inf inf inf
2.4201282647943835e-06 inf inf inf inf inf inf
3.3516026509388406e-06 inf inf inf inf inf inf
4.641588833612773e-06 inf inf inf inf inf inf
6.4280731172843194e-06 inf inf inf inf inf inf
8.902150854450375e-06 inf inf inf inf inf inf
1.2328467394420658e-05 inf inf inf inf inf inf
1.7073526474706886e-05 inf inf inf inf inf inf
2.3644894126454072e-05 inf inf inf inf inf inf
3.274549162877725e-05 inf inf inf inf inf inf
4.534878508128582e-05 7.6431830381958795e-28 7.643199431037605e-28 7.643317494030672e-28 7.655011358580879e-28 8.868984986676e-28 5.758484398319604e-26
6.280291441834246e-05 1.6894988531997727e-29 1.6894988576219576e-29 1.6895430758699254e-29 1.6939237468520093e-29 2.158207511983511e-29 3.0669364010181036e-27
8.697490026177834e-05 2.0160030418615347e-30 2.0160030508738505e-30 2.0160931660933004e-30 2.0250235116275558e-30 2.9979535636242942e-30 8.586033998161995e-28
0.00012045035402587811 4.816231367755757e-31 4.8162314039397305e-31 4.816593212345865e-31 4.852458966518519e-31 8.864090958600487e-31 4.290439581616714e-28
0.0001668100537200059 1.6795575259375197e-31 1.6795575468316395e-31 1.6797664699736786e-31 1.7004778510056663e-31 4.035622351151365e-31 2.7237697293867715e-28
0.0002310129700083158 7.302528719531331e-32 7.302528868672701e-32 7.304020140899193e-32 7.451733200880111e-32 2.355655362517743e-31 1.8997865290946007e-28
0.00031992671377973844 3.636219426465766e-32 3.6362195475007745e-32 3.637436417668339e-32 3.7575964468747813e-32 1.5690508469039347e-31 1.3779932541962188e-28
0.00044306214575838776 1.9774086521709135e-32 1.9774087610976444e-32 1.9784977966503714e-32 2.0851528991001964e-32 1.1148948353087437e-31 1.0257547155544975e-28
0.0006135907273413163 1.1429304098138041e-32 1.1429305144130293e-32 1.1439760697145236e-32 1.2444654021393017e-32 8.212678297153131e-32 7.895498192200453e-29
0.0008497534359086438 6.913733489285053e-33 6.913734555089147e-33 6.924383314501033e-33 7.909154716124952e-33 6.257253049253845e-32 6.43419151062298e-29
0.0011768119524349966 4.340681801838581e-33 4.3406829505483e-33 4.352135509168052e-33 5.3386513490032674e-33 5.00816405185071e-32 5.789457267265864e-29
0.0016297508346206436 2.8166489309040358e-33 2.8166502348794367e-33 2.8296409403747312e-33 3.8262009876696805e-33 4.338816761420386e-32 6.107934882614953e-29
0.002257019719633917 1.883562782957175e-33 1.8835643459273748e-33 1.899075768871238e-33 2.907760896826384e-33 4.233625637198572e-32 7.996758713751413e-29
0.0031257158496882354 1.2926458660632005e-33 1.2926478310968569e-33 1.3120062656805887e-33 2.3367937691162802e-33 4.831900709288854e-32 1.310427877152371e-28
0.004328761281083053 9.048047782418144e-34 9.048073423809951e-34 9.297193302967205e-34 1.9815272363517304e-33 6.58790265161194e-32 2.560500518064737e-28
0.005994842503189409 6.4175887721009074e-34 6.4176230840706825e-34 6.742574699976324e-34 1.773998045992561e-33 1.0698976133751119e-31 5.615009505667465e-28
0.008302175681319735 4.588490489535569e-34 4.588537113988822e-34 5.010559030857232e-34 1.6849233598442e-33 2.020560779146812e-31 1.324592029197891e-27
0.011497569953977356 3.2956973944425915e-34 3.295761306243787e-34 3.832117435705748e-34 1.7139437987264242e-33 4.282845565303966e-31 3.272162173703888e-27
0.01592282793341094 2.3730577600322435e-34 2.3731457895043216e-34 3.030755657076102e-34 1.892995296732455e-33 9.841027220433976e-31 8.318835383366993e-27
0.022051307399030412 1.7109977894753473e-34 1.7111193475925375e-34 2.4838172322179082e-34 2.3081372195872684e-33 2.386134529026529e-30 2.1525487895625873e-26
0.030538555088334123 1.234518074157939e-34 1.2346861539913791e-34 2.108645825604318e-34 3.159781816333173e-33 5.9909052612962616e-30 5.629764896244368e-26
0.04229242874389499 8.910594579256074e-35 8.912920145650409e-35 1.855719351929289e-34 4.9171950427498754e-33 1.537756344133154e-29 1.4818749890386484e-25
0.058570208180566734 6.432804020147907e-35 6.436022485044957e-35 1.70042670192143e-34 8.714824530267575e-33 4.001656633824788e-29 3.9154585125496737e-25
0.08111308307896856 4.6444902891133747e-35 4.648944257138595e-35 1.6363535502018802e-34 1.73725738834483e-32 1.0500869441268383e-28 1.036861496042752e-24
