# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 9.873416416086095e-33
3.2360111549336787e-07 9.505932934575317e-33
3.311463862505236e-07 9.138665017061348e-33
3.388675869043115e-07 8.778243779165539e-33
3.4676881953794695e-07 8.43017231269039e-33
3.548542818811901e-07 8.098759513692959e-33
3.6312826954049566e-07 7.787166963811418e-33
3.715951782811629e-07 7.497529698430844e-33
3.8025950636269697e-07 7.231115641280892e-33
3.89125856928623e-07 6.98849641749778e-33
3.9819894045202297e-07 6.769711047163545e-33
4.0748357723809307e-07 6.574411783026233e-33
4.169846999850535e-07 6.40198728819454e-33
4.2670735640476865e-07 6.251662372767943e-33
4.3665671190447213e-07 6.122575915452624e-33
4.4683805233101997e-07 6.013839803320459e-33
4.572567867791303e-07 5.924582128241306e-33
4.6791845046510194e-07 5.8539778020755865e-33
4.788287076675383e-07 5.8012694238991975e-33
4.899933547366384e-07 5.6796560407824937e-33
5.014183231736547e-07 5.544826774806756e-33
5.131096827821533e-07 5.416218573712299e-33
5.250736448927506e-07 5.2921120750753895e-33
5.373165656630395e-07 5.1711778017791335e-33
5.4984494945446e-07 5.0524728450664794e-33
5.626654522879044e-07 4.935425107791798e-33
5.757848853798981e-07 4.819803619673134e-33
5.892102187612295e-07 4.7056756312677905e-33
6.029485849799565e-07 4.5933532177932094e-33
6.17007282890752e-07 4.4833335935086646e-33
6.313937815326057e-07 4.3762380085374034e-33
6.461157240969403e-07 4.272753929265376e-33
6.611809319882495e-07 4.173584338267853e-33
6.765974089794179e-07 4.0794067021792514e-33
6.923733454639272e-07 3.990842751691531e-33
7.085171228072106e-07 3.90843895568973e-33
7.250373177994646e-07 3.832656616142431e-33
7.419427072122865e-07 3.763869923405862e-33
7.592422724615558e-07 3.70237007103112e-33
7.769452043790388e-07 3.629687053310314e-33
7.950609080952509e-07 3.530372349572247e-33
8.135990080361694e-07 3.435821732463304e-33
8.325693530364543e-07 3.345644885415692e-33
8.519820215718901e-07 3.2595190715002385e-33
8.718473271138315e-07 3.177194563072315e-33
8.921758236084957e-07 3.098495891470263e-33
9.12978311084014e-07 3.0233190297042215e-33
9.342658413882192e-07 2.9516250075486947e-33
9.560497240602198e-07 2.8834307556387608e-33
9.78341532338879e-07 2.818798155757323e-33
1.0011531093113902e-06 2.7578223272247984e-33
1.0244965742052174e-06 2.700620112181578e-33
1.048384328826741e-06 2.647319560776e-33
1.0728290641500308e-06 2.5980509968926944e-33
1.0978437670592484e-06 2.5529400048618106e-33
1.1234417272482566e-06 2.493123018253248e-33
1.149636544281106e-06 2.4276631041167025e-33
1.1764421348171486e-06 2.365104445715974e-33
1.2038727400046132e-06 2.3053449288545293e-33
1.2319429330465773e-06 2.248316130558444e-33
1.2606676269433496e-06 2.193980289043257e-33
