# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 1.4731161946233001e-34
3.2360111549336787e-07 1.4731162838044167e-34
3.311463862505236e-07 1.4731163771928127e-34
3.388675869043115e-07 1.473116474986973e-34
3.4676881953794695e-07 1.473116577394749e-34
3.548542818811901e-07 1.4731166846337957e-34
3.6312826954049566e-07 1.473116796932036e-34
3.715951782811629e-07 1.4731169145281468e-34
3.8025950636269697e-07 1.4731170376720664e-34
3.89125856928623e-07 1.4731171666255211e-34
3.9819894045202297e-07 1.4731173016625842e-34
4.0748357723809307e-07 1.473117443070262e-34
4.169846999850535e-07 1.4731175911490992e-34
4.2670735640476865e-07 1.4731177462138198e-34
4.3665671190447213e-07 1.4731179085939943e-34
4.4683805233101997e-07 1.4731180786347406e-34
4.572567867791303e-07 1.4731182566974653e-34
4.6791845046510194e-07 1.473118443160612e-34
4.788287076675383e-07 1.473118638420489e-34
4.899933547366384e-07 1.4731188428920966e-34
5.014183231736547e-07 1.4731190570100155e-34
5.131096827821533e-07 1.4731192812293239e-34
5.250736448927506e-07 1.4731195160265743e-34
5.373165656630395e-07 1.4731197619007987e-34
5.4984494945446e-07 1.473120019374571e-34
5.626654522879044e-07 1.473120288995119e-34
5.757848853798981e-07 1.4731205713354927e-34
5.892102187612295e-07 1.4731208669957638e-34
6.029485849799565e-07 1.4731211766043252e-34
6.17007282890752e-07 1.4731215008192126e-34
6.313937815326057e-07 1.4731218403294979e-34
6.461157240969403e-07 1.4731221958567704e-34
6.611809319882495e-07 1.4731225681566612e-34
6.765974089794179e-07 1.4731229580204363e-34
6.923733454639272e-07 1.473123366276709e-34
7.085171228072106e-07 1.4731237937931773e-34
7.250373177994646e-07 1.4731242414784605e-34
7.419427072122865e-07 1.473124710284067e-34
7.592422724615558e-07 1.4731252012063724e-34
7.769452043790388e-07 1.4731257152887718e-34
7.950609080952509e-07 1.4731262536238794e-34
8.135990080361694e-07 1.4731268173558548e-34
8.325693530364543e-07 1.4731274076828281e-34
8.519820215718901e-07 1.4731280258594671e-34
8.718473271138315e-07 1.4731286731996166e-34
