# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
3.162277660168379e-07 inf
3.2360111549336787e-07 inf
3.311463862505236e-07 inf
3.388675869043115e-07 inf
3.4676881953794695e-07 inf
3.548542818811901e-07 inf
3.6312826954049566e-07 inf
3.715951782811629e-07 inf
3.8025950636269697e-07 inf
3.89125856928623e-07 inf
3.9819894045202297e-07 inf
4.0748357723809307e-07 inf
4.169846999850535e-07 inf
4.2670735640476865e-07 inf
4.3665671190447213e-07 inf
4.4683805233101997e-07 inf
4.572567867791303e-07 inf
4.6791845046510194e-07 inf
4.788287076675383e-07 inf
4.899933547366384e-07 inf
5.014183231736547e-07 inf
5.131096827821533e-07 inf
5.250736448927506e-07 inf
5.373165656630395e-07 inf
5.4984494945446e-07 inf
5.626654522879044e-07 inf
5.757848853798981e-07 inf
5.892102187612295e-07 inf
6.029485849799565e-07 inf
6.17007282890752e-07 inf
6.313937815326057e-07 inf
6.461157240969403e-07 inf
6.611809319882495e-07 inf
6.765974089794179e-07 inf
6.923733454639272e-07 inf
7.085171228072106e-07 inf
7.250373177994646e-07 inf
7.419427072122865e-07 inf
7.592422724615558e-07 inf
7.769452043790388e-07 inf
7.950609080952509e-07 inf
8.135990080361694e-07 inf
8.325693530364543e-07 inf
8.519820215718901e-07 inf
8.718473271138315e-07 inf
8.921758236084957e-07 inf
9.12978311084014e-07 inf
9.342658413882192e-07 inf
9.560497240602198e-07 inf
9.78341532338879e-07 inf
1.0011531093113902e-06 inf
1.0244965742052174e-06 1.067086046692417e-31
1.048384328826741e-06 2.1897512255166245e-32
1.0728290641500308e-06 1.1516606844743035e-32
1.0978437670592484e-06 7.503077775005564e-33
1.1234417272482566e-06 5.395565986551048e-33
1.149636544281106e-06 4.1113633988821806e-33
1.1764421348171486e-06 3.2567905884267254e-33
1.2038727400046132e-06 2.654131920722231e-33
1.2319429330465773e-06 2.2113326036757662e-33
1.2606676269433496e-06 1.8759208444460297e-33
1.2900620824153782e-06 1.615806809959099e-33
1.3201419160108953e-06 1.4102819749186635e-33
1.3509231084026028e-06 1.2454065310162814e-33
1.38242201287781e-06 1.111473823453811e-33
1.4146553640265304e-06 1.0015352680002303e-33
1.447640286632156e-06 9.105011785623168e-34
1.4813943047694329e-06 8.34570816566655e-34
1.5159353511145682e-06 7.708589777467918e-34
1.5512817764724183e-06 7.17144336143715e-34
1.587452359525819e-06 6.716956690899407e-34
1.6244663168122348e-06 6.331493025064119e-34
1.6623433129330315e-06 6.004210719792894e-34
1.7011034710007933e-06 5.72642046241882e-34
1.740767383330235e-06 5.491109227465804e-34
1.7813561223783898e-06 5.292583194738015e-34
1.8228912519398869e-06 5.126196841927508e-34
1.8653948386032614e-06 4.988145313836488e-34
1.908889463474389e-06 4.875303829357398e-34
1.9533982341732686e-06 4.7851024488695565e-34
1.9989447971105317e-06 4.715427698609773e-34
2.045553350050195e-06 4.664544788606965e-34
2.0932486549653353e-06 4.6310357623777335e-34
2.1420560511935146e-06 4.613750075424044e-34
2.192001468898943e-06 4.611764947282257e-34
2.2431114428485372e-06 4.624353458276788e-34
2.2954131265091837e-06 4.6509588293617545e-34
2.3489343064737076e-06 4.691173674991774e-34
2.403703417223201e-06 4.744723285656133e-34
2.4597495562335635e-06 4.811452200588589e-34
2.5171024994342686e-06 4.891313488165113e-34
2.575792717027583e-06 4.984360273249534e-34
2.635851389676631e-06 5.090739145795128e-34
2.6973104250709106e-06 5.210685159702974e-34
2.760202474878063e-06 5.344518190015198e-34
2.8245609520908932e-06 5.4926404635523095e-34
2.8904200487788716e-06 5.655535115791541e-34
