# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 7.423596772510676e-33 7.423646122393816e-33 7.795545827663303e-33 1.0372483243629877e-32 1.599426233641384e-32 3.34317825081416e-32 4.217992290353668e-32 9.44050071988751e-33
3.2360111549336787e-07 7.236212180722808e-33 7.236262428400836e-33 7.610676863344442e-33 1.0136151883945839e-32 1.562982817076679e-32 3.2670029225315053e-32 4.1218840610750515e-32 9.22539606609538e-33
3.311463862505236e-07 7.053602074653991e-33 7.05365323814107e-33 7.430474969010777e-33 9.905204531678655e-33 1.527369775293441e-32 3.1925632718530306e-32 4.02796568714138e-32 9.015192637392952e-33
3.388675869043115e-07 6.875643474804213e-33 6.87569556917045e-33 7.254813101124496e-33 9.679518593291391e-33 1.4925681880812585e-32 3.119819751661364e-32 3.936187271809824e-32 8.8097787569079e-33
3.4676881953794695e-07 6.702216601864992e-33 6.702269645884203e-33 7.083567578822884e-33 9.458974259226939e-33 1.458559565868214e-32 3.04873371433522e-32 3.846500055598196e-32 8.60904529634728e-33
3.548542818811901e-07 6.5332048064291e-33 6.533258817997066e-33 6.916618018586078e-33 9.243454445537342e-33 1.4253258409673474e-32 2.9792673939893434e-32 3.758856389868117e-32 8.412885607920115e-33
3.6312826954049566e-07 6.368494477302197e-33 6.36854947471104e-33 6.753847265938281e-33 9.032844728534048e-33 1.3928493570439536e-32 2.9113838847386045e-32 3.673209711441161e-32 8.221195477867775e-33
3.715951782811629e-07 6.207974963577422e-33 6.208030965474213e-33 6.595141331116966e-33 8.827033285111885e-33 1.3611128598904483e-32 2.8450471218686735e-32 3.5895145192310596e-32 8.033873065929776e-33
3.8025950636269697e-07 6.0515384962923146e-33 6.051595521685921e-33 6.440389327189312e-33 8.625910836406354e-33 1.3300994887346862e-32 2.7802218621663716e-32 3.507726346855629e-32 7.850818852373543e-33
3.89125856928623e-07 5.899080113284975e-33 5.899138181553387e-33 6.289483406946802e-33 8.429370588528203e-33 1.2997927669605929e-32 2.7168736657794554e-32 3.427801743407342e-32 7.67193558497132e-33
