# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 7.42359681779459e-33 7.423646167678036e-33 7.795545875216175e-33 1.0372483306902048e-32 1.5994262433978797e-32 3.343178271207546e-32 4.2179923160834227e-32 9.440500777474563e-33
3.2360111549336787e-07 7.23621222486367e-33 7.2362624725421e-33 7.610676909769545e-33 1.0136151945776437e-32 1.562982826610878e-32 3.267002942460224e-32 4.121884086218542e-32 9.225396122370293e-33
3.311463862505236e-07 7.053602117680977e-33 7.05365328116835e-33 7.430475014336681e-33 9.905204592100328e-33 1.527369784610396e-32 3.192563291327668e-32 4.02796571171197e-32 9.01519269238563e-33
3.388675869043115e-07 6.875643516745707e-33 6.875695611112209e-33 7.25481314537891e-33 9.679518652336599e-33 1.4925681971859257e-32 3.119819770692261e-32 3.936187295820568e-32 8.809778810647555e-33
3.4676881953794695e-07 6.702216642748525e-33 6.70226968676806e-33 7.08356762203266e-33 9.458974316926609e-33 1.458559574765426e-32 3.0487337329324953e-32 3.846500079061848e-32 8.60904534886246e-33
3.548542818811901e-07 6.533204846281652e-33 6.533258857849951e-33 6.916618060777423e-33 9.243454501922379e-33 1.4253258496618335e-32 2.97926741216287e-32 3.758856412797143e-32 8.412885659238716e-33
3.6312826954049566e-07 6.36849451615001e-33 6.368549513559205e-33 6.753847307136764e-33 9.032844783634424e-33 1.392849365540332e-32 2.911383902498046e-32 3.6732097338477396e-32 8.22119552801707e-33
3.715951782811629e-07 6.207975001446059e-33 6.208031003343183e-33 6.595141371347358e-33 8.827033338956816e-33 1.3611128681932388e-32 2.8450471392234616e-32 3.589514541127099e-32 8.0338731149364e-33
3.8025950636269697e-07 6.05153853320665e-33 6.051595558600667e-33 6.440389366475655e-33 8.625910889024397e-33 1.330099496848299e-32 2.780221879125724e-32 3.50772636825276e-32 7.850818900263543e-33
3.89125856928623e-07 5.89908014926936e-33 5.8991382175381826e-33 6.289483445312663e-33 8.429370639947384e-33 1.2997927748893268e-32 2.716873682352384e-32 3.4278017643169334e-32 7.671935631770129e-33
3.9819894045202297e-07 5.750497617798333e-33 5.750556748696027e-33 6.1423187388654124e-33 8.237308225952239e-33 1.270176600894376e-32 2.6549688933776836e-32 3.349698266441733e-32 7.497128273275032e-33
4.0748357723809307e-07 5.605691367909307e-33 5.6057515815737314e-33 5.9987932975854496e-33 8.049621657282426e-33 1.2412352407712959e-32 2.5944746236354536e-32 3.273374380676418e-32 7.326303953879317e-33
4.169846999850535e-07 5.464564417068055e-33 5.4646257340280984e-33 5.8588080294788026e-33 7.866211262590401e-33 1.2129533184779798e-32 2.535358734418119e-32 3.198789557877807e-32 7.159371918817846e-33
4.2670735640476865e-07 5.32702230385452e-33 5.327084745037907e-33 5.7222666418839176e-33 7.686979638253002e-33 1.1853158082954192e-32 2.4775898184921124e-32 3.1259041729461313e-32 6.996243481268096e-33
4.3665671190447213e-07 5.192973023153065e-33 5.1930366098941804e-33 5.5890755846450356e-33 7.511831600761471e-33 1.158308027772507e-32 2.421137184944247e-32 3.0546795036914976e-32 6.836831975173313e-33
4.4683805233101997e-07 5.062326956839648e-33 5.0623917108875834e-33 5.4591439864076234e-33 7.340674127411364e-33 1.1319156276060219e-32 2.3659708416267303e-32 2.985077710226764e-32 6.681052709031217e-33
4.572567867791303e-07 4.9349968170980394e-33 4.9350627605208405e-33 5.332383600970841e-33 7.17341631600796e-33 1.1061245864342399e-32 2.3120614803507186e-32 2.9170618148268683e-32 6.52882292121482e-33
4.6791845046510194e-07 4.810897578672521e-33 4.810964734234754e-33 5.2087087464967055e-33 7.009969332618539e-33 1.0809212020610848e-32 2.25938046013197e-32 2.8505956823022276e-32 6.380061735782908e-33
4.788287076675383e-07 4.6899464242531205e-33 4.690014815094385e-33 5.088036247405255e-33 6.850246365443058e-33 1.0562920845297628e-32 2.2078997929319847e-32 2.785644000892287e-32 6.23469011828913e-33
4.899933547366384e-07 4.572062684161038e-33 4.5721323335079645e-33 4.970285375588764e-33 6.694162578240417e-33 1.0322241488146495e-32 2.1575921283364924e-32 2.7221722633308583e-32 6.092630840324778e-33
5.014183231736547e-07 4.457167781037244e-33 4.45723871294651e-33 4.8553777939915844e-33 6.541635069202719e-33 1.0087046087389482e-32 2.1084307391560034e-32 2.6601467486993246e-32 5.953808425345495e-33
5.131096827821533e-07 4.3451851722267284e-33 4.3452574111119026e-33 4.7432374934387644e-33 6.392582819183158e-33 9.857209683968326e-33 2.060389507152004e-32 2.599534504344423e-32 5.8181491217625174e-33
5.250736448927506e-07 4.236040299777801e-33 4.236113870527692e-33 4.633790738822984e-33 6.246926657367626e-33 9.632610173509651e-33 2.0134429091699886e-32 2.5403033284537885e-32 5.685580857124298e-33
5.373165656630395e-07 4.129660536124562e-33 4.1297354641123105e-33 4.526966007601682e-33 6.10458921429754e-33 9.413128231395135e-33 1.9675660037029806e-32 2.482421752953796e-32 5.556033201192941e-33
5.4984494945446e-07 4.025975133398678e-33 4.026051444491373e-33 4.422693931366269e-33 5.96549488257371e-33 9.198647252158193e-33 1.9227344173397263e-32 2.4258590268649689e-32 5.429437328427145e-33
5.626654522879044e-07 3.9249151771038845e-33 3.924992897672338e-33 4.320907240431052e-33 5.829569776221983e-33 8.989053286718526e-33 1.8789243324490522e-32 2.3705850997297165e-32 5.30572598171703e-33
5.757848853798981e-07 3.8264135326056515e-33 3.826492689534132e-33 4.221540699257523e-33 5.6967416930670824e-33 8.784234985045096e-33 1.8361124735886392e-32 2.3165706059581745e-32 5.184833436171662e-33
5.892102187612295e-07 3.730404803227849e-33 3.730485423924242e-33 4.1245310538445464e-33 5.566940073970392e-33 8.584083531074954e-33 1.7942760959295736e-32 2.2637868489123428e-32 5.066695464654476e-33
6.029485849799565e-07 3.6368252815602005e-33 3.6369073939662653e-33 4.029816969991622e-33 5.4400959648159295e-33 8.388492584182468e-33 1.7533929710152463e-32 2.212205785896743e-32 4.9512493032433375e-33
6.17007282890752e-07 3.545612910094274e-33 3.5456965426962014e-33 3.937338981813972e-33 5.31614198983654e-33 8.197358244570397e-33 1.713441384104067e-32 2.161800013184936e-32 4.8384336178068654e-33
6.313937815326057e-07 3.456707230035428e-33 3.456792411874266e-33 3.847039424793924e-33 5.195012297083021e-33 8.01057895492279e-33 1.674400104466696e-32 2.112542751450711e-32 4.7281884737062074e-33
6.461157240969403e-07 3.3700493466741945e-33 3.3701361073570246e-33 3.758862388321197e-33 5.0766425414093745e-33 7.828055488223388e-33 1.636248392225151e-32 2.0644078314844076e-32 4.620455298840134e-33
6.611809319882495e-07 3.2855818848281594e-33 3.285670254538976e-33 3.6727536560694315e-33 4.960969841728852e-33 7.649690874691442e-33 1.598965978337554e-32 2.0173696800535985e-32 4.515176857746406e-33
6.765974089794179e-07 3.2032489518399195e-33 3.2033389613511044e-33 3.5886606507704334e-33 4.847932748756615e-33 7.475390352857575e-33 1.5625330556381693e-32 1.971403308052554e-32 4.412297218647505e-33
6.923733454639272e-07 3.122996093693862e-33 3.123087774377446e-33 3.506532380845622e-33 4.737471212312545e-33 7.305061318974074e-33 1.5269302669785013e-32 1.9264842935541404e-32 4.311761724121249e-33
7.085171228072106e-07 3.044770264569115e-33 3.0448636484087936e-33 3.426319388965498e-33 4.629526554150956e-33 7.138613288888578e-33 1.4921387009410186e-32 1.882588772595087e-32 4.2135169619924236e-33
7.250373177994646e-07 2.968519782989286e-33 2.968614902592241e-33 3.3479736944472644e-33 4.524041426264883e-33 6.975957825181146e-33 1.458139870188898e-32 1.839693424481761e-32 4.117510737529259e-33
7.419427072122865e-07 2.894194301289175e-33 2.8942911898981928e-33 3.271448748076042e-33 4.42095979141531e-33 6.817008515563995e-33 1.4249157130700437e-32 1.7977754600021376e-32 4.0236920447754685e-33
7.592422724615558e-07 2.821744768695154e-33 2.8218434602012247e-33 3.19669937919502e-33 4.320226887957885e-33 6.661680914598216e-33 1.3924485786188715e-32 1.7568126094079332e-32 3.932011040221224e-33
7.769452043790388e-07 2.7511233974537603e-33 2.7512239264086055e-33 3.1236817472285935e-33 4.2217892011798004e-33 6.509892500169711e-33 1.3607212176485641e-32 1.716783110011458e-32 3.842419016009889e-33
7.950609080952509e-07 2.6822836305249705e-33 2.6823860321540024e-33 3.052353294964586e-33 4.1255944361542824e-33 6.361562630713872e-33 1.329716774229947e-32 1.6776656949626294e-32 3.754868374150399e-33
8.135990080361694e-07 2.615180108960138e-33 2.6152844191755498e-33 2.982672701812024e-33 4.0315914887489494e-33 6.216612502283138e-33 1.2994187765133513e-32 1.639439582249523e-32 3.669312601124317e-33
8.325693530364543e-07 2.5497686409682342e-33 2.5498748963823346e-33 2.914599839488672e-33 3.9397304196606786e-33 6.074965107145187e-33 1.269811127894163e-32 1.602084463318784e-32 3.585706243253362e-33
8.519820215718901e-07 2.4860061719222024e-33 2.4861144098612224e-33 2.848095729279536e-33 3.849962426517734e-33 5.9365451906657296e-33 1.2408780985603038e-32 1.565580492287949e-32 3.504004882555005e-33
8.718473271138315e-07 2.4238507533601994e-33 2.4239610118780536e-33 2.783122498358321e-33 3.7622398193613394e-33 5.801279213849544e-33 1.2126043170146348e-32 1.5299082754984708e-32 3.424165113106625e-33
8.921758236084957e-07 2.3632615158778956e-33 2.363373833770265e-33 2.7196433416128983e-33 3.676515994648826e-33 5.669095313858032e-33 1.184974762382982e-32 1.4950488611989735e-32 3.346144518036117e-33
9.12978311084014e-07 2.30419863917139e-33 2.3043130559901645e-33 2.657622481261573e-33 3.592745410240921e-33 5.539923264004488e-33 1.157974755475659e-32 1.4609837292840948e-32 3.269901646900634e-33
9.342658413882192e-07 2.2466233289181443e-33 2.2467398849863582e-33 2.5970251298298298e-33 3.5108835615849696e-33 5.4136944378547944e-33 1.1315899516250005e-32 1.427694782229997e-32 3.195395993756665e-33
9.560497240602198e-07 2.1904977829376717e-33 2.1906165193640112e-33 2.5378174547480307e-33 3.4308869592310853e-33 5.290341775428024e-33 1.1058063342647594e-32 1.3951643339890524e-32 3.1225879753481634e-33
9.78341532338879e-07 2.1357851721582334e-33 2.135906130852464e-33 2.4799665420767235e-33 3.3527131026599695e-33 5.169799740214668e-33 1.0806102041542598e-32 1.36337510214531e-32 3.0514389112716327e-33
