# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 3.1801650061448532e-37 3.4066091641499367e-37 5.1268476470315135e-37 6.870743915450743e-37 1.0408524076840034e-36 2.0631349794965975e-36 2.033507592690215e-36 2.9336632364913683e-37
3.2360111549336787e-07 3.175414411132491e-37 3.40617433251807e-37 5.126847647485193e-37 6.870743916299217e-37 1.0408524078786899e-36 2.0631349802667917e-36 2.0335075952420456e-36 2.9336632453834213e-37
3.311463862505236e-07 3.170689432069949e-37 3.405767886251817e-37 5.12684764796282e-37 6.870743917187713e-37 1.0408524080825604e-36 2.0631349810733215e-36 2.0335075979142627e-36 2.9336632546949724e-37
3.388675869043115e-07 3.165990397647703e-37 3.40538828126606e-37 5.126847648465301e-37 6.870743918118128e-37 1.0408524082960486e-36 2.0631349819179008e-36 2.0335076007125458e-36 2.9336632644458115e-37
3.4676881953794695e-07 3.1613176514605005e-37 3.4050340271646008e-37 5.126847648993565e-37 6.870743919092437e-37 1.0408524085196085e-36 2.063134982802324e-36 2.033507603642845e-36 2.933663274656666e-37
3.548542818811901e-07 3.1566715523720655e-37 3.40470368832004e-37 5.126847649548686e-37 6.8707439201127114e-37 1.0408524087537156e-36 2.0631349837284717e-36 2.0335076067113848e-36 2.9336632853492357e-37
3.6312826954049566e-07 3.1520524748541935e-37 3.404395884605633e-37 5.126847650131762e-37 6.870743921181123e-37 1.0408524089988675e-36 2.063134984698313e-36 2.0335076099246894e-36 2.933663296546245e-37
3.715951782811629e-07 3.1474608093264006e-37 3.4041092918073293e-37 5.126847650743932e-37 6.870743922299934e-37 1.040852409255584e-36 2.0631349857139066e-36 2.033507613289586e-36 2.933663308271494e-37
3.8025950636269697e-07 3.1428969624793072e-37 3.4038426417317402e-37 5.126847651386449e-37 6.870743923471536e-37 1.0408524095244122e-36 2.0631349867774154e-36 2.0335076168132303e-36 2.9336633205499065e-37
3.89125856928623e-07 3.1383613575909287e-37 3.403594722036946e-37 5.126847652060581e-37 6.870743924698401e-37 1.0408524098059223e-36 2.063134987891095e-36 2.0335076205031073e-36 2.933663333407575e-37
3.9819894045202297e-07 3.133854434826033e-37 3.4033643758090447e-37 5.126847652767761e-37 6.870743925983146e-37 1.0408524101007137e-36 2.063134989057315e-36 2.0335076243670618e-36 2.9336633468718254e-37
4.0748357723809307e-07 3.129376651508901e-37 3.4031505009053088e-37 5.1268476535093965e-37 6.87074392732851e-37 1.0408524104094124e-36 2.063134990278554e-36 2.0335076284133048e-36 2.9336633609712765e-37
4.169846999850535e-07 3.124928482391514e-37 3.402952049091704e-37 5.1268476542870365e-37 6.8707439287373365e-37 1.040852410732674e-36 2.0631349915574065e-36 2.0335076326504367e-36 2.9336633757358944e-37
4.2670735640476865e-07 3.1205104198771445e-37 3.402768024997114e-37 5.126847655102269e-37 6.870743930212629e-37 1.0408524110711864e-36 2.0631349928965916e-36 2.0335076370874626e-36 2.933663391197061e-37
4.3665671190447213e-07 3.116122974228033e-37 3.402597484906964e-37 5.126847655956807e-37 6.870743931757522e-37 1.0408524114256688e-36 2.0631349942989548e-36 2.033507641733813e-36 2.9336634073876356e-37
4.4683805233101997e-07 3.11176667374338e-37 3.4024395354179998e-37 5.126847656852417e-37 6.870743933375296e-37 1.040852411796874e-36 2.063134995767476e-36 2.0335076465993642e-36 2.9336634243420283e-37
4.572567867791303e-07 3.1074420648970473e-37 3.4022933319814694e-37 5.126847657790982e-37 6.870743935069393e-37 1.040852412185592e-36 2.0631349973052785e-36 2.0335076516944572e-36 2.9336634420962793e-37
4.6791845046510194e-07 3.103149712435519e-37 3.402158077343142e-37 5.126847658774445e-37 6.870743936843415e-37 1.0408524125926482e-36 2.0631349989156306e-36 2.03350765702992e-36 2.933663460688118e-37
4.788287076675383e-07 3.098890199435021e-37 3.4020330199152374e-37 5.126847659804915e-37 6.870743938701129e-37 1.0408524130189087e-36 2.063135000601953e-36 2.0335076626170924e-36 2.9336634801570597e-37
4.899933547366384e-07 3.094664127308935e-37 3.4019174520799453e-37 5.126847660884516e-37 6.870743940646483e-37 1.0408524134652783e-36 2.0631350023678313e-36 2.0335076684678502e-36 2.933663500544485e-37
5.014183231736547e-07 3.090472115767335e-37 3.4018107084606815e-37 5.126847662015527e-37 6.870743942683613e-37 1.040852413932707e-36 2.0631350042170183e-36 2.0335076745946287e-36 2.9336635218937244e-37
5.131096827821533e-07 3.0863148027105437e-37 3.4017121641587108e-37 5.126847663200342e-37 6.870743944816848e-37 1.0408524144221862e-36 2.063135006153443e-36 2.0335076810104487e-36 2.9336635442501533e-37
5.250736448927506e-07 3.0821928440597382e-37 3.401621232980446e-37 5.126847664441443e-37 6.870743947050721e-37 1.040852414934758e-36 2.0631350081812215e-36 2.0335076877289463e-36 2.9336635676612874e-37
5.373165656630395e-07 3.0781069135407228e-37 3.401537365662376e-37 5.126847665741464e-37 6.870743949389986e-37 1.0408524154715116e-36 2.0631350103046666e-36 2.0335076947644027e-36 2.9336635921768863e-37
5.4984494945446e-07 3.0740577023573e-37 3.4014600481073113e-37 5.1268476671031454e-37 6.870743951839599e-37 1.0408524160335872e-36 2.0631350125282866e-36 2.0335077021317674e-36 2.933663617849049e-37
5.626654522879044e-07 3.070045918813887e-37 3.401388799636618e-37 5.126847668529381e-37 6.87074395440479e-37 1.0408524166221798e-36 2.0631350148568112e-36 2.0335077098467024e-36 2.933663644732344e-37
5.757848853798981e-07 3.066072287839568e-37 3.401323171275292e-37 5.126847670023179e-37 6.8707439570909925e-37 1.0408524172385407e-36 2.0631350172951885e-36 2.0335077179256028e-36 2.9336636728839088e-37
5.892102187612295e-07 3.0621375504453298e-37 3.4012627440747703e-37 5.126847671587699e-37 6.870743959903923e-37 1.0408524178839791e-36 2.0631350198486002e-36 2.033507726385641e-36 2.933663702363573e-37
6.029485849799565e-07 3.0582424630308567e-37 3.4012071274634907e-37 5.126847673226257e-37 6.870743962849557e-37 1.0408524185598668e-36 2.0631350225224728e-36 2.0335077352447954e-36 2.9336637332339955e-37
6.17007282890752e-07 3.054387796649168e-37 3.401155957662751e-37 5.126847674942312e-37 6.870743965934153e-37 1.040852419267641e-36 2.06313502532249e-36 2.0335077445218976e-36 2.933663765560788e-37
6.313937815326057e-07 3.050574336133067e-37 3.4011088961421707e-37 5.1268476767395555e-37 6.870743969164282e-37 1.0408524200088063e-36 2.0631350282546063e-36 2.033507754236664e-36 2.9336637994126536e-37
6.461157240969403e-07 3.0468028790991927e-37 3.401065628128883e-37 5.126847678621733e-37 6.870743972546783e-37 1.0408524207849366e-36 2.063135031325047e-36 2.0335077644097406e-36 2.9336638348615433e-37
6.611809319882495e-07 3.04307423485398e-37 3.4010258611792523e-37 5.126847680592874e-37 6.870743976088874e-37 1.0408524215976834e-36 2.063135034540343e-36 2.033507775062753e-36 2.933663871982803e-37
6.765974089794179e-07 3.039389223157132e-37 3.400989323805612e-37 5.126847682657149e-37 6.870743979798058e-37 1.040852422448772e-36 2.063135037907326e-36 2.0335077862183387e-36 2.9336639108553193e-37
6.923733454639272e-07 3.0357486728780595e-37 3.400955764161919e-37 5.126847684818938e-37 6.870743983682237e-37 1.0408524233400128e-36 2.063135041433153e-36 2.03350779790021e-36 2.9336639515617196e-37
7.085171228072106e-07 3.032153420488087e-37 3.4009249487903734e-37 5.126847687082849e-37 6.870743987749656e-37 1.0408524242732992e-36 2.0631350451253163e-36 2.033507810133196e-36 2.933663994188527e-37
7.250373177994646e-07 3.028604308431991e-37 3.4008966614270303e-37 5.126847689453663e-37 6.870743992008965e-37 1.0408524252506153e-36 2.0631350489916652e-36 2.033507822943294e-36 2.933664038826319e-37
7.419427072122865e-07 3.025102183372342e-37 3.4008707018711855e-37 5.126847691936427e-37 6.870743996469216e-37 1.0408524262740376e-36 2.063135053040415e-36 2.0335078363577325e-36 2.9336640855699898e-37
7.592422724615558e-07 3.0216478942577486e-37 3.4008468849069987e-37 5.1268476945364124e-37 6.870744001139881e-37 1.0408524273457421e-36 2.0631350572801722e-36 2.033507850405021e-36 2.9336641345188753e-37
7.769452043790388e-07 3.018242290274542e-37 3.4008250392875293e-37 5.126847697259128e-37 6.870744006030894e-37 1.0408524284680061e-36 2.063135061719947e-36 2.0335078651150153e-36 2.9336641857770107e-37
7.950609080952509e-07 3.014886218646275e-37 3.4008050067753817e-37 5.126847700110397e-37 6.870744011152658e-37 1.040852429643215e-36 2.0631350663691785e-36 2.0335078805189826e-36 2.933664239453349e-37
8.135990080361694e-07 3.011580522272198e-37 3.4007866412340304e-37 5.126847703096244e-37 6.870744016516045e-37 1.0408524308738663e-36 2.063135071237745e-36 2.033507896649659e-36 2.933664295661967e-37
8.325693530364543e-07 3.0083260372499437e-37 3.400769807777953e-37 5.126847706222983e-37 6.870744022132457e-37 1.0408524321625756e-36 2.0631350763359926e-36 2.0335079135413283e-36 2.933664354522323e-37
8.519820215718901e-07 3.005123590245108e-37 3.4007543819683678e-37 5.126847709497321e-37 6.8707440280138365e-37 1.0408524335120829e-36 2.063135081674763e-36 2.0335079312298936e-36 2.9336644161595297e-37
8.718473271138315e-07 3.001973995721273e-37 3.4007402490653532e-37 5.126847712926185e-37 6.8707440341726815e-37 1.040852434925255e-36 2.0631350872653973e-36 2.0335079497529496e-36 2.93366448070458e-37
8.921758236084957e-07 2.9988780530485535e-37 3.4007273033153413e-37 5.126847716516848e-37 6.870744040622072e-37 1.040852436405096e-36 2.0631350931197783e-36 2.0335079691498646e-36 2.9336645482946683e-37
9.12978311084014e-07 2.995836543512367e-37 3.400715447301408e-37 5.1268477202769566e-37 6.870744047375737e-37 1.0408524379547512e-36 2.0631350992503532e-36 2.033507989461863e-36 2.9336646190734373e-37
9.342658413882192e-07 2.9928502271586895e-37 3.400704591316537e-37 5.126847724214485e-37 6.870744054448015e-37 1.0408524395775148e-36 2.0631351056701493e-36 2.0335080107321185e-36 2.9336646931913276e-37
9.560497240602198e-07 2.98991983960795e-37 3.4006946527930463e-37 5.126847728337828e-37 6.870744061853941e-37 1.0408524412768352e-36 2.0631351123928107e-36 2.0335080330058374e-36 2.9336647708058698e-37
9.78341532338879e-07 2.9870460887304544e-37 3.400685555763397e-37 5.126847732655708e-37 6.870744069609251e-37 1.040852443056324e-36 2.0631351194326244e-36 2.0335080563303595e-36 2.933664852082015e-37
1.0011531093113902e-06 2.984229651288537e-37 3.400677230361432e-37 5.12684773717734e-37 6.870744077730432e-37 1.0408524449197626e-36 2.0631351268045545e-36 2.0335080807552557e-36 2.933664937192507e-37
1.0244965742052174e-06 2.981471169510683e-37 3.400669612353082e-37 5.126847741912313e-37 6.870744086234745e-37 1.040852446871113e-36 2.063135134524269e-36 2.033508106332445e-36 2.9336650263182592e-37
1.048384328826741e-06 2.9787712476427424e-37 3.4006626427062488e-37 5.126847746870689e-37 6.8707440951402645e-37 1.0408524489145216e-36 2.063135142608174e-36 2.0335081331162813e-36 2.9336651196486663e-37
1.0728290641500308e-06 2.976130448478236e-37 3.4006562671866423e-37 5.126847752063003e-37 6.870744104465916e-37 1.0408524510543312e-36 2.063135151073452e-36 2.0335081611636932e-36 2.93366521738211e-37
1.0978437670592484e-06 2.973549289916724e-37 3.40065043598393e-37 5.126847757500306e-37 6.870744114231527e-37 1.0408524532950913e-36 2.0631351599380966e-36 2.0335081905342947e-36 2.933665319726313e-37
1.1234417272482566e-06 2.9710282415574187e-37 3.4006451033653007e-37 5.126847763194143e-37 6.8707441244578465e-37 1.0408524556415629e-36 2.0631351692209472e-36 2.0335082212905148e-36 2.933665426898803e-37
1.149636544281106e-06 2.9685677213488383e-37 3.4006402273551333e-37 5.126847769156609e-37 6.870744135166611e-37 1.0408524580987335e-36 2.063135178941731e-36 2.033508253497704e-36 2.9336655391273344e-37
1.1764421348171486e-06 2.966168092339411e-37 3.400635769435954e-37 5.126847775400382e-37 6.8707441463805835e-37 1.040852460671826e-36 2.0631351891211124e-36 2.0335082872243367e-36 2.933665656650471e-37
1.2038727400046132e-06 2.9638296595631186e-37 3.400631694274675e-37 5.1268477819387284e-37 6.870744158123588e-37 1.0408524633663076e-36 2.063135199780722e-36 2.033508322542078e-36 2.933665779717965e-37
1.2319429330465773e-06 2.9615526670348757e-37 3.400627969466365e-37 5.126847788785544e-37 6.8707441704205894e-37 1.0408524661879064e-36 2.063135210943217e-36 2.033508359525992e-36 2.933665908591392e-37
1.2606676269433496e-06 2.9593372949814595e-37 3.4006245653016155e-37 5.126847795955392e-37 6.870744183297742e-37 1.0408524691426209e-36 2.06313522263233e-36 2.0335083982547076e-36 2.933666043544683e-37
1.2900620824153782e-06 2.957183657229805e-37 3.4006214545453562e-37 5.126847803463487e-37 6.8707441967823785e-37 1.0408524722367282e-36 2.063135234872891e-36 2.0335084388105073e-36 2.9336661848646244e-37
1.3201419160108953e-06 2.9550917988925157e-37 3.400618612239963e-37 5.126847811325812e-37 6.870744210903182e-37 1.040852475476805e-36 2.063135247690925e-36 2.0335084812796066e-36 2.93366633285161e-37
1.3509231084026028e-06 2.953061694262511e-37 3.400616015517768e-37 5.1268478195590586e-37 6.870744225690156e-37 1.0408524788697381e-36 2.0631352611136706e-36 2.0335085257522558e-36 2.933666487820145e-37
1.38242201287781e-06 2.9510932450572796e-37 3.40061364343123e-37 5.126847828180741e-37 6.8707442411747385e-37 1.04085248242274e-36 2.0631352751696614e-36 2.03350857232299e-36 2.9336666500996125e-37
1.4146553640265304e-06 2.9491862789473977e-37 3.4006114767969523e-37 5.12684783720916e-37 6.870744257389831e-37 1.0408524861433606e-36 2.0631352898887674e-36 2.0335086210907817e-36 2.9336668200349115e-37
1.447640286632156e-06 2.947340548436068e-37 3.4006094980486182e-37 5.126847846663523e-37 6.870744274369903e-37 1.0408524900395088e-36 2.0631353053022757e-36 2.033508672159287e-36 2.933666997987233e-37
1.4813943047694329e-06 2.9455557301391656e-37 3.4006076911038566e-37 5.12684785656393e-37 6.870744292151034e-37 1.0408524941194638e-36 2.06313532144294e-36 2.033508725637033e-36 2.9336671843347795e-37
1.5159353511145682e-06 2.943831424411262e-37 3.400606041244163e-37 5.126847866931397e-37 6.870744310771022e-37 1.040852498391898e-36 2.0631353383450715e-36 2.033508781637695e-36 2.9336673794736195e-37
1.5512817764724183e-06 2.9421671553565667e-37 3.4006045349972254e-37 5.126847877787998e-37 6.87074433026945e-37 1.0408525028658933e-36 2.0631353560445948e-36 2.0335088402802963e-36 2.933667583818509e-37
1.587452359525819e-06 2.9405623713279805e-37 3.400603160039965e-37 5.126847889156758e-37 6.870744350687742e-37 1.0408525075509562e-36 2.0631353745791206e-36 2.0335089016894616e-36 2.9336677978037343e-37
1.6244663168122348e-06 2.9390164457450606e-37 3.400601905094841e-37 5.126847901061865e-37 6.870744372069311e-37 1.040852512457046e-36 2.063135393988048e-36 2.0335089659957185e-36 2.9336680218841247e-37
1.6623433129330315e-06 2.9375286783915876e-37 3.4006007598489574e-37 5.126847913528634e-37 6.87074439445959e-37 1.0408525175945889e-36 2.0631354143126255e-36 2.033509033335744e-36 2.933668256535927e-37
1.7011034710007933e-06 2.9360982970903456e-37 3.4005997148686742e-37 5.126847926583534e-37 6.870744417906171e-37 1.0408525229745046e-36 2.0631354355960524e-36 2.033509103852654e-36 2.9336685022578588e-37
1.740767383330235e-06 2.9347244598448996e-37 3.400598761530973e-37 5.12684794025434e-37 6.8707444424588865e-37 1.0408525286082274e-36 2.0631354578835634e-36 2.033509177696336e-36 2.9336687595722007e-37
