# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1e-10 6.616413742330381e-34 6.616415353288785e-34 6.631662833876098e-34 7.967204061096037e-34 6.457503649496161e-33 5.796823706119294e-30
1.3848863713938747e-10 4.153301527735483e-34 4.153303203869148e-34 4.169532802689681e-34 5.436990240763026e-34 4.6641659504762825e-33 4.185821161806754e-30
1.9179102616724848e-10 2.651832952250208e-34 2.6518347623653937e-34 2.669536328388979e-34 3.825817315109691e-34 3.368185723572283e-33 3.0224703314630613e-30
2.656087782946684e-10 1.715982438631109e-34 1.715984449638109e-34 1.7356512800452594e-34 2.7394239391723157e-34 2.4321288154947492e-33 2.182452765494052e-30
3.6783797718286343e-10 1.1224499390260022e-34 1.1224522227982209e-34 1.1445591229762983e-34 1.97521725836725e-34 1.7561839496353343e-33 1.5759008605307914e-30
5.094138014816385e-10 7.40756533158886e-35 7.407591743108409e-35 7.656752180636546e-35 1.4265385976911947e-34 1.2681003102647344e-33 1.1379263321775644e-30
7.054802310718631e-10 4.925005258619358e-35 4.92503627594618e-35 5.203041431644324e-35 1.0303172270537307e-34 9.15668726008312e-34 8.21675196338737e-31
9.770099572992246e-10 3.2951195617803654e-35 3.295156455372165e-35 3.597031840628913e-35 7.440458732780093e-35 6.61186587527283e-34 5.933163454982159e-31
1.3530477745798075e-09 2.216575234410966e-35 2.2166195906801702e-35 2.5296544885935576e-35 5.372777341226156e-35 4.774303872936779e-34 4.284225361698658e-31
1.873817422860387e-09 1.4980640079997344e-35 1.4981178314235858e-35 1.8037801647487307e-35 3.8796048526741613e-35 3.447435063100145e-34 3.0935578959315443e-31
2.595024211399732e-09 1.0166282519575925e-35 1.0166940931136506e-35 1.2969504794006963e-35 2.8013878973385223e-35 2.489327617018149e-34 2.233799223714069e-31
3.5938136638046257e-09 6.924196940179866e-36 6.925008112511752e-36 9.357666009146878e-36 2.022826772315198e-35 1.7974961319079313e-34 1.6129837341410884e-31
4.977023564332114e-09 4.7312739596063215e-36 4.732279604072783e-36 6.75748688031091e-36 1.4606439878311674e-35 1.2979376634741245e-34 1.1647047078128078e-31
6.892612104349681e-09 3.2422129830841185e-36 3.243466518685459e-36 4.8800034341404945e-36 1.05470312423294e-35 9.37215983301415e-35 8.410110250570984e-32
9.545484566618328e-09 2.2275883434719648e-36 2.2291580340661238e-36 3.523930751084978e-36 7.615810879391602e-36 6.767457513396364e-35 6.072780089251256e-32
1.3219411484660288e-08 1.5340913223312167e-36 1.5360638114166242e-36 2.544602603471116e-36 5.4992323106277345e-36 4.886651814492629e-35 4.3850385529106275e-32
1.8307382802953696e-08 1.0587607428965607e-36 1.061244315395467e-36 1.837415240442203e-36 3.970890938355986e-36 3.528557959453066e-35 3.1663525951119524e-32
2.5353644939701113e-08 7.321402119340941e-37 7.352658573495206e-37 1.3267624425500702e-36 2.8673046078105652e-36 2.5479043202189783e-35 2.2863627535723226e-32
3.5111917342151277e-08 5.071892055286802e-37 5.111048416893098e-37 9.580293933545132e-37 2.070425919540043e-36 1.83979305844096e-35 1.65093889642322e-32
4.8626015800653535e-08 3.519354183905099e-37 3.5678390034062217e-37 6.917745848004866e-37 1.4950150187702831e-36 1.3284794439361106e-35 1.192111475708364e-32
