# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_5
1e-10 1.3166264400989085e-32
1.3848863713938747e-10 8.278040166394118e-33
1.9179102616724848e-10 5.300001222630252e-33
2.656087782946684e-10 3.44589950264923e-33
3.6783797718286343e-10 2.2723664355629205e-33
5.094138014816385e-10 1.5201439848260233e-33
7.054802310718631e-10 1.0329930953122674e-33
9.770099572992246e-10 7.141417387894532e-34
1.3530477745798075e-09 5.022284858909923e-34
1.873817422860387e-09 3.5811601351361986e-34
2.595024211399732e-09 2.5749187427851295e-34
3.5938136638046257e-09 1.8578372866487326e-34
4.977023564332114e-09 1.3416070928380766e-34
6.892612104349681e-09 9.688582954401282e-35
9.545484566618328e-09 6.996285119103769e-35
1.3219411484660288e-08 5.051962307493245e-35
1.8307382802953696e-08 3.6479380022897213e-35
2.5353644939701113e-08 2.634106340069503e-35
3.5111917342151277e-08 1.902037032460562e-35
4.8626015800653535e-08 1.3734243307487519e-35
6.734150657750828e-08 9.91723466418493e-36
9.3260334688322e-08 7.161046197298647e-36
1.2915496650148827e-07 5.170855057602409e-36
1.7886495290574352e-07 3.733775899891862e-36
2.4770763559917087e-07 2.696088425818818e-36
3.430469286314912e-07 1.9467941293191825e-36
4.7508101621027934e-07 1.4057430798703654e-36
6.579332246575682e-07 1.0150605336561803e-36
9.111627561154887e-07 7.329562460364647e-37
1.261856883066021e-06 5.2925429083211695e-37
1.747528400007683e-06 3.821652239591991e-37
2.4201282647943835e-06 2.759553290738652e-37
3.3516026509388406e-06 1.992636233169248e-37
4.641588833612773e-06 1.4388660396238666e-37
6.4280731172843194e-06 1.0390074200989404e-37
8.902150854450375e-06 7.50288582496414e-38
1.2328467394420658e-05 5.418260450629567e-38
1.7073526474706886e-05 3.9132109927042177e-38
2.3644894126454072e-05 2.8267453758348514e-38
3.274549162877725e-05 2.0426445923017115e-38
4.534878508128582e-05 1.4770283079788367e-38
6.280291441834246e-05 1.0693753207335934e-38
8.697490026177834e-05 7.76032128200305e-39
0.00012045035402587811 5.655022245939355e-39
0.0001668100537200059 4.1499231612229774e-39
0.0002310129700083158 3.078430615359264e-39
0.00031992671377973844 2.316636690897323e-39
0.00044306214575838776 1.7718611208041974e-39
0.0006135907273413163 1.377086518740557e-39
0.0008497534359086438 1.0865274777520695e-39
0.0011768119524349966 8.699447240608681e-40
0.0016297508346206436 7.073208498540516e-40
0.002257019719633917 5.851397521955666e-40
0.0031257158496882354 4.9413167704387235e-40
0.004328761281083053 4.2799293770520985e-40
0.005994842503189409 3.827248053183364e-40
0.008302175681319735 3.564369153305356e-40
0.011497569953977356 3.4965800969012455e-40
0.01592282793341094 3.6647177338418293e-40
0.022051307399030412 4.173582556960855e-40
0.030538555088334123 5.259797335857932e-40
0.04229242874389499 7.455493820191485e-40
0.058570208180566734 1.1987246582589237e-39
0.08111308307896856 2.1743917929902754e-39
0.11233240329780265 4.3614573787597846e-39
0.15556761439304723 9.426688193142031e-39
0.21544346900318778 2.1495783309957958e-38
0.2983647240283334 5.102394739568397e-38
0.41320124001153347 1.2499482565156796e-37
0.572236765935022 3.1391297139565468e-37
0.7924828983539153 8.033329087538273e-37
1.0974987654930546 2.0835179458964715e-36
1.5199110829529332 5.4526839828263585e-36
2.104904144512022 1.4352962672689584e-35
2.91505306282517 3.791785768796181e-35
4.03701725859655 1.0039324440172855e-34
5.5908101825122225 2.6615801472198478e-34
7.742636826811277 7.06176975065319e-34
10.72267222010321 1.874499922136864e-33
14.849682622544636 4.9770481414541065e-33
20.565123083486515 1.3216717975266764e-32
28.48035868435793 3.5100337454667155e-32
39.44206059437648 9.322155163322602e-32
54.62277217684337 2.4758576783839253e-31
75.64633275546291 6.575488717439407e-31
104.76157527896619 1.7462698787727775e-30
145.08287784959373 4.637265255882547e-30
200.92330025650458 1.231306499134108e-29
278.2559402207126 3.269008871202323e-29
385.352859371052 8.677944588571438e-29
533.6699231206302 2.3035066525515735e-28
739.0722033525775 6.114498094980206e-28
1023.5310218990269 1.6230912752992855e-27
1417.474162926802 4.308376107315499e-27
1963.0406500402685 1.1434159166612596e-26
2718.58824273294 3.033075057423441e-26
3764.935806792456 8.037346271935456e-26
5214.0082879996735 2.1254746466580003e-25
7220.8090183854565 5.59885067580108e-25
10000.0 1.463964952480173e-24
