# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-10 inf
1.3848863713938747e-10 inf
1.9179102616724848e-10 inf
2.656087782946684e-10 inf
3.6783797718286343e-10 inf
5.094138014816385e-10 inf
7.054802310718631e-10 inf
9.770099572992246e-10 inf
1.3530477745798075e-09 inf
1.873817422860387e-09 inf
2.595024211399732e-09 inf
3.5938136638046257e-09 inf
4.977023564332114e-09 inf
6.892612104349681e-09 inf
9.545484566618328e-09 inf
1.3219411484660288e-08 inf
1.8307382802953696e-08 inf
2.5353644939701113e-08 inf
3.5111917342151277e-08 inf
4.8626015800653535e-08 inf
6.734150657750828e-08 inf
9.3260334688322e-08 inf
1.2915496650148827e-07 inf
1.7886495290574352e-07 inf
2.4770763559917087e-07 inf
3.430469286314912e-07 inf
4.7508101621027934e-07 inf
6.579332246575682e-07 inf
9.111627561154887e-07 inf
1.261856883066021e-06 inf
1.747528400007683e-06 inf
2.4201282647943835e-06 inf
3.3516026509388406e-06 inf
4.641588833612773e-06 inf
6.4280731172843194e-06 inf
8.902150854450375e-06 inf
1.2328467394420658e-05 inf
1.7073526474706886e-05 inf
2.3644894126454072e-05 inf
3.274549162877725e-05 inf
4.534878508128582e-05 inf
6.280291441834246e-05 inf
8.697490026177834e-05 inf
0.00012045035402587811 inf
0.0001668100537200059 inf
0.0002310129700083158 inf
0.00031992671377973844 inf
0.00044306214575838776 inf
0.0006135907273413163 inf
0.0008497534359086438 inf
0.0011768119524349966 inf
0.0016297508346206436 inf
0.002257019719633917 inf
0.0031257158496882354 inf
0.004328761281083053 inf
0.005994842503189409 inf
0.008302175681319735 inf
0.011497569953977356 6.722971631301026e-29
0.01592282793341094 3.33465404805473e-30
0.022051307399030412 1.4079247199535803e-30
0.030538555088334123 1.30034471922444e-30
0.04229242874389499 1.839457305094799e-30
0.058570208180566734 3.326745672426817e-30
0.08111308307896856 6.949461241535025e-30
0.11233240329780265 1.577258726350078e-29
0.15556761439304723 3.734360202386548e-29
0.21544346900318778 8.937760781651805e-29
0.2983647240283334 2.1005313214420356e-28
0.41320124001153347 4.710050893015037e-28
0.572236765935022 9.843454470390632e-28
0.7924828983539153 1.9057185229452782e-27
1.0974987654930546 3.489551179375164e-27
1.5199110829529332 6.310693172177642e-27
2.104904144512022 1.1833745704141532e-26
2.91505306282517 2.3797477772858837e-26
4.03701725859655 5.1649479222494204e-26
5.5908101825122225 1.188149589889284e-25
7.742636826811277 2.8091090144957425e-25
10.72267222010321 6.592540068476806e-25
14.849682622544636 1.481920816010186e-24
20.565123083486515 3.0872963961742915e-24
28.48035868435793 5.835734773796599e-24
39.44206059437648 1.0001393583661408e-23
54.62277217684337 1.5818777853217307e-23
75.64633275546291 2.366454216392833e-23
104.76157527896619 3.420512440634398e-23
145.08287784959373 4.847565566729312e-23
200.92330025650458 6.79604684000214e-23
278.2559402207126 9.472620350094252e-23
385.352859371052 1.3162892080500418e-22
533.6699231206302 1.8261329372228762e-22
739.0722033525775 2.53131945810269e-22
1023.5310218990269 3.507276705410372e-22
1417.474162926802 4.858398677035266e-22
1963.0406500402685 6.729210643887722e-22
2718.58824273294 9.319828047164656e-22
3764.935806792456 1.2907362094959414e-21
5214.0082879996735 1.78755615025982e-21
7220.8090183854565 2.4755861008362276e-21
10000.0 3.428422747933232e-21
