mx,sigma
1e-10,inf
1.3848863713938747e-10,inf
1.9179102616724848e-10,inf
2.656087782946684e-10,inf
3.6783797718286343e-10,inf
5.094138014816385e-10,inf
7.054802310718631e-10,inf
9.770099572992246e-10,inf
1.3530477745798075e-09,inf
1.873817422860387e-09,inf
2.595024211399732e-09,inf
3.5938136638046257e-09,inf
4.977023564332114e-09,inf
6.892612104349681e-09,inf
9.545484566618328e-09,inf
1.3219411484660288e-08,inf
1.8307382802953696e-08,inf
2.5353644939701113e-08,inf
3.5111917342151277e-08,inf
4.8626015800653535e-08,inf
6.734150657750828e-08,inf
9.3260334688322e-08,inf
1.2915496650148827e-07,inf
1.7886495290574352e-07,inf
2.4770763559917087e-07,inf
3.430469286314912e-07,inf
4.7508101621027934e-07,inf
6.579332246575682e-07,inf
9.111627561154887e-07,inf
1.261856883066021e-06,inf
1.747528400007683e-06,inf
2.4201282647943835e-06,inf
3.3516026509388406e-06,inf
4.641588833612773e-06,inf
6.4280731172843194e-06,inf
8.902150854450375e-06,inf
1.2328467394420658e-05,inf
1.7073526474706886e-05,inf
2.3644894126454072e-05,inf
3.274549162877725e-05,inf
4.534878508128582e-05,inf
6.280291441834246e-05,inf
8.697490026177834e-05,inf
0.00012045035402587811,inf
0.0001668100537200059,inf
0.0002310129700083158,inf
0.00031992671377973844,inf
0.00044306214575838776,8.957194545862939e-32
0.0006135907273413163,1.090655812117614e-33
0.0008497534359086438,1.3815264906724338e-34
0.0011768119524349966,3.906889408831382e-35
0.0016297508346206436,1.6917865300324252e-35
0.002257019719633917,9.255023596507825e-36
0.0031257158496882354,5.757141723086827e-36
0.004328761281083053,3.841168222919023e-36
0.005994842503189409,2.662043618335249e-36
0.008302175681319735,1.8837314471720993e-36
0.011497569953977356,1.349395699192105e-36
0.01592282793341094,9.751771181295623e-37
0.022051307399030412,7.111984985589072e-37
0.030538555088334123,5.256029821797401e-37
0.04229242874389499,3.9732129457306075e-37
0.058570208180566734,3.1254193354889024e-37
0.08111308307896856,2.631232602837866e-37
0.11233240329780265,2.4661494966137695e-37
0.15556761439304723,2.6867844876120812e-37
0.21544346900318778,3.5057973507331214e-37
0.2983647240283334,5.48993462502396e-37
0.41320124001153347,1.0074121850842404e-36
0.572236765935022,2.090228638418151e-36
0.7924828983539153,4.734386467629222e-36
1.0974987654930546,1.137628840854751e-35
1.5199110829529332,2.840411670843509e-35
2.104904144512022,7.265830397837752e-35
2.91505306282517,1.8867814309843094e-34
4.03701725859655,4.944828223603115e-34
5.5908101825122225,1.3031322430026915e-33
7.742636826811277,3.4455443196189724e-33
10.72267222010321,9.127799542782813e-33
14.849682622544636,2.4207928653956573e-32
20.565123083486515,6.424246445499472e-32
28.48035868435793,1.7054325061100416e-31
39.44206059437648,4.5280982342165695e-31
54.62277217684337,1.2022901999649764e-30
75.64633275546291,3.192006838241444e-30
104.76157527896619,8.472724387004114e-30
145.08287784959373,2.248133135112849e-29
200.92330025650458,5.962055023915067e-29
278.2559402207126,1.5801841008964196e-28
385.352859371052,4.185849019877464e-28
533.6699231206302,1.108475672059462e-27
739.0722033525775,2.935389596529189e-27
1023.5310218990269,7.77427764488889e-27
1417.474162926802,2.0587441120025525e-26
1963.0406500402685,5.447112058252107e-26
2718.58824273294,1.4379070507951997e-25
3764.935806792456,3.7773925861343606e-25
5214.0082879996735,9.830602659536742e-25
7220.8090183854565,2.5143115906545683e-24
10000.0,6.235630586682147e-24
