# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_7 sigma_5 sigma_4 sigma_3 sigma_2
1e-10 inf inf inf inf inf inf
1.3848863713938747e-10 inf inf inf inf inf inf
1.9179102616724848e-10 inf inf inf inf inf inf
2.656087782946684e-10 inf inf inf inf inf inf
3.6783797718286343e-10 inf inf inf inf inf inf
5.094138014816385e-10 inf inf inf inf inf inf
7.054802310718631e-10 inf inf inf inf inf inf
9.770099572992246e-10 inf inf inf inf inf inf
1.3530477745798075e-09 inf inf inf inf inf inf
1.873817422860387e-09 inf inf inf inf inf inf
2.595024211399732e-09 inf inf inf inf inf inf
3.5938136638046257e-09 inf inf inf inf inf inf
4.977023564332114e-09 inf inf inf inf inf inf
6.892612104349681e-09 inf inf inf inf inf inf
9.545484566618328e-09 inf inf inf inf inf inf
1.3219411484660288e-08 inf inf inf inf inf inf
1.8307382802953696e-08 inf inf inf inf inf inf
2.5353644939701113e-08 inf inf inf inf inf inf
3.5111917342151277e-08 inf inf inf inf inf inf
4.8626015800653535e-08 inf inf inf inf inf inf
6.734150657750828e-08 inf inf inf inf inf inf
9.3260334688322e-08 inf inf inf inf inf inf
1.2915496650148827e-07 inf inf inf inf inf inf
1.7886495290574352e-07 inf inf inf inf inf inf
2.4770763559917087e-07 inf inf inf inf inf inf
3.430469286314912e-07 inf inf inf inf inf inf
4.7508101621027934e-07 inf inf inf inf inf inf
6.579332246575682e-07 inf inf inf inf inf inf
9.111627561154887e-07 inf inf inf inf inf inf
1.261856883066021e-06 inf inf inf inf inf inf
1.747528400007683e-06 inf inf inf inf inf inf
2.4201282647943835e-06 inf inf inf inf inf inf
3.3516026509388406e-06 inf inf inf inf inf inf
4.641588833612773e-06 inf inf inf inf inf inf
6.4280731172843194e-06 inf inf inf inf inf inf
8.902150854450375e-06 inf inf inf inf inf inf
1.2328467394420658e-05 inf inf inf inf inf inf
1.7073526474706886e-05 inf inf inf inf inf inf
2.3644894126454072e-05 inf inf inf inf inf inf
3.274549162877725e-05 inf inf inf inf inf inf
4.534878508128582e-05 inf inf inf inf inf inf
6.280291441834246e-05 inf inf inf inf inf inf
8.697490026177834e-05 inf inf inf inf inf inf
0.00012045035402587811 inf inf inf inf inf inf
0.0001668100537200059 inf inf inf inf inf inf
0.0002310129700083158 inf inf inf inf inf inf
0.00031992671377973844 inf inf inf inf inf inf
0.00044306214575838776 inf inf inf inf inf inf
0.0006135907273413163 inf inf inf inf inf inf
0.0008497534359086438 inf inf inf inf inf inf
0.0011768119524349966 inf inf inf inf inf inf
0.0016297508346206436 inf inf inf inf inf inf
0.002257019719633917 inf inf inf inf inf inf
0.0031257158496882354 inf inf inf inf inf inf
0.004328761281083053 inf inf inf inf inf inf
0.005994842503189409 inf inf inf inf inf inf
0.008302175681319735 inf inf inf inf inf inf
0.011497569953977356 3.6694852078925327e-26 3.6694852131935823e-26 3.669538218638081e-26 3.674788167697201e-26 4.2186333821586475e-26 2.470675400638916e-24
0.01592282793341094 6.067349733456548e-28 6.0673497489926275e-28 6.067505095364219e-28 6.082895367963692e-28 7.716271954763213e-28 1.106716400128453e-25
0.022051307399030412 8.019937363913828e-29 8.01993740160767e-29 8.020314306812961e-29 8.057672294491576e-29 1.2198435031195695e-28 4.3806543246622167e-26
0.030538555088334123 2.30660904051742e-29 2.3066090605717647e-29 2.3068095880465526e-29 2.326702376658354e-29 4.6979956160748033e-29 3.896125245758874e-26
0.04229242874389499 1.007132777882323e-29 1.0071327942127541e-29 1.007296088069833e-29 1.0235204008027119e-29 3.1990433598104e-29 5.390995876156652e-26
0.058570208180566734 5.5340428409075534e-30 5.5340430096665055e-30 5.535730540154848e-30 5.703881453977926e-30 3.2726808683907187e-29 9.623063261644083e-26
0.08111308307896856 3.4499886865777656e-30 3.4499888858279746e-30 3.451981427222542e-30 3.651601053516996e-30 4.5228335511125586e-29 1.9947369972227895e-25
0.11233240329780265 2.303506471717462e-30 2.303506724944288e-30 2.3060393070252944e-30 2.5623592355164472e-30 7.763422895991489e-29 4.507695482892146e-25
0.15556761439304723 1.595784121646995e-30 1.595784456640823e-30 1.599135477516531e-30 1.944821913787999e-30 1.5459061121539555e-28 1.0652078621520461e-24
0.21544346900318778 1.127408073776558e-30 1.127408526594907e-30 1.1319399013896372e-30 1.6161377601887137e-30 3.3865784380895698e-28 2.549749899221875e-24
0.2983647240283334 8.04806997534161e-31 8.048076166781152e-31 8.110079478097376e-31 1.5166940000550767e-30 7.836609119594569e-28 6.005019883573442e-24
0.41320124001153347 5.776585729113389e-31 5.77659424621081e-31 5.862006926637023e-31 1.669109301076447e-30 1.8531500322478985e-27 1.3519372057459408e-23
0.572236765935022 4.158083507594609e-31 4.158095261365611e-31 4.276282252420935e-31 2.2081659858184727e-30 4.344817483564455e-27 2.840259197792403e-23
0.7924828983539153 2.9975459018919163e-31 2.9975621495409577e-31 3.1617719108020816e-31 3.501781610336058e-30 9.807037182825492e-27 5.525937641485613e-23
1.0974987654930546 2.1626133952651015e-31 2.162635874711018e-31 2.392039770828706e-31 6.470655916949433e-30 2.0797734906087226e-26 1.0146232784875633e-22
1.5199110829529332 1.5608815299671102e-31 1.56091264577045e-31 1.8842909845262382e-31 1.3389091307648547e-29 4.109297785118687e-26 1.833833472755834e-22
2.104904144512022 1.126818698515168e-31 1.1268617791315168e-31 1.5899498661063438e-31 2.982447481364793e-29 7.692220976099677e-26 3.4260863574933907e-22
2.91505306282517 8.135547290052846e-32 8.136143829354812e-32 1.495005593277085e-31 6.904926218670544e-29 1.4157859309556074e-25 6.853307591855841e-22
4.03701725859655 5.87414824731862e-32 5.87497433789769e-32 1.635065092223652e-31 1.6096361766224914e-28 2.6695627036327255e-25 1.4800976634841332e-21
