# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 3.0885428607661743e-39
3.2360111549336787e-07 3.015585963153433e-39
3.311463862505236e-07 2.9457152159010375e-39
3.388675869043115e-07 2.8794073381977515e-39
3.4676881953794695e-07 2.8170983882776007e-39
3.548542818811901e-07 2.7591704868510802e-39
3.6312826954049566e-07 2.705945267622265e-39
3.715951782811629e-07 2.6576828608400903e-39
3.8025950636269697e-07 2.614585061866461e-39
3.89125856928623e-07 2.5609234943412197e-39
3.9819894045202297e-07 2.4909644938743346e-39
4.0748357723809307e-07 2.424352069465642e-39
4.169846999850535e-07 2.3608135607743037e-39
4.2670735640476865e-07 2.3001244625939697e-39
4.3665671190447213e-07 2.2421120520502364e-39
4.4683805233101997e-07 2.1866560562127668e-39
4.572567867791303e-07 2.1336864614852335e-39
4.6791845046510194e-07 2.0831788355888332e-39
4.788287076675383e-07 2.035147737596666e-39
4.899933547366384e-07 1.9896389126689555e-39
5.014183231736547e-07 1.9467209988824228e-39
5.131096827821533e-07 1.906477420488209e-39
5.250736448927506e-07 1.868999023617569e-39
5.373165656630395e-07 1.83437785271327e-39
5.4984494945446e-07 1.802702296136443e-39
5.626654522879044e-07 1.7591748371507062e-39
5.757848853798981e-07 1.7130476075947234e-39
5.892102187612295e-07 1.6689654400244117e-39
6.029485849799565e-07 1.6268579416598206e-39
6.17007282890752e-07 1.5866783953034143e-39
6.313937815326057e-07 1.548401589817227e-39
6.461157240969403e-07 1.51202125519495e-39
6.611809319882495e-07 1.4775471329878477e-39
6.765974089794179e-07 1.4450017943179841e-39
6.923733454639272e-07 1.4144173685447863e-39
7.085171228072106e-07 1.3858323645630161e-39
7.250373177994646e-07 1.359288757098479e-39
7.419427072122865e-07 1.331643436743759e-39
7.592422724615558e-07 1.2972834297058768e-39
7.769452043790388e-07 1.2644910561081436e-39
7.950609080952509e-07 1.2332256448756012e-39
8.135990080361694e-07 1.2034628653092637e-39
8.325693530364543e-07 1.1751924421090145e-39
8.519820215718901e-07 1.148415805204101e-39
8.718473271138315e-07 1.1231437224702227e-39
8.921758236084957e-07 1.0993939873187711e-39
9.12978311084014e-07 1.077189243611895e-39
9.342658413882192e-07 1.055309179206484e-39
9.560497240602198e-07 1.0286200410213857e-39
9.78341532338879e-07 1.00318895177938e-39
1.0011531093113902e-06 9.789933665933513e-40
1.0244965742052174e-06 9.560219055907765e-40
1.048384328826741e-06 9.342724756979307e-40
1.0728290641500308e-06 9.13750415278194e-40
1.0978437670592484e-06 8.944667091413012e-40
1.1234417272482566e-06 8.764363276763721e-40
1.149636544281106e-06 8.54737568011439e-40
1.1764421348171486e-06 8.339778877451541e-40
1.2038727400046132e-06 8.142616016993584e-40
1.2319429330465773e-06 7.955830556313513e-40
1.2606676269433496e-06 7.779432547519984e-40
1.2900620824153782e-06 7.613483790139903e-40
1.3201419160108953e-06 7.444793083160873e-40
1.3509231084026028e-06 7.264787614459565e-40
1.38242201287781e-06 7.09392599753106e-40
1.4146553640265304e-06 6.932158735630515e-40
1.447640286632156e-06 6.779492138309538e-40
1.4813943047694329e-06 6.632313036413915e-40
1.5159353511145682e-06 6.473713067223513e-40
1.5512817764724183e-06 6.323331643447902e-40
1.587452359525819e-06 6.181139428820745e-40
1.6244663168122348e-06 6.045551651346311e-40
1.6623433129330315e-06 5.9030979142474255e-40
1.7011034710007933e-06 5.7682181469971075e-40
1.740767383330235e-06 5.639530777179002e-40
