# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_9
3.162277660168379e-07 1.1085138201559245e-29
3.2360111549336787e-07 1.2092227571058158e-29
3.311463862505236e-07 1.3187745613132026e-29
3.388675869043115e-07 1.4379032799977247e-29
3.4676881953794695e-07 1.567398110477824e-29
3.548542818811901e-07 1.7081067632513535e-29
3.6312826954049566e-07 1.8609389237264895e-29
3.715951782811629e-07 2.0268697994034025e-29
3.8025950636269697e-07 2.2069437366857519e-29
3.89125856928623e-07 2.4022778873958075e-29
3.9819894045202297e-07 2.6140659026723667e-29
4.0748357723809307e-07 2.8435816272486886e-29
4.169846999850535e-07 3.092182763210017e-29
4.2670735640476865e-07 3.361314467890434e-29
4.3665671190447213e-07 3.652512846518286e-29
4.4683805233101997e-07 3.9674082933096163e-29
4.572567867791303e-07 4.307728632869056e-29
4.6791845046510194e-07 4.675302005811469e-29
4.788287076675383e-07 5.072059437539609e-29
4.899933547366384e-07 5.500037026758293e-29
5.014183231736547e-07 5.96137767961374e-29
5.131096827821533e-07 6.4583323178131e-29
5.250736448927506e-07 6.993260477638516e-29
5.373165656630395e-07 7.56863021713709e-29
5.4984494945446e-07 8.187017244745356e-29
5.626654522879044e-07 8.851103177690555e-29
5.757848853798981e-07 9.563672842362328e-29
5.892102187612295e-07 1.0327610522019652e-28
6.029485849799565e-07 1.1145895064349283e-28
6.17007282890752e-07 1.2021593762554908e-28
6.313937815326057e-07 1.2957854924613865e-28
6.461157240969403e-07 1.3957899059936504e-28
6.611809319882495e-07 1.5025008615036842e-28
6.765974089794179e-07 1.6162516204955116e-28
6.923733454639272e-07 1.7373791295004539e-28
7.085171228072106e-07 1.8662225318836737e-28
7.250373177994646e-07 2.00312152150878e-28
7.419427072122865e-07 2.1484145408372515e-28
7.592422724615558e-07 2.3024368266721507e-28
7.769452043790388e-07 2.4655183108372596e-28
7.950609080952509e-07 2.6379813839210364e-28
8.135990080361694e-07 2.8201385359539934e-28
8.325693530364543e-07 3.0122898868260393e-28
8.519820215718901e-07 3.214720627343886e-28
8.718473271138315e-07 3.427698389364325e-28
8.921758236084957e-07 3.6514705711581766e-28
9.12978311084014e-07 3.886261644310134e-28
9.342658413882192e-07 4.132270469297908e-28
9.560497240602198e-07 4.389667656075343e-28
9.78341532338879e-07 4.658592995800605e-28
1.0011531093113902e-06 4.939153005402853e-28
1.0244965742052174e-06 5.231418614828288e-28
1.048384328826741e-06 5.53542303375052e-28
1.0728290641500308e-06 5.851159833892329e-28
1.0978437670592484e-06 6.17858127686005e-28
1.1234417272482566e-06 6.517596921531464e-28
1.149636544281106e-06 6.868072539368455e-28
1.1764421348171486e-06 7.229829362230795e-28
1.2038727400046132e-06 7.602643680380954e-28
1.2319429330465773e-06 7.9862468161881535e-28
1.2606676269433496e-06 8.380325474290385e-28
1.2900620824153782e-06 8.784522485171289e-28
1.3201419160108953e-06 9.19843793010708e-28
1.3509231084026028e-06 9.621630653620083e-28
1.38242201287781e-06 1.0053620147622114e-27
1.4146553640265304e-06 1.049388878453282e-27
1.447640286632156e-06 1.094188439148644e-27
1.4813943047694329e-06 1.1397023113403662e-27
1.5159353511145682e-06 1.1858692567755164e-27
1.5512817764724183e-06 1.2326255217964106e-27
1.587452359525819e-06 1.2799051952128017e-27
1.6244663168122348e-06 1.3276405814446244e-27
1.6623433129330315e-06 1.3757625844816241e-27
1.7011034710007933e-06 1.4242010995415561e-27
1.740767383330235e-06 1.4728854054668503e-27
1.7813561223783898e-06 1.5217445561441188e-27
1.8228912519398869e-06 1.5707077654636555e-27
1.8653948386032614e-06 1.6197047812256723e-27
1.908889463474389e-06 1.6686662467444313e-27
1.9533982341732686e-06 1.717524043123217e-27
1.9989447971105317e-06 1.766211613202465e-27
2.045553350050195e-06 1.8146642604069777e-27
2.0932486549653353e-06 1.862819425659774e-27
2.1420560511935146e-06 1.9106169341597116e-27
2.192001468898943e-06 1.957999218094527e-27
2.2431114428485372e-06 2.004911507093565e-27
2.2954131265091837e-06 2.0513019921651967e-27
2.3489343064737076e-06 2.097121959305364e-27
2.403703417223201e-06 2.1423258957784444e-27
2.4597495562335635e-06 2.1868715665783564e-27
2.5171024994342686e-06 2.2307200660829964e-27
2.575792717027583e-06 2.2738358428020234e-27
2.635851389676631e-06 2.3161867005559563e-27
2.6973104250709106e-06 2.357743776700068e-27
2.760202474878063e-06 2.3984815006213683e-27
2.8245609520908932e-06 2.4383775331740688e-27
2.8904200487788716e-06 2.4774126880028503e-27
2.9578147542535346e-06 2.5155708402888403e-27
3.026780873657441e-06 2.552838821031323e-27
3.097355046986562e-06 2.5892063001114693e-27
3.1695747685562034e-06 2.6246656619953794e-27
3.2434784069208122e-06 2.659211873230005e-27
3.319105225258239e-06 2.692842342644458e-27
3.3964954022292982e-06 2.7255567807214287e-27
3.4756900533236943e-06 2.7573570540363114e-27
3.5567312527036693e-06 2.7882470395580087e-27
3.6396620555569646e-06 2.818232477803257e-27
3.7245265209709786e-06 2.847320830672524e-27
3.811369735340273e-06 2.8755211359976936e-27
3.900237836319859e-06 2.902843869185056e-27
3.991178037336996e-06 2.9293008069153735e-27
4.0842386526745176e-06 2.9549048967872032e-27
4.179469123139017e-06 2.9796701287775558e-27
4.2769200423275275e-06 3.0036114155723247e-27
4.376643183506652e-06 3.0267444748556548e-27
4.478691527118417e-06 3.0490857214772296e-27
4.583119288927478e-06 3.0706521622902098e-27
4.689981948824612e-06 3.0914612970392395e-27
4.799336280301815e-06 3.1115310303008107e-27
4.911240380614659e-06 3.130879580994878e-27
5.0257537016479225e-06 3.1495254059752023e-27
5.142937081500915e-06 3.167487126336094e-27
5.262852776809252e-06 3.184783456475779e-27
5.385564495820272e-06 3.2014331439188825e-27
