# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
3.162277660168379e-07 1.2237682253072146e-38
3.2360111549336787e-07 1.2951868117372832e-38
3.311463862505236e-07 1.3715412623599198e-38
3.388675869043115e-07 1.4531739326222682e-38
3.4676881953794695e-07 1.5404517687153668e-38
3.548542818811901e-07 1.633768047237444e-38
3.6312826954049566e-07 1.733544240812167e-38
3.715951782811629e-07 1.8402320185303926e-38
3.8025950636269697e-07 1.8819744018183046e-38
3.89125856928623e-07 1.5648061005593495e-38
3.9819894045202297e-07 1.303946696238607e-38
4.0748357723809307e-07 1.091142839148811e-38
4.169846999850535e-07 9.182684079822923e-39
4.2670735640476865e-07 7.779955244837926e-39
4.3665671190447213e-07 6.640559374715176e-39
4.4683805233101997e-07 5.712621159976114e-39
4.572567867791303e-07 4.954091945079203e-39
4.6791845046510194e-07 4.3313186169126864e-39
4.788287076675383e-07 3.817561295030125e-39
4.899933547366384e-07 3.391646112962247e-39
5.014183231736547e-07 3.036819957078482e-39
5.131096827821533e-07 2.7398135374241422e-39
5.250736448927506e-07 2.490092377856879e-39
5.373165656630395e-07 2.279266324105548e-39
5.4984494945446e-07 2.1006277834032234e-39
5.626654522879044e-07 1.9487921573173496e-39
5.757848853798981e-07 1.8194182935621845e-39
5.892102187612295e-07 1.708991091509622e-39
6.029485849799565e-07 1.6146521784681244e-39
6.17007282890752e-07 1.534067701597411e-39
6.313937815326057e-07 1.4653247800952583e-39
6.461157240969403e-07 1.4068501194515513e-39
6.611809319882495e-07 1.357345802747607e-39
6.765974089794179e-07 1.3157384351572438e-39
6.923733454639272e-07 1.281138705198109e-39
7.085171228072106e-07 1.2528091032241863e-39
7.250373177994646e-07 1.230138053972219e-39
7.419427072122865e-07 1.212619114190595e-39
7.592422724615558e-07 1.199834187932427e-39
7.769452043790388e-07 1.1914399433446706e-39
7.950609080952509e-07 1.1871567926489738e-39
8.135990080361694e-07 1.1867599342648816e-39
8.325693530364543e-07 1.1900720623204653e-39
8.519820215718901e-07 1.1969574314213622e-39
8.718473271138315e-07 1.2073170290262485e-39
8.921758236084957e-07 1.2210846582923409e-39
9.12978311084014e-07 1.2382237739934735e-39
9.342658413882192e-07 1.2587249455052746e-39
9.560497240602198e-07 1.2826038457560176e-39
9.78341532338879e-07 1.3098996848855369e-39
1.0011531093113902e-06 1.340674023237808e-39
1.0244965742052174e-06 1.3429740100951933e-39
1.048384328826741e-06 1.3336083478946122e-39
1.0728290641500308e-06 1.320022565879664e-39
1.0978437670592484e-06 1.3018087503036409e-39
1.1234417272482566e-06 1.2788297944390103e-39
1.149636544281106e-06 1.2512346440912514e-39
1.1764421348171486e-06 1.2194431034119538e-39
1.2038727400046132e-06 1.1841016693708248e-39
1.2319429330465773e-06 1.146017870573204e-39
1.2606676269433496e-06 1.1060844197708439e-39
1.2900620824153782e-06 1.0652051516039738e-39
1.3201419160108953e-06 1.024232461622556e-39
1.3509231084026028e-06 9.83921991058812e-40
1.38242201287781e-06 9.44906086410081e-40
1.4146553640265304e-06 9.076842307662222e-40
1.447640286632156e-06 8.72626698300566e-40
1.4813943047694329e-06 8.399870675623306e-40
1.5159353511145682e-06 8.099195676537438e-40
1.5512817764724183e-06 7.824980750689008e-40
1.587452359525819e-06 7.577345606955721e-40
1.6244663168122348e-06 7.355956760092503e-40
1.6623433129330315e-06 7.1601686019837534e-40
1.7011034710007933e-06 6.989138278803971e-40
1.740767383330235e-06 6.841915887956028e-40
1.7813561223783898e-06 6.7175130198865475e-40
1.8228912519398869e-06 6.614953227579546e-40
1.8653948386032614e-06 6.53330798164918e-40
1.908889463474389e-06 6.4717213314608626e-40
1.9533982341732686e-06 6.351495385242555e-40
1.9989447971105317e-06 6.200089903488684e-40
2.045553350050195e-06 6.055932339759869e-40
2.0932486549653353e-06 5.917043883732322e-40
2.1420560511935146e-06 5.781879624174745e-40
2.192001468898943e-06 5.6493266200674945e-40
2.2431114428485372e-06 5.5186885510662296e-40
2.2954131265091837e-06 5.389654943620416e-40
2.3489343064737076e-06 5.262255401714979e-40
2.403703417223201e-06 5.1368015830121874e-40
2.4597495562335635e-06 5.013821410601736e-40
2.5171024994342686e-06 4.893990897402553e-40
2.575792717027583e-06 4.778068902126768e-40
2.635851389676631e-06 4.666839269031425e-40
2.6973104250709106e-06 4.5610634172334686e-40
2.760202474878063e-06 4.46144488033514e-40
2.8245609520908932e-06 4.368605853683107e-40
2.8904200487788716e-06 4.283074685219794e-40
2.9578147542535346e-06 4.2052825313576265e-40
3.026780873657441e-06 4.135567078677784e-40
3.097355046986562e-06 4.061727046684387e-40
3.1695747685562034e-06 3.9502834925056795e-40
3.2434784069208122e-06 3.8442163768968536e-40
3.319105225258239e-06 3.74308080394473e-40
3.3964954022292982e-06 3.6465058300688407e-40
3.4756900533236943e-06 3.5542011904182507e-40
3.5567312527036693e-06 3.4659593917425536e-40
3.6396620555569646e-06 3.3816532277476924e-40
3.7245265209709786e-06 3.301229214666513e-40
3.811369735340273e-06 3.224697792623393e-40
3.900237836319859e-06 3.1521213599605366e-40
3.991178037336996e-06 3.083601287470093e-40
4.0842386526745176e-06 3.019265003195856e-40
4.179469123139017e-06 2.9592540716874577e-40
4.2769200423275275e-06 2.9037139531996233e-40
4.376643183506652e-06 2.8527858616142686e-40
4.478691527118417e-06 2.7900452136116945e-40
4.583119288927478e-06 2.7166651016433292e-40
4.689981948824612e-06 2.6465360142800596e-40
4.799336280301815e-06 2.5795386025857635e-40
4.911240380614659e-06 2.5155914578827387e-40
5.0257537016479225e-06 2.4546478317843895e-40
5.142937081500915e-06 2.396691744006817e-40
5.262852776809252e-06 2.3417334920539665e-40
5.385564495820272e-06 2.2898047147308544e-40
5.511137432239651e-06 2.240953252651272e-40
5.639638299867211e-06 2.195238089674486e-40
5.771135368040315e-06 2.152724653355842e-40
5.905698497903673e-06 2.1124950022538196e-40
6.043399179524854e-06 2.057842707304636e-40
6.184310569875183e-06 2.0056768633008476e-40
6.32850753169624e-06 1.955927446244713e-40
6.47606667327258e-06 1.9085509164208295e-40
6.627066389131828e-06 1.863526658870907e-40
6.781586901693754e-06 1.8208533105162756e-40
6.939710303890459e-06 1.7805450384008114e-40
7.101520602780329e-06 1.7426278756160561e-40
7.267103764178904e-06 1.7071362427372422e-40
7.436547758330399e-06 1.6741097830868225e-40
7.609942606644117e-06 1.6322732434685666e-40
7.787380429520604e-06 1.5918225021542937e-40
7.968955495292936e-06 1.5533230219694138e-40
8.15476427030917e-06 1.516753437430919e-40
8.344905470182516e-06 1.4821076490608574e-40
8.539480112236516e-06 1.4493918994675438e-40
8.738591569173047e-06 1.418621940460253e-40
8.942345623991688e-06 1.389820374659883e-40
9.150850526189614e-06 1.357019736333948e-40
9.364217049271877e-06 1.3240085032376182e-40
9.58255854960264e-06 1.2926429247807198e-40
9.805991026628606e-06 1.2629116723636053e-40
1.0034633184506672e-05 1.2348144283652728e-40
1.0268606495168497e-05 1.2083595350392255e-40
1.0508035262855554e-05 1.1826554841292172e-40
1.07530466901589e-05 1.1540472593638934e-40
1.1003770945598772e-05 1.126880553020092e-40
1.1260341232779899e-05 1.1011456062132991e-40
1.1522893861159297e-05 1.0768418932461617e-40
1.1791568318464117e-05 1.0539761238317328e-40
1.206650734479802e-05 1.0290206758856744e-40
1.2347857008475478e-05 1.0051208707435048e-40
1.263576678362426e-05 9.82509464940347e-41
1.293038962959737e-05 9.611878523941155e-41
1.3231882072236462e-05 9.388749393047268e-41
1.3540404287030327e-05 9.174458431190109e-41
1.3856120184212054e-05 8.972062094392968e-41
1.4179197495840522e-05 8.766214851295852e-41
1.4509807864912299e-05 8.570142204467532e-41
1.484812693655133e-05 8.375881404678925e-41
1.5194334451324849e-05 8.187217731324769e-41
1.5548614340735104e-05 8.001671635735282e-41
1.5911154824937624e-05 7.824194916808022e-41
1.6282148512737936e-05 7.644647759498978e-41
1.6661792503919872e-05 7.474919356447528e-41
1.7050288493959805e-05 7.305805720681854e-41
1.7447842881182494e-05 7.139954981634673e-41
1.785466687641539e-05 6.98332217273709e-41
1.8270976615199758e-05 6.824420536633452e-41
1.869699327261814e-05 6.669609383553978e-41
1.91329431807992e-05 6.523385816642849e-41
1.957905794916243e-05 6.376540509637712e-41
2.003557458746648e-05 6.231400409816811e-41
2.0502735631726606e-05 6.094233819149547e-41
2.0980789273068064e-05 5.959320883108901e-41
2.1469989489583918e-05 5.823327282756169e-41
2.1970596181267336e-05 5.694739803637024e-41
2.2482875308090033e-05 5.569954907879523e-41
2.3007099031300245e-05 5.443151547872547e-41
2.354354585801526e-05 5.323250707053154e-41
2.4092500789185385e-05 5.206152788646028e-41
2.4654255471007912e-05 5.088922212673593e-41
2.5229108349871537e-05 4.978163531832539e-41
2.5817364830913554e-05 4.866864891538605e-41
2.641933744027406e-05 4.759732246399631e-41
2.7035345991133382e-05 4.654839350642113e-41
2.7665717753620915e-05 4.552561720906057e-41
2.8310787628685666e-05 4.452277670086324e-41
2.8970898326020842e-05 4.3548876781162594e-41
2.964640054613707e-05 4.259555148390983e-41
3.033765316668089e-05 4.1664435806652496e-41
3.104502343309761e-05 4.0755559966618955e-41
3.176888715373972e-05 3.98734089552271e-41
3.25096288995246e-05 3.900340804648782e-41
3.326764220824756e-05 3.8157930635874036e-41
3.4043329793658724e-05 3.733834624906207e-41
3.483710375941493e-05 3.6527574602552223e-41
3.5649385818020195e-05 3.575236497494671e-41
3.648060751487119e-05 3.497643390503592e-41
3.73312104575266e-05 3.4236829421781624e-41
3.820164655032238e-05 3.3500858017179335e-41
3.90923782344573e-05 3.2792407323035396e-41
4.0003878733676586e-05 3.209881252489214e-41
4.093663230568398e-05 3.141986858076905e-41
4.1891134499415887e-05 3.0761699158968636e-41
4.2867892418314344e-05 3.0119165691646443e-41
4.386742498973848e-05 2.9490910833424086e-41
4.489026324065786e-05 2.887928907791533e-41
4.5936950579773975e-05 2.8282780659063287e-41
4.700804308621986e-05 2.770138959323337e-41
4.8104109804991236e-05 2.713548619610492e-41
4.922573304926602e-05 2.658542419350108e-41
5.0373508709772956e-05 2.604761680868315e-41
5.154804657137365e-05 2.552246752778696e-41
5.27499706370262e-05 2.5012760552292977e-41
5.397991945930254e-05 2.4517555008787807e-41
5.5238546479635675e-05 2.403539652040814e-41
5.6526520375476976e-05 2.356523900352863e-41
5.784452541554797e-05 2.310702545337785e-41
5.9193261823375433e-05 2.2662189415694554e-41
6.057344614930286e-05 2.2229809839639035e-41
6.198581165117595e-05 2.1808574928629994e-41
6.34311086839044e-05 2.1399848115579957e-41
6.491010509810695e-05 2.1002822736998121e-41
6.642358664805138e-05 2.06172436870196e-41
6.797235740910648e-05 2.024300265224179e-41
6.955724020492732e-05 1.9879980668385666e-41
7.117907704460117e-05 1.9528148569936132e-41
7.283872956998614e-05 1.918657596877643e-41
7.453707951348025e-05 1.8855853766154224e-41
7.627502916646401e-05 1.853570550985027e-41
7.805350185866558e-05 1.8225442455441216e-41
7.987344244870308e-05 1.792578843437558e-41
8.173581782606456e-05 1.763656617842093e-41
8.364161742479263e-05 1.7356923101401465e-41
8.559185374914618e-05 1.708692794766919e-41
8.758756291151902e-05 1.6827248625608067e-41
8.96298051829007e-05 1.6577055645002885e-41
9.17196655561724e-05 1.6336459940053857e-41
9.385825432253677e-05 1.6105777010962237e-41
9.604670766138824e-05 1.5884081287525537e-41
9.828618824393714e-05 1.5672486255929517e-41
0.00010057788585090809 1.5469739663797883e-41
0.00010292301800464121 1.5276737675268832e-41
0.00010532283061593165 1.509311879798931e-41
0.00010777859864595113 1.4918878489562245e-41
0.00011029162678360347 1.4754057038362692e-41
0.00011286325013867351 1.4598667263997238e-41
0.00011549483495113791 1.4452783630427112e-41
0.00011818777931701482 1.4316405208152243e-41
0.0001209435139311377 1.4189652879103846e-41
0.00012376350284724815 1.407243191845489e-41
0.00012664924425581149 1.3965058493614553e-41
0.00012960227127996844 1.3867611313387996e-41
0.00013262415279004548 1.3780192867679417e-41
0.00013571649423705693 1.370296090161897e-41
0.0001388809385056415 1.3636088912365822e-41
0.00014211916678688624 1.3579791558847976e-41
0.00014543289947150178 1.353422247595567e-41
0.0001488238970638237 1.3499606633199556e-41
0.00015229396111712465 1.3476264944301741e-41
0.00015584493519073535 1.3464462232225413e-41
0.00015947870582948208 1.346453878527295e-41
0.00016319720356596128 1.3476892469153576e-41
0.00016700240394618395 1.3501861005179325e-41
0.00017089632857913436 1.3539762816612177e-41
0.000174881046210801 1.3591221470229076e-41
0.00017895867382325032 1.3656606763274035e-41
0.0001831313777593269 1.3736504186377408e-41
0.00018740137487357792 1.383145027894157e-41
0.00019177093371001327 1.3942090473731931e-41
0.000196242375707327 1.4069064008928856e-41
0.00020081807643222024 1.4213042470135207e-41
0.00020550046684148122 1.4374838773081118e-41
0.0002102920345734925 1.455524475578604e-41
0.0002151953252698519 1.4755113997709528e-41
0.00022021294392780895 1.4975369810626222e-41
0.00022534755628423554 1.5216995627917845e-41
0.0002306018902318662 1.5481033812890292e-41
0.00023597873726856003 1.5768590227655375e-41
0.0002414809539803547 1.6080845190459737e-41
0.0002471114635590999 1.6419043049235807e-41
0.00025287325735547713 1.6784505787752342e-41
0.00025876939646823026 1.7178638881077172e-41
0.00026480301337045197 1.760292619756673e-41
0.000270977313573789 1.8058940974009047e-41
0.00027729557733145163 1.8548349174316678e-41
0.00028376116138093086 1.9072919613803963e-41
0.0002903775007273506 1.9634532222524309e-41
0.00029714811046840066 2.0235132315893112e-41
0.00030407658766182135 2.0876864556746215e-41
0.00031116661323643183 2.1561971536498606e-41
0.0003184219539477161 2.2292814369164054e-41
0.00032584646437900766 2.3071962333793324e-41
0.00033344408898933415 2.390210811187877e-41
0.0003412188642090111 2.478609343558314e-41
0.0003491749205840977 2.572701376142951e-41
0.0003573164849708539 2.6728108634297777e-41
0.0003656478827813646 2.779283971698685e-41
0.0003741735402815245 2.892487647785205e-41
0.0003828979869426037 3.012811325746215e-41
0.000391825857847644 3.14066749950433e-41
0.000400961896153964 3.2764928568130206e-41
0.0004103109556130814 3.420749916056578e-41
0.0004198780031493915 3.5739280526634266e-41
0.00042966812149897106 3.7365465813235246e-41
0.000439686511909911 3.9091553947738964e-41
0.0004499384969056106 4.09233975992173e-41
0.00046042952311250296 4.2867263133025127e-41
0.0004711651641537129 4.4929801017176077e-41
0.00048215112361018567 4.711814883064613e-41
0.0004933932380508582 4.943995172770159e-41
0.0005048974801334842 5.190337093708937e-41
0.0005166699617777604 5.451716896993178e-41
0.0005287169374124361 5.729067468723274e-41
0.0005410448072981404 6.023383058780122e-41
0.0005536601209276797 6.335721001831388e-41
0.0005665695805056229 6.667204055364631e-41
0.0005797800445090163 7.019024962910033e-41
0.0005932985313311235 7.392447049312874e-41
0.000607132223010125 7.788819813961638e-41
0.0006212884690447563 8.209584032035264e-41
0.0006357747902989163 8.656273518627083e-41
0.0006505988829973161 9.130542364682558e-41
0.0006657686228142928 9.634155008936271e-41
0.0006812920690579615 1.016899880430179e-40
0.0006971774689519261 1.0737089440262026e-40
0.0007134332620168255 1.1340572041100453e-40
0.0007300680845540431 1.198172758675706e-40
0.0007470907742339592 1.2662980058342664e-40
0.0007645103747911887 1.338691618577656e-40
0.0007823361408292924 1.4156296098869643e-40
0.00080057754273752 1.4974080391616848e-40
0.0008192442717221943 1.5843436287995434e-40
0.0008383462449554094 1.6767757877705107e-40
0.0008578936108437789 1.7750669126801141e-40
0.0008778967544200344 1.879603160128919e-40
0.000898366302860337 1.990795804687971e-40
0.0009193131311302326 2.1090836472389822e-40
0.0009407483677622533 2.2349354299297153e-40
0.000962683400768232 2.368853725738921e-40
0.000985129883689471 2.511376932862943e-40
0.0010080997417879817 2.663081002740592e-40
0.0010316051783820807 2.824581011288762e-40
0.0010556586813297128 2.996533050835064e-40
0.0010802730296629402 3.1796377563627866e-40
0.001105461300377127 3.3746447680440147e-40
0.0011312368753784248 3.5823574563411138e-40
0.0011576134485932472 3.8036363763094515e-40
0.0011846050332435167 4.039401667903223e-40
0.0012122259692915415 4.2906359903930445e-40
0.0012404909310584848 4.558389736993516e-40
0.0012694149350204683 4.843786706589031e-40
0.0012990133477864558 5.148032426094427e-40
0.0013293018942621524 5.472417072362453e-40
0.001360296666004259 5.818320175069211e-40
0.001392014129769518 6.1872159738819e-40
0.0014244711362630968 6.580683180290768e-40
0.0014576849290909482 7.000413393142787e-40
0.0014916731539209149 7.448218668362706e-40
0.0015264538678574353 7.92603663731563e-40
0.0015620455490348386 8.435939146431711e-40
0.0015984671064343198 8.980146660467275e-40
0.0016357378899298156 9.561038486647332e-40
0.0016738777005681136 1.01811612556177e-39
0.0017129068010886602 1.0843237975029016e-39
0.0017528459266886532 1.155018547334583e-39
0.00179371629603914 1.2305130790400952e-39
0.0018355396225579732 1.3111420673934527e-39
0.0018783381259456144 1.397263450865387e-39
0.0019221345439899109 1.48926085625819e-39
0.001966952144646121 1.5875453846875115e-39
0.0020128147383986056 1.69255686303972e-39
0.002059746690910748 1.8047661716987223e-39
0.0021077729359698315 1.924678067001159e-39
0.0021569189887337423 2.052832962434675e-39
0.002207210959286545 2.189809226359293e-39
0.0022586755665101248 2.3362267643896385e-39
0.0023113401522792685 2.4927494599048654e-39
0.0023652326959877285 2.6600878866484254e-39
0.0024203818294129824 2.8390036191161952e-39
0.0024768168519275916 3.0303122208769654e-39
0.002534567746065232 3.234886836335683e-39
0.0025936651934496745 3.453663299865796e-39
0.0026541405910951734 3.687643537198214e-39
0.0027160260680869266 3.937900782941557e-39
0.0027793545026504624 4.205584983502222e-39
0.002844159539619031 4.49192731904157e-39
0.0029104756083082714 4.798247221458698e-39
0.0029783379408076585 5.1259575744643945e-39
0.0030477825906984404 5.476572116642222e-39
0.0031188464522080173 5.851712404405104e-39
0.0031915672798109355 6.253115309037641e-39
0.0032659837082868936 6.682641790443747e-39
0.003342135273246469 7.142285005613022e-39
0.0034200624321353945 7.634180640645408e-39
0.0034998065857286074 8.160616180602087e-39
0.0035814101001254554 8.724042615503572e-39
0.003664916329257761 9.327085362426619e-39
0.0037503696379226933 9.972557366875285e-39
0.0038378154253526898 1.0663472070555339e-38
0.003927300149334948 1.1403057907276129e-38
0.004018871350893299 1.2194773850657372e-38
0.00411257767954558 1.3042325383569082e-38
0.004208468919149921 1.3949682872286337e-38
0.004306596014353682 1.4921099778819103e-38
0.004407011097659079 1.5961133322201058e-38
0.004509767517119906 1.707466624702341e-38
0.004614919864684026 1.8266929707278572e-38
0.004722524005196735 1.9543528562744852e-38
0.004832637106080367 2.091046805496332e-38
0.004945317667705937 2.2374182205273942e-38
0.005060625554472947 2.394156466765154e-38
0.005178622026613854 2.5620001691918716e-38
0.005299369772740128 2.741740722771851e-38
0.005422932943147155 2.93422606440362e-38
0.0055493771838957115 3.1403647259586843e-38
0.00567876967168809 3.361130169342131e-38
0.005811179149557424 3.5975654310207046e-38
0.0059466759633891655 3.8507880948514326e-38
0.006085332099294114 4.121995627741954e-38
0.006227221221852859 4.412471096120267e-38
0.006372418713251954 4.723589291731189e-38
0.006521001713332612 5.056823295772947e-38
0.006673049160573193 5.413751510549597e-38
0.006828641834027273 5.79606519488653e-38
0.006987862396239558 6.205576539680563e-38
0.00715079543716245 6.644227320851139e-38
0.007317527519096606 7.114098174244896e-38
0.007488147222679345 7.617418533574409e-38
0.007662745193945353 8.156577279267112e-38
0.007841414192484688 8.734134147519135e-38
0.008024249140723652 9.352831955669852e-38
0.008211347174354735 1.0015609704063013e-37
0.008402807693942412 1.0725616620549173e-37
0.008598732417732204 1.1486227209291166e-37
0.008799225435691074 1.2301057368184496e-37
0.009004393264807849 1.3173981660485515e-37
0.009214344905683071 1.4109151840061273e-37
0.009429191900438323 1.511101668453362e-37
0.009649048391975805 1.6184343244415054e-37
0.009874031184619632 1.7334239650163847e-37
0.010104259806171096 1.856617949413707e-37
0.01033985657141083 1.9886028012121463e-37
0.010580946647081629 2.130007009453731e-37
0.010827658118386449 2.281504035061943e-37
0.011080122057036918 2.443815527172314e-37
0.011338472590888495 2.61771477457666e-37
0.01160284697519928 2.8040304003865855e-37
0.01187338566555036 3.0036503233150183e-37
0.012150232392466372 3.217526003085427e-37
0.012433534237775993 3.446676987678996e-37
0.01272344171275288 3.6921957871038777e-37
0.013020108838078586 3.955253096675273e-37
0.013323693225669961 4.237103393805181e-37
0.013634356162414448 4.539090934822057e-37
0.013952262695857842 4.862656181853821e-37
0.014277581721889965 5.2093426899854315e-37
0.014610486074474885 5.580804486640745e-37
0.014951152617473332 5.978813979605735e-37
0.015299762338606094 6.405270431630768e-37
0.015656500445608335 6.862209041025495e-37
0.016021556464625875 7.351810672958635e-37
0.016395124340905766 7.87641228725221e-37
0.016777402541834602 8.438518111831496e-37
0.017168594162379338 9.040811618035669e-37
0.01756890703298664 9.68616835078419e-37
0.017978553829998065 1.037766967989262e-36
0.01839775218863974 1.1118617533266593e-36
0.01882672481864659 1.1912550186895216e-36
0.01926569962258253 1.2763259184197567e-36
0.019714909816919448 1.3674807467180129e-36
0.020174594055939365 1.4651548804989103e-36
0.02064499655852557 1.569814861392583e-36
0.021126367237910063 1.681960626807842e-36
0.021618961834446313 1.8021279006497808e-36
0.02212304205147776 1.9308907552839917e-36
0.022638875694374342 2.0688643568225146e-36
0.0231667368128109 2.2167079070848696e-36
0.02370690584636297 2.3751277959569136e-36
0.024259669773497434 2.5448809797138773e-36
0.024825322264037063 2.7267786009198707e-36
0.025404163835180054 2.9216898677567933e-36
0.025996502011157406 3.130546210819816e-36
0.026602651486612925 3.3543457377124584e-36
0.027222934293792744 3.5941580064383404e-36
0.027857679973633073 3.851129140580001e-36
0.02850722575083718 4.1264873106629734e-36
0.02917191671303455 4.421548607946798e-36
0.029852105994117403 4.737723338739326e-36
0.030548154961852016 5.076522769298411e-36
0.031260433409864494 5.439566353711221e-36
0.031989319754103004 5.8285894790969996e-36
0.0327352012338808 6.245451765413184e-36
0.03349847411760691 6.692145959426203e-36
0.034279543913313774 7.170807465413155e-36
0.03507882558409363 7.683724558191294e-36
0.03589674376855814 8.233349327319132e-36
0.03673373300643846 8.822309404841366e-36
0.037590237969445384 9.453420532630287e-36
0.038466713697512506 1.0129700029412565e-35
0.03936362584054766 1.0854381222012103e-35
0.04028145090582124 1.1630928909694407e-35
0.04122067651112274 1.2463055935651562e-35
0.04218180164382002 1.3354740944888448e-35
0.043165336925959 1.431024741341507e-35
0.044171804885544536 1.5334144039804335e-35
0.04520174023414663 1.6431326596605874e-35
0.046255690150979495 1.7607041346151616e-35
0.047334214573604344 1.8866910132741833e-35
0.048437886495410414 2.021695727125423e-35
0.04956729227003216 2.1663638360746307e-35
0.05072303192286451 2.3213871160882166e-35
0.051905719469841495 2.4875068678849847e-35
0.05311598324364777 2.665517462506938e-35
0.05435446622753626 2.856270140722609e-35
0.05562182639692926 3.0606770844343087e-35
0.056918737068984544 3.2797157795669543e-35
0.058245887260312136 3.514433691304185e-35
0.05960398205303182 3.7659532740313743e-35
0.06099374296936585 4.0354773399491476e-35
0.06241590835496589 4.324294812034194e-35
0.06387123377117784 4.6337868888600194e-35
0.06536049239645289 4.965433650774343e-35
0.06688447543711816 5.3208211390136e-35
0.06844399254772507 5.7016489416068e-35
0.0700398722611988 6.109738322522452e-35
0.0716729624290174 6.547040932489773e-35
0.07334413067165428 7.015648143274738e-35
0.07505426483952363 7.517801051273657e-35
0.07680427348467332 8.055901196219347e-35
0.07859508634347626 8.63252204699995e-35
0.08042765483057629 9.250421311012365e-35
0.08230295254435131 9.912554124079268e-35
0.08422197578416211 1.062208718381508e-34
0.08618574407966152 1.1382413896267544e-34
0.08819530073244539 1.2197170606372212e-34
0.09025171337033296 1.3070253989337887e-34
0.09235607451457113 1.4005839688788422e-34
0.09450950216026408 1.5008402287917268e-34
0.09671314037033632 1.6082736711180703e-34
0.09896815988334524 1.7233981157119312e-34
0.10127575873546546 1.846764167409169e-34
0.10363716289697593 1.978961849484371e-34
0.10605362692358762 2.1206234255685464e-34
0.10852643462295801 2.272426423698208e-34
0.11105689973674641 2.435096876744057e-34
0.11364636663857243 2.609412795048487e-34
0.11629621104824843 2.7962078872420772e-34
0.1190078407626656 2.996375547749624e-34
0.12178269640372161 3.210873129698837e-34
0.12462225218368743 3.440726523683232e-34
0.1275280166884199 3.6870350642500897e-34
0.13050153367883624 3.9509767876659905e-34
0.1335443829110759 4.233814066228973e-34
0.13665818097578622 4.536899645582326e-34
0.13984458215697693 4.861683114532341e-34
0.14310527931090045 5.209717837730891e-34
0.14644200476542463 5.58266838476463e-34
0.14985653124037576 5.9823184910793695e-34
0.15335067278934078 6.410579588987143e-34
0.1569262857634292 6.869499948958918e-34
0.1605852697975066 7.3612744748738795e-34
0.16432956881942368 7.888255202085133e-34
0.16816117208277714 8.452962545020215e-34
0.172082115223751 9.058097350811754e-34
0.1760944813425998 9.706553816242553e-34
0.1802004021103484 1.0401433328082809e-33
0.18440205890129596 1.1146059294872347e-33
0.18870168395192646 1.1943993040345928e-33
0.1931015615468407 1.2799050834412666e-33
0.1976040292323402 1.3715322143110107e-33
0.20221147905830805 1.4697189184210992e-33
0.20692635884904578 1.574934788348263e-33
0.21175117350374192 1.6876830331131643e-33
0.2166884863272632 1.808502884463777e-33
0.22174092039197504 1.937972175281981e-33
0.22691115993131514 2.0767101029836384e-33
0.23220195176586036 2.2253801899203242e-33
0.2376161067626448 2.3846934566384163e-33
0.24315650132850383 2.5554118213157994e-33
0.24882607893823822 2.738351743110534e-33
0.25462785169840935 2.934388125905358e-33
0.2605649019475973 3.144458501813165e-33
0.26664038389397104 3.369567513401044e-33
0.27285752529104135 3.6107917176777144e-33
0.2792196291524867 3.8692847325119797e-33
0.2857300755069626 4.146282752875793e-33
0.2923923231938275 4.4431104605690536e-33
0.2992099117007387 4.7611873573267385e-33
0.3061864630440946 5.102034551212084e-33
0.31332568369332287 5.467282028391012e-33
0.32063136654003577 5.858676445181439e-33
