# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2 MeV4, datatype: float64}
# schema: astropy-2.0
mx sigma
3.162277660168379e-07 2.1729389185081396e-39
3.2360111549336787e-07 2.1729392866075493e-39
3.311463862505236e-07 2.172939672072761e-39
3.388675869043115e-07 2.1729400757230552e-39
3.4676881953794695e-07 2.1729404984163377e-39
3.548542818811901e-07 2.172940941051011e-39
3.6312826954049566e-07 2.1729414045678448e-39
3.715951782811629e-07 2.1729418899520104e-39
3.8025950636269697e-07 2.172942398235141e-39
3.89125856928623e-07 2.1729429304975416e-39
3.9819894045202297e-07 2.172943487870502e-39
4.0748357723809307e-07 2.1729440715386467e-39
4.169846999850535e-07 2.1729446827425243e-39
4.2670735640476865e-07 2.172945322781183e-39
4.3665671190447213e-07 2.172945993014986e-39
4.4683805233101997e-07 2.1729466948684384e-39
4.572567867791303e-07 2.172947429833283e-39
4.6791845046510194e-07 2.1729481994716268e-39
4.788287076675383e-07 2.172949005419276e-39
4.899933547366384e-07 2.1729498493892008e-39
5.014183231736547e-07 2.1729507331751854e-39
5.131096827821533e-07 2.172951658655668e-39
5.250736448927506e-07 2.172952627797682e-39
5.373165656630395e-07 2.1729536426610724e-39
5.4984494945446e-07 2.1729547054028482e-39
5.626654522879044e-07 2.1729558182818057e-39
5.757848853798981e-07 2.1729569836632965e-39
5.892102187612295e-07 2.1729582040242676e-39
6.029485849799565e-07 2.172959481958516e-39
6.17007282890752e-07 2.1729608201822212e-39
6.313937815326057e-07 2.172962221539698e-39
6.461157240969403e-07 2.172963689009468e-39
6.611809319882495e-07 2.1729652257105676e-39
6.765974089794179e-07 2.172966834909167e-39
6.923733454639272e-07 2.1729685200255713e-39
7.085171228072106e-07 2.1729702846414122e-39
7.250373177994646e-07 2.1729721325073335e-39
7.419427072122865e-07 2.172974067550909e-39
7.592422724615558e-07 2.1729760938850127e-39
7.769452043790388e-07 2.172978215816587e-39
7.950609080952509e-07 2.1729804378557522e-39
8.135990080361694e-07 2.1729827647254095e-39
8.325693530364543e-07 2.17298520137131e-39
8.519820215718901e-07 2.1729877529725343e-39
8.718473271138315e-07 2.172990424952504e-39
8.921758236084957e-07 2.1729932229905422e-39
9.12978311084014e-07 2.1729961530339033e-39
9.342658413882192e-07 2.1729992213104517e-39
9.560497240602198e-07 2.1730024343418898e-39
9.78341532338879e-07 2.1730057989576107e-39
1.0011531093113902e-06 2.173009322309229e-39
1.0244965742052174e-06 2.1730130118858044e-39
1.048384328826741e-06 2.173016875529719e-39
1.0728290641500308e-06 2.1730209214533854e-39
1.0978437670592484e-06 2.1730251582567087e-39
1.1234417272482566e-06 2.1730295949453265e-39
1.149636544281106e-06 2.1730342409498215e-39
1.1764421348171486e-06 2.17303910614573e-39
1.2038727400046132e-06 2.173044200874543e-39
1.2319429330465773e-06 2.1730495359657142e-39
1.2606676269433496e-06 2.173055122759667e-39
1.2900620824153782e-06 2.173060973131917e-39
1.3201419160108953e-06 2.173067099518321e-39
1.3509231084026028e-06 2.1730735149415347e-39
1.38242201287781e-06 2.173080233038686e-39
1.4146553640265304e-06 2.1730872680903828e-39
1.447640286632156e-06 2.1730946350510887e-39
1.4813943047694329e-06 2.173102349580918e-39
1.5159353511145682e-06 2.173110428078946e-39
1.5512817764724183e-06 2.1731188877180798e-39
1.587452359525819e-06 2.1731277464816018e-39
1.6244663168122348e-06 2.1731370232013826e-39
1.6623433129330315e-06 2.1731467375979848e-39
1.7011034710007933e-06 2.1731569103225593e-39
1.740767383330235e-06 2.1731675630008195e-39
1.7813561223783898e-06 2.1731787182790113e-39
1.8228912519398869e-06 2.1731903998721126e-39
1.8653948386032614e-06 2.1732026326142695e-39
1.908889463474389e-06 2.1732154425116408e-39
1.9533982341732686e-06 2.1732288567977257e-39
1.9989447971105317e-06 2.1732429039913077e-39
2.045553350050195e-06 2.1732576139571535e-39
2.0932486549653353e-06 2.1732730179695323e-39
2.1420560511935146e-06 2.1732891487788122e-39
2.192001468898943e-06 2.1733060406811262e-39
2.2431114428485372e-06 2.173323729591382e-39
2.2954131265091837e-06 2.1733422531196973e-39
2.3489343064737076e-06 2.17336165065148e-39
2.403703417223201e-06 2.1733819634312354e-39
2.4597495562335635e-06 2.173403234650417e-39
2.5171024994342686e-06 2.173425509539346e-39
2.575792717027583e-06 2.1734488354635504e-39
2.635851389676631e-06 2.173473262024613e-39
2.6973104250709106e-06 2.1734988411658073e-39
2.760202474878063e-06 2.1735256272827436e-39
2.8245609520908932e-06 2.1735536773392232e-39
2.8904200487788716e-06 2.173583050988589e-39
2.9578147542535346e-06 2.17361381070083e-39
3.026780873657441e-06 2.1736460218956925e-39
3.097355046986562e-06 2.173679753082074e-39
3.1695747685562034e-06 2.1737150760040625e-39
3.2434784069208122e-06 2.1737520657938413e-39
3.319105225258239e-06 2.1737908011318814e-39
3.3964954022292982e-06 2.173831364414705e-39
3.4756900533236943e-06 2.1738738419305666e-39
3.5567312527036693e-06 2.173918324043535e-39
3.6396620555569646e-06 2.173964905386232e-39
3.7245265209709786e-06 2.1740136850617414e-39
3.811369735340273e-06 2.1740647668550974e-39
3.900237836319859e-06 2.1741182594547947e-39
3.991178037336996e-06 2.174174276684813e-39
4.0842386526745176e-06 2.174232937747662e-39
4.179469123139017e-06 2.1742943674789633e-39
4.2769200423275275e-06 2.174358696614114e-39
4.376643183506652e-06 2.1744260620676232e-39
4.478691527118417e-06 2.174496607225749e-39
4.583119288927478e-06 2.1745704822530033e-39
4.689981948824612e-06 2.1746478444132687e-39
4.799336280301815e-06 2.1747288584061814e-39
4.911240380614659e-06 2.174813696719521e-39
5.0257537016479225e-06 2.1749025399983883e-39
5.142937081500915e-06 2.1749955774319546e-39
5.262852776809252e-06 2.1750930071586536e-39
5.385564495820272e-06 2.1751950366907067e-39
5.511137432239651e-06 2.175301883358852e-39
5.639638299867211e-06 2.1754137747783572e-39
5.771135368040315e-06 2.175530949337252e-39
5.905698497903673e-06 2.1756536567078813e-39
6.043399179524854e-06 2.1757821583829438e-39
6.184310569875183e-06 2.1759167282371604e-39
6.32850753169624e-06 2.1760576531158048e-39
6.47606667327258e-06 2.1762052334514818e-39
6.627066389131828e-06 2.176359783910398e-39
6.781586901693754e-06 2.176521634069707e-39
6.939710303890459e-06 2.176691129127306e-39
7.101520602780329e-06 2.176868630645783e-39
7.267103764178904e-06 2.177054517332114e-39
7.436547758330399e-06 2.1772491858548823e-39
7.609942606644117e-06 2.1774530517008886e-39
7.787380429520604e-06 2.1776665500730327e-39
7.968955495292936e-06 2.1778901368315553e-39
8.15476427030917e-06 2.1781242894807387e-39
8.344905470182516e-06 2.1783695082033665e-39
8.539480112236516e-06 2.178626316945218e-39
8.738591569173047e-06 2.178895264552212e-39
8.942345623991688e-06 2.179176925962685e-39
9.150850526189614e-06 2.1794719034576555e-39
9.364217049271877e-06 2.179780827971931e-39
9.58255854960264e-06 2.1801043604691094e-39
9.805991026628606e-06 2.1804431933837005e-39
1.0034633184506672e-05 2.180798052133733e-39
1.0268606495168497e-05 2.1811696967074478e-39
1.0508035262855554e-05 2.1815589233277778e-39
1.07530466901589e-05 2.1819665661986226e-39
1.1003770945598772e-05 2.1823934993370733e-39
1.1260341232779899e-05 2.1828406384959578e-39
1.1522893861159297e-05 2.183308943181414e-39
1.1791568318464117e-05 2.1837994187703113e-39
1.206650734479802e-05 2.1843131187327583e-39
1.2347857008475478e-05 2.1848511469650876e-39
1.263576678362426e-05 2.1854146602391488e-39
1.293038962959737e-05 2.186004870773917e-39
1.3231882072236462e-05 2.1866230489359408e-39
1.3540404287030327e-05 2.1872705260753498e-39
1.3856120184212054e-05 2.1879486975046453e-39
1.4179197495840522e-05 2.1886590256279196e-39
1.4509807864912299e-05 2.1894030432284774e-39
1.484812693655133e-05 2.190182356923455e-39
1.5194334451324849e-05 2.1909986507944236e-39
1.5548614340735104e-05 2.191853690203581e-39
1.5911154824937624e-05 2.1927493258056456e-39
1.6282148512737936e-05 2.1936874977661938e-39
1.6661792503919872e-05 2.1946702401979163e-39
1.7050288493959805e-05 2.1956996858268534e-39
1.7447842881182494e-05 2.196778070901462e-39
1.785466687641539e-05 2.197907740358257e-39
1.8270976615199758e-05 2.199091153258456e-39
1.869699327261814e-05 2.200330888511167e-39
1.91329431807992e-05 2.2016296508994884e-39
1.957905794916243e-05 2.2029902774270898e-39
2.003557458746648e-05 2.204415744003848e-39
2.0502735631726606e-05 2.205909172490441e-39
2.0980789273068064e-05 2.2074738381230904e-39
2.1469989489583918e-05 2.2091131773410332e-39
2.1970596181267336e-05 2.2108307960408235e-39
2.2482875308090033e-05 2.2126304782832813e-39
2.3007099031300245e-05 2.2145161954805523e-39
2.354354585801526e-05 2.216492116092776e-39
2.4092500789185385e-05 2.218562615865796e-39
2.4654255471007912e-05 2.2207322886436695e-39
2.5229108349871537e-05 2.2230059577920582e-39
2.5817364830913554e-05 2.2253886882711973e-39
2.641933744027406e-05 2.227885799399935e-39
2.7035345991133382e-05 2.230502878355409e-39
2.7665717753620915e-05 2.2332457944560927e-39
2.8310787628685666e-05 2.2361207142796354e-39
2.8970898326020842e-05 2.2391341176706532e-39
2.964640054613707e-05 2.2422928146978967e-39
3.033765316668089e-05 2.2456039636246423e-39
3.104502343309761e-05 2.2490750899611753e-39
3.176888715373972e-05 2.2527141066734912e-39
3.25096288995246e-05 2.2565293356281865e-39
3.326764220824756e-05 2.2605295303597818e-39
3.4043329793658724e-05 2.264723900253599e-39
3.483710375941493e-05 2.2691221362447593e-39
3.5649385818020195e-05 2.2737344381420214e-39
3.648060751487119e-05 2.278571543693982e-39
3.73312104575266e-05 2.2836447595248476e-39
3.820164655032238e-05 2.288965994077484e-39
3.90923782344573e-05 2.2945477927129267e-39
4.0003878733676586e-05 2.3004033751280417e-39
4.093663230568398e-05 2.3065466752667276e-39
4.1891134499415887e-05 2.3129923839149272e-39
4.2867892418314344e-05 2.3197559941860957e-39
4.386742498973848e-05 2.3268538501215626e-39
4.489026324065786e-05 2.3343031986497356e-39
4.5936950579773975e-05 2.3421222451694792e-39
4.700804308621986e-05 2.350330213046299e-39
4.8104109804991236e-05 2.3589474073355846e-39
4.922573304926602e-05 2.3679952830751522e-39
5.0373508709772956e-05 2.3774965185200286e-39
5.154804657137365e-05 2.3874750937260518e-39
5.27499706370262e-05 2.3979563749257158e-39
5.397991945930254e-05 2.4089672051801887e-39
5.5238546479635675e-05 2.4205360018356842e-39
5.6526520375476976e-05 2.4326928613611335e-39
5.784452541554797e-05 2.4454696721974245e-39
5.9193261823375433e-05 2.4589002363071348e-39
6.057344614930286e-05 2.4730204001779892e-39
6.198581165117595e-05 2.4878681961039385e-39
6.34311086839044e-05 2.5034839946452892e-39
6.491010509810695e-05 2.5199106692544713e-39
6.642358664805138e-05 2.5371937741475768e-39
6.797235740910648e-05 2.555381736604453e-39
6.955724020492732e-05 2.5745260649928597e-39
7.117907704460117e-05 2.5946815739360296e-39
7.283872956998614e-05 2.6159066281787875e-39
7.453707951348025e-05 2.6382634068564716e-39
7.627502916646401e-05 2.6618181900345376e-39
7.805350185866558e-05 2.6866416695660037e-39
7.987344244870308e-05 2.712809286510733e-39
8.173581782606456e-05 2.740401597575813e-39
8.364161742479263e-05 2.7695046732724092e-39
8.559185374914618e-05 2.800210530742607e-39
8.758756291151902e-05 2.8326176044920255e-39
8.96298051829007e-05 2.866831258572474e-39
9.17196655561724e-05 2.9029643440953933e-39
9.385825432253677e-05 2.941137806323753e-39
9.604670766138824e-05 2.981481345989359e-39
9.828618824393714e-05 3.0241341399167386e-39
0.00010057788585090809 3.0692456265058706e-39
0.00010292301800464121 3.11697636213642e-39
0.00010532283061593165 3.167498955108056e-39
0.00010777859864595113 3.22099908432672e-39
0.00011029162678360347 3.2776766105874555e-39
0.00011286325013867351 3.337746788992158e-39
0.00011549483495113791 3.401441591776648e-39
