# %ECSV 0.9
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 2.320944202748192e-39 2.3210612962979872e-39 2.6789015611943957e-39 3.6214806850313876e-39 5.586115083891001e-39 1.2072322394527644e-38 1.0727547109833166e-37 9.62637930955039e-35
3.9903418316493815e-07 1.79835766929129e-39 1.7984988819294553e-39 2.122861437598819e-39 2.869961524134262e-39 4.426901048916552e-39 9.567110749988726e-39 8.501402930424174e-38 7.628751132972736e-35
5.035240306053045e-07 1.3941286704999967e-39 1.3942991240243235e-39 1.6823992177622395e-39 2.2743956153877493e-39 3.508243845550811e-39 7.581773812158706e-39 6.737223118336548e-38 6.045667617821121e-35
6.353752638084481e-07 1.0812741610526663e-39 1.0814800713724395e-39 1.3333278903388606e-39 1.8024199275101813e-39 2.7802238487752967e-39 6.008428805700813e-39 5.339142533933616e-38 4.791104367423496e-35
8.017526499665791e-07 8.390084690902671e-40 8.392573680026572e-40 1.0566655043121585e-39 1.4283873404260699e-39 2.203280612359695e-39 4.761580506717483e-39 4.2311897892935064e-38 3.7968886839337166e-35
1.0116970998767502e-06 6.513079353561715e-40 6.516089225046097e-40 8.373993809578082e-40 1.1319729838758873e-39 1.746063165740591e-39 3.773475450849512e-39 3.3531589748148363e-38 3.008995100849384e-35
1.2766169490574089e-06 5.058111578841695e-40 5.061751718028561e-40 6.636282519798375e-40 8.970697664090085e-40 1.3837264115542633e-39 2.990420225041743e-39 2.6573380871550954e-38 2.3846096556673862e-35
1.610907884206832e-06 3.929755288699181e-40 3.934156077783041e-40 5.259153137097379e-40 7.1091310579526655e-40 1.096581048896429e-39 2.3698637792642534e-39 2.1059163707984088e-38 1.889803378735201e-35
2.0327352016717117e-06 3.0542972100567593e-40 3.059611888454928e-40 4.167794976115665e-40 5.633872975057065e-40 8.690236611870462e-40 1.878085211985558e-39 1.668929690136205e-38 1.4976886054334738e-35
2.565020905680046e-06 2.3747615430677594e-40 2.3811660450071248e-40 3.302911581186582e-40 4.4647582669014745e-40 6.886888294036272e-40 1.488361383745543e-39 1.3226322842831012e-38 1.1869579052497179e-35
3.236689285040605e-06 1.847083781254108e-40 1.8547722349287606e-40 2.617507611787579e-40 3.5382575193643886e-40 5.457771967174246e-40 1.1795147873701471e-39 1.0482064282456669e-38 9.407262424833595e-36
4.0842386526745176e-06 1.4371658921424804e-40 1.4463379948138382e-40 2.0743387386838957e-40 2.8040249061353633e-40 4.325229803176073e-40 9.347627663749162e-40 8.307398814395819e-39 7.456134472572758e-36
5.153724655961632e-06 1.118608081554099e-40 1.1294431346376243e-40 1.6438891915182083e-40 2.2221624038695913e-40 3.4277196643962636e-40 7.408055490673191e-40 6.58415560831394e-39 5.910171420556105e-36
6.503262930552246e-06 8.709604182721133e-41 8.835731218665765e-41 1.3027683027606235e-40 1.7610517091122837e-40 2.71647105550493e-40 5.8710354175826065e-40 5.2186940324110313e-39 4.6853661566940035e-36
8.206187091305455e-06 6.78374261689404e-41 6.927530335765075e-41 1.032439576523147e-40 1.3956361746899024e-40 2.15283487608395e-40 4.653046092513749e-40 4.1368152575537354e-39 3.715163398783375e-36
1.035503366489132e-05 5.285613351887756e-41 5.445044701401395e-41 8.182133800561306e-41 1.1060591943676087e-40 1.706183247056722e-40 3.687902207685268e-40 3.2797303359871514e-39 2.9468432811752296e-36
1.3066570504423449e-05 4.1198977693242916e-41 4.290736347626365e-41 6.484486958134759e-41 8.765852062652667e-41 1.3522451923593345e-40 2.923157987058698e-40 2.6008656784693585e-39 2.3386569446355907e-36
1.648814192907418e-05 3.2126281601349916e-41 3.388786977191354e-41 5.139205363170753e-41 6.94744621019551e-41 1.0717877488252617e-40 2.3172572598693323e-40 2.0633323661975476e-39 1.857558668381788e-36
2.0805675382171716e-05 2.5063827556889585e-41 2.6810057700882934e-41 4.073186468887919e-41 5.506562139404526e-41 8.495708225125721e-41 1.8372752383176887e-40 1.6379218362063182e-39 1.4774116950285815e-36
2.6253784687830593e-05 1.9565670726590517e-41 2.1233502275179974e-41 3.228502530031125e-41 4.3649015948399523e-41 6.735189996276235e-41 1.4571292538066183e-40 1.3015191393784334e-39 1.1775710335609964e-36
3.312851891487241e-05 1.528533158007886e-41 1.682675239208924e-41 2.5592525468286726e-41 3.460425132451112e-41 5.340652723316087e-41 1.1561611549989334e-40 1.0358477689840627e-39 9.417678124231309e-37
4.180344961851453e-05 1.1953447715703208e-41 1.3338614472243936e-41 2.029067489532037e-41 2.7439799951974546e-41 4.2363097763330384e-41 9.180142016237301e-41 8.264782990061646e-40 7.5723778444494e-37
5.27499706370262e-05 9.360402334502121e-42 1.0575823804007347e-41 1.6091329863724012e-41 2.1766273776989636e-41 3.362135980404101e-41 7.297431648825059e-41 6.620478392935194e-40 6.140532519721897e-37
6.6562913529862e-05 7.342796551381368e-42 8.387464128109576e-42 1.2766215778596043e-41 1.7275230604191562e-41 2.6705985851812984e-41 5.811087862120366e-41 5.33649615630043e-40 5.046358515489904e-37
8.399287059458457e-05 5.772932854469601e-42 6.65455560225192e-42 1.0134485851369232e-41 1.3722349097853547e-41 2.1240606552556363e-41 4.640173631975431e-41 4.343628383542695e-40 4.23452569513864e-37
