# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 2.350583842208705e-39 2.3507016092056543e-39 2.7122981979101715e-39 3.666671702050302e-39 5.6539158665509775e-39 1.181802064359352e-38 1.4910469347781362e-38 3.3371910673693324e-39
3.2360111549336787e-07 2.2918517595810002e-39 2.2919717262762088e-39 2.65045586371802e-39 3.583125433210548e-39 5.525089719128256e-39 1.1548743625869885e-38 1.4570730507855872e-38 3.2611525034976626e-39
3.311463862505236e-07 2.2345985036906946e-39 2.2347207127285207e-39 2.5900315384605968e-39 3.501482790453919e-39 5.3991989151764395e-39 1.1285602170546273e-38 1.423873273770075e-38 3.186846509406521e-39
3.388675869043115e-07 2.1787865091452978e-39 2.1789110034171217e-39 2.5309916599522486e-39 3.4217003999658275e-39 5.2761765726606346e-39 1.1028456476901065e-38 1.3914299654283563e-38 3.1142336078085864e-39
3.4676881953794695e-07 2.1243791737180382e-39 2.1245059968521556e-39 2.4733035680055447e-39 3.343735875438184e-39 5.1559573318195086e-39 1.0777169929755005e-38 1.3597258893541942e-38 3.043275222332584e-39
3.548542818811901e-07 2.0713408339465474e-39 2.0714700311390813e-39 2.4169354730067172e-39 3.267547797151308e-39 5.0384773242226314e-39 1.0531609027080977e-38 1.3287442023057443e-38 2.9739336534583265e-39
3.6312826954049566e-07 2.0196367417222386e-39 2.01976835870191e-39 2.3618564242464176e-39 3.193095688606405e-39 4.9236741355395745e-39 1.0291643307987255e-38 1.2984684440211655e-38 2.9061720620897187e-39
3.715951782811629e-07 1.9692330395038174e-39 1.9693671228881707e-39 2.3080362805843478e-39 3.1203399951838e-39 4.8114867729299997e-39 1.005714528502054e-38 1.268882530169483e-38 2.8399544481563813e-39
3.8025950636269697e-07 1.9200967375395896e-39 1.920233334851943e-39 2.2554456824887887e-39 3.049242063998022e-39 4.701855634320143e-39 9.827990374821834e-39 1.2399707420633587e-38 2.7752456318886065e-39
3.89125856928623e-07 1.8721956916557836e-39 1.8723348513427485e-39 2.20405602499585e-39 2.979764122736836e-39 4.594722475601677e-39 9.604056833350767e-39 1.2117177199826961e-38 2.712011235074286e-39
3.9819894045202297e-07 1.8254985806745115e-39 1.8256403521236606e-39 2.153839431791315e-39 2.9118692593686154e-39 4.490030378952742e-39 9.385225690006647e-39 1.1841084534730272e-38 2.650217662868693e-39
4.0748357723809307e-07 1.779974885861947e-39 1.780119319419833e-39 2.1047687313039343e-39 2.845521403547862e-39 4.387723725038477e-39 9.171380684934018e-39 1.157128274592755e-38 2.5898320858494722e-39
4.169846999850535e-07 1.7355948694657668e-39 1.735742016456338e-39 2.0568174326190696e-39 2.780685306089282e-39 4.287748160208235e-39 8.962408208706667e-39 1.1307628493869833e-38 2.5308224226426023e-39
4.2670735640476865e-07 1.6923295547901785e-39 1.6924794675332647e-39 2.009959703634496e-39 2.717326520902618e-39 4.190050569181955e-39 8.758197238016908e-39 1.1049981705474681e-38 2.473157322887446e-39
4.3665671190447213e-07 1.6501507069717895e-39 1.650303438802289e-39 1.9641703505545434e-39 2.6554113880277093e-39 4.094579050110817e-39 8.558639281640959e-39 1.079820549944972e-38 2.4168061505635687e-39
4.4683805233101997e-07 1.6090308124780103e-39 1.609186417764884e-39 1.9194247960139936e-39 2.5949070125463102e-39 4.0012828788044067e-39 8.363628318751746e-39 1.0552166113298762e-38 2.3617389676352856e-39
4.572567867791303e-07 1.5689430622192014e-39 1.5691015963853157e-39 1.8756990615342946e-39 2.5357812502264432e-39 3.9101124903268444e-39 8.173060745019267e-39 1.0311732832422502e-38 2.3079265182984997e-39
4.6791845046510194e-07 1.5298613315087534e-39 1.53002285103743e-39 1.8329697484030775e-39 2.4780026889674675e-39 3.8210194479748795e-39 7.986835316596042e-39 1.0076777920442144e-38 2.255340213318936e-39
