# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 3.0705543338888322e-43 3.4862066166209876e-43 5.255735947888731e-43 7.043473796683251e-43 1.0670194195444757e-42 2.115002601193018e-42 2.0846324227418934e-42 3.0074248670388722e-43
3.2360111549336787e-07 3.0675039891740703e-43 3.486195685897976e-43 5.2557359741066365e-43 7.043473843770936e-43 1.067019430348842e-42 2.115002643918033e-42 2.0846325632490675e-42 3.007425348873979e-43
3.311463862505236e-07 3.064511122413977e-43 3.4861856805750053e-43 5.255736001561454e-43 7.0434738930800544e-43 1.0670194416629228e-42 2.1150026886586765e-42 2.084632710384926e-42 3.0074258534405857e-43
3.388675869043115e-07 3.0615764533946186e-43 3.4861765240466937e-43 5.255736030311528e-43 7.043473944715424e-43 1.067019453510765e-42 2.1150027355100392e-42 2.0846328644621903e-42 3.0074263818111124e-43
3.4676881953794695e-07 3.0587006693304154e-43 3.4861681458665268e-43 5.255736060417971e-43 7.0434739987867815e-43 1.0670194659175504e-42 2.115002784571698e-42 2.0846330258083352e-42 3.0074269351085455e-43
3.548542818811901e-07 3.055884421350241e-43 3.4861604812751213e-43 5.255736091944769e-43 7.043474055409051e-43 1.0670194789096476e-42 2.1150028359479286e-42 2.084633194766282e-42 3.007427514508873e-43
3.6312826954049566e-07 3.0531283209602766e-43 3.4861534707642406e-43 5.255736124958922e-43 7.043474114702572e-43 1.0670194925146696e-42 2.1150028897479223e-42 2.084633371695131e-42 3.0074281212435436e-43
3.715951782811629e-07 3.050432936488066e-43 3.486147059669536e-43 5.255736159530598e-43 7.043474176793367e-43 1.0670195067615319e-42 2.1150029460860256e-42 2.084633556970928e-42 3.0074287566021268e-43
3.8025950636269697e-07 3.0477987895639316e-43 3.486141197791189e-43 5.255736195733275e-43 7.0434742418134066e-43 1.0670195216805154e-42 2.1150030050819817e-42 2.084633750987455e-42 3.007429421935011e-43
3.89125856928623e-07 3.045226351621627e-43 3.486135839046641e-43 5.255736233643892e-43 7.043474309900876e-43 1.067019537303327e-42 2.1150030668611725e-42 2.084633954157069e-42 3.0074301186562933e-43
3.9819894045202297e-07 3.042716040508091e-43 3.4861309411432823e-43 5.255736273343014e-43 7.043474381200489e-43 1.0670195536631729e-42 2.1150031315549075e-42 2.0846341669115936e-42 3.00743084824681e-43
4.0748357723809307e-07 3.0402682171593534e-43 3.486126465280795e-43 5.2557363149150335e-43 7.043474455863787e-43 1.0670195707948222e-42 2.1150031993006847e-42 2.084634389703205e-42 3.0074316122572106e-43
4.169846999850535e-07 3.0378831824132577e-43 3.486122375870197e-43 5.2557363584483155e-43 7.043474534049452e-43 1.067019588734686e-42 2.115003270242484e-42 2.0846346230054227e-42 3.007432412311343e-43
4.2670735640476865e-07 3.0355611740175985e-43 3.4861186402812117e-43 5.255736404035347e-43 7.043474615923656e-43 1.0670196075208945e-42 2.1150033445310886e-42 2.0846348673141054e-42 3.007433250109642e-43
4.3665671190447213e-07 3.0333023637738544e-43 3.486115228599088e-43 5.255736451773051e-43 7.043474701660419e-43 1.067019627193375e-42 2.1150034223243904e-42 2.0846351231485156e-42 3.0074341274327957e-43
4.4683805233101997e-07 3.031106854944474e-43 3.4861121134107463e-43 5.255736501762864e-43 7.0434747914419566e-43 1.0670196477939375e-42 2.1150035037877236e-42 2.0846353910523847e-42 3.0074350461454494e-43
4.572567867791303e-07 3.0289746799084544e-43 3.4861092695994027e-43 5.2557365541110435e-43 7.043474885459092e-43 1.067019669366367e-42 2.115003589094233e-42 2.0846356715951215e-42 3.0074360082002638e-43
4.6791845046510194e-07 3.02690579808189e-43 3.486106674157507e-43 5.2557366089288495e-43 7.043474983911643e-43 1.0670196919565125e-42 2.1150036784252255e-42 2.084635965372984e-42 3.0074370156420026e-43
