# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 5.77943640592095e-37
3.2360111549336787e-07 5.943852897813588e-37
3.311463862505236e-07 6.11423583045909e-37
3.388675869043115e-07 6.290877818682297e-37
3.4676881953794695e-07 6.474089227701215e-37
3.548542818811901e-07 6.664199506649117e-37
3.6312826954049566e-07 6.861558499173199e-37
3.715951782811629e-07 7.066537780292382e-37
3.8025950636269697e-07 7.279532181955967e-37
3.89125856928623e-07 7.500961432898385e-37
3.9819894045202297e-07 7.73127169794e-37
4.0748357723809307e-07 7.970937571234167e-37
4.169846999850535e-07 8.220463896583375e-37
4.2670735640476865e-07 8.480387900664816e-37
4.3665671190447213e-07 8.751281521400129e-37
4.4683805233101997e-07 9.03375353648394e-37
4.572567867791303e-07 9.328452481046204e-37
4.6791845046510194e-07 9.636068983234349e-37
4.788287076675383e-07 9.957339055250124e-37
4.899933547366384e-07 1.0293047002523397e-36
5.014183231736547e-07 1.0644028915193466e-36
5.131096827821533e-07 1.1011176101303077e-36
5.250736448927506e-07 1.139543907173394e-36
5.373165656630395e-07 1.179783154635319e-36
5.4984494945446e-07 1.2219435094683641e-36
5.626654522879044e-07 1.2661403525144464e-36
5.757848853798981e-07 1.3124968145664435e-36
5.892102187612295e-07 1.3611443146690532e-36
6.029485849799565e-07 1.4122231311836173e-36
6.17007282890752e-07 1.4658830329260213e-36
6.313937815326057e-07 1.5222839379624577e-36
6.461157240969403e-07 1.5815966220405998e-36
6.611809319882495e-07 1.644003487154183e-36
6.765974089794179e-07 1.7096993762864856e-36
6.923733454639272e-07 1.7788924415059883e-36
7.085171228072106e-07 1.8518050900605857e-36
7.250373177994646e-07 1.928674975934447e-36
7.419427072122865e-07 2.0097560915741615e-36
7.592422724615558e-07 2.0953199052557203e-36
7.769452043790388e-07 2.1856566022184367e-36
7.950609080952509e-07 2.2810764046288477e-36
8.135990080361694e-07 2.381910994189683e-36
8.325693530364543e-07 2.488515023035716e-36
8.519820215718901e-07 2.6012677468908396e-36
8.718473271138315e-07 2.7205747655572392e-36
8.921758236084957e-07 2.8468698934643333e-36
9.12978311084014e-07 2.980617159555894e-36
9.342658413882192e-07 3.122312954103333e-36
9.560497240602198e-07 3.272488326238116e-36
9.78341532338879e-07 3.431711446248085e-36
1.0011531093113902e-06 3.600590244291328e-36
1.0244965742052174e-06 3.77977523745997e-36
1.048384328826741e-06 3.9699625582904255e-36
1.0728290641500308e-06 4.171897199741324e-36
1.0978437670592484e-06 4.386376491972895e-36
1.1234417272482566e-06 4.614253827261299e-36
1.149636544281106e-06 4.856442650962913e-36
1.1764421348171486e-06 5.113920737415657e-36
1.2038727400046132e-06 5.387734771347243e-36
1.2319429330465773e-06 5.679005256493811e-36
1.2606676269433496e-06 5.9889317749352006e-36
1.2900620824153782e-06 6.318798622237645e-36
1.3201419160108953e-06 6.669980845302518e-36
1.3509231084026028e-06 7.043950711776597e-36
1.38242201287781e-06 7.442284641900603e-36
1.4146553640265304e-06 7.866670635912468e-36
1.447640286632156e-06 8.318916232477119e-36
1.4813943047694329e-06 8.800957036153618e-36
1.5159353511145682e-06 9.314865854626775e-36
1.5512817764724183e-06 9.862862489348153e-36
1.587452359525819e-06 1.0447324226348938e-35
1.6244663168122348e-06 1.1070797077335601e-35
1.6623433129330315e-06 1.1736007824765482e-35
1.7011034710007933e-06 1.2445876928440823e-35
1.740767383330235e-06 1.3203532355278343e-35
1.7813561223783898e-06 1.4012324398326547e-35
1.8228912519398869e-06 1.4875841555828822e-35
1.8653948386032614e-06 1.5797927546200657e-35
1.908889463474389e-06 1.6782699540220457e-35
1.9533982341732686e-06 1.7834567697534236e-35
1.9989447971105317e-06 1.895825610092191e-35
2.045553350050195e-06 2.0158825188090536e-35
2.0932486549653353e-06 2.1441695788605424e-35
2.1420560511935146e-06 2.281267488049738e-35
2.192001468898943e-06 2.427798318970119e-35
2.2431114428485372e-06 2.5844284764338143e-35
2.2954131265091837e-06 2.7518718665082875e-35
2.3489343064737076e-06 2.930893292310609e-35
2.403703417223201e-06 3.12231209278944e-35
2.4597495562335635e-06 3.3270060418853557e-35
2.5171024994342686e-06 3.545915526708115e-35
2.575792717027583e-06 3.780048024698242e-35
2.635851389676631e-06 4.0304829011756976e-35
2.6973104250709106e-06 4.298376550205314e-35
2.760202474878063e-06 4.584967903352461e-35
2.8245609520908932e-06 4.891584332660541e-35
2.8904200487788716e-06 5.219647976065998e-35
2.9578147542535346e-06 5.570682515487119e-35
3.026780873657441e-06 5.946320439985898e-35
3.097355046986562e-06 6.348310828721217e-35
3.1695747685562034e-06 6.778527690897537e-35
3.2434784069208122e-06 7.238978902573603e-35
3.319105225258239e-06 7.73181578305126e-35
3.3964954022292982e-06 8.259343356620142e-35
3.4756900533236943e-06 8.824031348709754e-35
3.5567312527036693e-06 9.428525969012957e-35
3.6396620555569646e-06 1.0075662537903297e-34
3.7245265209709786e-06 1.0768479016501262e-34
3.811369735340273e-06 1.151023050504302e-34
3.900237836319859e-06 1.2304404778972223e-34
3.991178037336996e-06 1.3154738936852797e-34
4.0842386526745176e-06 1.406523723930427e-34
4.179469123139017e-06 1.5040190225822305e-34
4.2769200423275275e-06 1.6084195198507747e-34
4.376643183506652e-06 1.7202178172234453e-34
4.478691527118417e-06 1.8399417395903818e-34
4.583119288927478e-06 1.968156855682815e-34
4.689981948824612e-06 2.105469178897497e-34
4.799336280301815e-06 2.2525280614075943e-34
4.911240380614659e-06 2.4100292953926793e-34
5.0257537016479225e-06 2.5787184362083703e-34
5.142937081500915e-06 2.759394363376655e-34
5.262852776809252e-06 2.9529130964137217e-34
5.385564495820272e-06 3.1601918837299796e-34
5.511137432239651e-06 3.3822135841400926e-34
5.639638299867211e-06 3.6200313619196427e-34
5.771135368040315e-06 3.874773717841227e-34
5.905698497903673e-06 4.147649880226551e-34
6.043399179524854e-06 4.4399555817754445e-34
6.184310569875183e-06 4.753079249763744e-34
6.32850753169624e-06 5.088508639182704e-34
6.47606667327258e-06 5.447837940522035e-34
6.627066389131828e-06 5.832775396115821e-34
6.781586901693754e-06 6.245151461464545e-34
6.939710303890459e-06 6.686927550492215e-34
7.101520602780329e-06 7.160205406511815e-34
7.267103764178904e-06 7.667237143649312e-34
7.436547758330399e-06 8.210436006676746e-34
7.609942606644117e-06 8.79238790059457e-34
7.787380429520604e-06 9.415863745271004e-34
7.968955495292936e-06 1.0083832713365926e-33
8.15476427030917e-06 1.0799476415737109e-33
8.344905470182516e-06 1.1566204101994394e-33
8.539480112236516e-06 1.2387668946630204e-33
8.738591569173047e-06 1.3267785502406065e-33
8.942345623991688e-06 1.4210748400263273e-33
9.150850526189614e-06 1.5221052387585418e-33
9.364217049271877e-06 1.630351379933169e-33
9.58255854960264e-06 1.7463293564729647e-33
9.805991026628606e-06 1.8705921859231825e-33
1.0034633184506672e-05 2.0037324519305972e-33
1.0268606495168497e-05 2.1463851346011906e-33
1.0508035262855554e-05 2.2992306432318285e-33
1.07530466901589e-05 2.462998065871815e-33
1.1003770945598772e-05 2.6384686512039514e-33
1.1260341232779899e-05 2.826479539337322e-33
1.1522893861159297e-05 3.027927759288174e-33
1.1791568318464117e-05 3.243774512192214e-33
1.206650734479802e-05 3.475049760648939e-33
1.2347857008475478e-05 3.7228571460524766e-33
1.263576678362426e-05 3.988379257320496e-33
1.293038962959737e-05 4.272883276100009e-33
1.3231882072236462e-05 4.577727025315021e-33
1.3540404287030327e-05 4.9043654498336995e-33
1.3856120184212054e-05 5.2543575600806205e-33
1.4179197495840522e-05 5.629373871592856e-33
1.4509807864912299e-05 6.031204376026479e-33
1.484812693655133e-05 6.461767081077986e-33
1.5194334451324849e-05 6.923117160644163e-33
1.5548614340735104e-05 7.417456757772823e-33
1.5911154824937624e-05 7.947145487770182e-33
1.6282148512737936e-05 8.514711690747092e-33
1.6661792503919872e-05 9.12286448728652e-33
1.7050288493959805e-05 9.774506694315891e-33
1.7447842881182494e-05 1.047274866243832e-32
1.785466687641539e-05 1.1220923100294918e-32
1.8270976615199758e-05 1.2022600956171459e-32
1.869699327261814e-05 1.2881608432137816e-32
1.91329431807992e-05 1.380204521096532e-32
1.957905794916243e-05 1.4788303982501684e-32
2.003557458746648e-05 1.5845091361357396e-32
2.0502735631726606e-05 1.6977450295027768e-32
2.0980789273068064e-05 1.8190784067907926e-32
2.1469989489583918e-05 1.9490882016157505e-32
2.1970596181267336e-05 2.088394706998143e-32
2.2482875308090033e-05 2.2376625260811704e-32
2.3007099031300245e-05 2.3976037324827527e-32
2.354354585801526e-05 2.568981255603912e-32
2.4092500789185385e-05 2.752612506668034e-32
2.4654255471007912e-05 2.9493732625513066e-32
2.5229108349871537e-05 3.1602018256408656e-32
2.5817364830913554e-05 3.386103479236254e-32
2.641933744027406e-05 3.62815525937652e-32
2.7035345991133382e-05 3.887511065437587e-32
2.7665717753620915e-05 4.165407133404629e-32
2.8310787628685666e-05 4.46316789739798e-32
2.8970898326020842e-05 4.7822122668091747e-32
2.964640054613707e-05 5.124060348314682e-32
3.033765316668089e-05 5.490340644031227e-32
3.104502343309761e-05 5.88279775954522e-32
3.176888715373972e-05 6.303300656848728e-32
3.25096288995246e-05 6.753851491731973e-32
3.326764220824756e-05 7.236595075293935e-32
3.4043329793658724e-05 7.753829004064096e-32
3.483710375941493e-05 8.308014505277146e-32
3.5649385818020195e-05 8.901788047289848e-32
3.648060751487119e-05 9.537973768524809e-32
3.73312104575266e-05 1.0219596782346369e-31
3.820164655032238e-05 1.0949897417825575e-31
3.90923782344573e-05 1.1732346463234362e-31
4.0003878733676586e-05 1.2570661480126465e-31
4.093663230568398e-05 1.346882426332173e-31
4.1891134499415887e-05 1.443109952577045e-31
4.2867892418314344e-05 1.5462054893034594e-31
4.386742498973848e-05 1.6566582297644084e-31
4.489026324065786e-05 1.7749920870121597e-31
4.5936950579773975e-05 1.901768142896372e-31
4.700804308621986e-05 2.0375872679934316e-31
4.8104109804991236e-05 2.183092924133897e-31
4.922573304926602e-05 2.3389741620187754e-31
5.0373508709772956e-05 2.505968827223559e-31
5.154804657137365e-05 2.6848669887635977e-31
5.27499706370262e-05 2.876514605292727e-31
5.397991945930254e-05 3.0818174452127853e-31
5.5238546479635675e-05 3.3017452772308834e-31
5.6526520375476976e-05 3.5373363505510283e-31
5.784452541554797e-05 3.7897021831693036e-31
5.9193261823375433e-05 4.060032679350994e-31
6.057344614930286e-05 4.34960159837687e-31
6.198581165117595e-05 4.6597723970773595e-31
6.34311086839044e-05 4.9920044721972e-31
6.491010509810695e-05 5.34785982762509e-31
6.642358664805138e-05 5.729010195155448e-31
6.797235740910648e-05 6.137244638141093e-31
6.955724020492732e-05 6.574477669479591e-31
7.117907704460117e-05 7.042757917206781e-31
7.283872956998614e-05 7.544277372951828e-31
7.453707951348025e-05 8.08138126054157e-31
7.627502916646401e-05 8.65657856441769e-31
7.805350185866558e-05 9.27255325904006e-31
7.987344244870308e-05 9.932176284297916e-31
8.173581782606456e-05 1.063851831250668e-30
8.364161742479263e-05 1.1394863356864954e-30
8.559185374914618e-05 1.2204723272245558e-30
8.758756291151902e-05 1.307185320402051e-30
8.96298051829007e-05 1.4000268040552966e-30
9.17196655561724e-05 1.499425993186961e-30
