# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_6
3.162277660168379e-07 4.705782879914309e-31
3.2360111549336787e-07 5.153862284070216e-31
3.311463862505236e-07 5.64493968437865e-31
3.388675869043115e-07 6.183154737524826e-31
3.4676881953794695e-07 6.773046288589075e-31
3.548542818811901e-07 7.4195908952719025e-31
3.6312826954049566e-07 8.128245071400119e-31
3.715951782811629e-07 8.90499160884505e-31
3.8025950636269697e-07 9.756390371650568e-31
3.89125856928623e-07 1.0689633994280251e-30
3.9819894045202297e-07 1.1712608957473427e-30
4.0748357723809307e-07 1.2833962561052765e-30
4.169846999850535e-07 1.406317636310743e-30
4.2670735640476865e-07 1.5410646709969792e-30
4.3665671190447213e-07 1.6887773041731077e-30
4.4683805233101997e-07 1.8507054724180137e-30
4.572567867791303e-07 2.0282197230475968e-30
4.6791845046510194e-07 2.222822857552331e-30
4.788287076675383e-07 2.436162699309752e-30
4.899933547366384e-07 2.6700460941390905e-30
5.014183231736547e-07 2.9264542627607607e-30
5.131096827821533e-07 3.207559635708215e-30
5.250736448927506e-07 3.515744313854464e-30
5.373165656630395e-07 3.8536203115425326e-30
5.4984494945446e-07 4.224051754463148e-30
5.626654522879044e-07 4.630179221057995e-30
5.757848853798981e-07 5.07544643445001e-30
5.892102187612295e-07 5.563629531896033e-30
6.029485849799565e-07 6.098869160679593e-30
6.17007282890752e-07 6.685705673402797e-30
6.313937815326057e-07 7.329117721990434e-30
6.461157240969403e-07 8.034564578644712e-30
6.611809319882495e-07 8.808032543647325e-30
6.765974089794179e-07 9.65608583473566e-30
6.923733454639272e-07 1.0746547872076004e-29
7.085171228072106e-07 1.1781532467537677e-29
7.250373177994646e-07 1.291634039048108e-29
7.419427072122865e-07 1.4160606145817456e-29
7.592422724615558e-07 1.5524894431293524e-29
7.769452043790388e-07 1.702078996055355e-29
7.950609080952509e-07 1.866099596058475e-29
8.135990080361694e-07 2.045944218121649e-29
8.325693530364543e-07 2.2431403335378583e-29
8.519820215718901e-07 2.4593628977395543e-29
8.718473271138315e-07 2.6964485924022143e-29
8.921758236084957e-07 2.956411442950787e-29
9.12978311084014e-07 3.2414599443012094e-29
9.342658413882192e-07 3.5540158404930624e-29
9.560497240602198e-07 3.896734717947352e-29
9.78341532338879e-07 4.272528587494019e-29
1.0011531093113902e-06 4.684590647242626e-29
1.0244965742052174e-06 5.136422436911729e-29
1.048384328826741e-06 5.631863614575785e-29
1.0728290641500308e-06 6.175124609095666e-29
1.0978437670592484e-06 6.770822425957108e-29
1.1234417272482566e-06 7.424019911052412e-29
1.149636544281106e-06 8.14026880637957e-29
1.1764421348171486e-06 8.925656963856901e-29
1.2038727400046132e-06 9.786860118834547e-29
1.2319429330465773e-06 1.0731198663659438e-28
1.2606676269433496e-06 1.17666999041995e-28
1.2900620824153782e-06 1.2902166328826498e-28
1.3201419160108953e-06 1.4147250470558407e-28
1.3509231084026028e-06 1.551253699905967e-28
1.38242201287781e-06 1.7009632740793633e-28
1.4146553640265304e-06 1.8651265392957018e-28
1.447640286632156e-06 2.0451391770839936e-28
1.4813943047694329e-06 2.242531650932203e-28
1.5159353511145682e-06 2.458982222809609e-28
1.5512817764724183e-06 2.6963312267806906e-28
1.587452359525819e-06 2.9565967211159166e-28
1.6244663168122348e-06 3.2419916520190315e-28
1.6623433129330315e-06 3.5549426749795985e-28
1.7011034710007933e-06 3.898110793815399e-28
1.740767383330235e-06 4.274413992969836e-28
1.7813561223783898e-06 4.6870520555547635e-28
1.8228912519398869e-06 5.1395337782332965e-28
1.8653948386032614e-06 5.635706814431624e-28
1.908889463474389e-06 6.179790399691977e-28
1.9533982341732686e-06 6.776411237538912e-28
1.9989447971105317e-06 7.430642851070838e-28
2.045553350050195e-06 8.148048735001218e-28
