# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-05 2.2645241477078033e-30
1.0036916706151159e-05 2.289309385880065e-30
1.0073969696621643e-05 2.3143682972901328e-30
1.0111159474528228e-05 2.3397039108940128e-30
1.0148486544845115e-05 2.3653193012449166e-30
1.0185951414410618e-05 2.3912175695675564e-30
1.0223554591934197e-05 2.417401851521496e-30
1.0261296588003294e-05 2.4438753175837765e-30
1.0299177915090215e-05 2.4706411734357774e-30
1.0337199087559224e-05 2.4977026603545386e-30
1.037536062167337e-05 2.5250630556082015e-30
1.041366303560163e-05 2.5527256727773357e-30
1.0452106849425901e-05 2.5806938622763677e-30
1.0490692585147977e-05 2.6089710118708198e-30
1.0529420766696805e-05 2.637560546837229e-30
1.056829191993541e-05 2.666465930487975e-30
1.0607306572668202e-05 2.6956906645941036e-30
1.0646465254648068e-05 2.7252382898126488e-30
1.0685768497583504e-05 2.7551123861187626e-30
1.0725216835145986e-05 2.785316567167946e-30
1.076481080297704e-05 2.815854498355932e-30
1.0804550938695673e-05 2.8467298804287665e-30
1.08444377819056e-05 2.877946455031147e-30
1.0884471874202513e-05 2.9095080053588884e-30
1.0924653759181584e-05 2.9414183555846445e-30
1.096498398244467e-05 2.9736813700860367e-30
1.1005463091607877e-05 3.006300963499445e-30
1.104609163630893e-05 3.0392810898770362e-30
1.1086870168214569e-05 3.0726257468680317e-30
1.1127799241028195e-05 3.1063389764688877e-30
1.1168879410497206e-05 3.1404248665253225e-30
1.1210111234420711e-05 3.174887549659311e-30
1.1251495272657026e-05 3.209731204447219e-30
1.1293032087131209e-05 3.244960055683337e-30
1.1334722241842831e-05 3.2805783753179426e-30
1.1376566302873567e-05 3.316590482716081e-30
1.1418564838394803e-05 3.3530007451565324e-30
1.1460718418675522e-05 3.3898135748334394e-30
1.1503027616089865e-05 3.427033439824041e-30
1.154549300512505e-05 3.464664854622441e-30
1.1588115162389119e-05 3.502712383766598e-30
1.163089466661869e-05 3.541180642489657e-30
1.1673832098686978e-05 3.580074292809775e-30
1.1716928041611498e-05 3.61939805377408e-30
1.1760183080562142e-05 3.6591566993197514e-30
1.180359780286906e-05 3.6993550531312835e-30
1.1847172798030557e-05 3.7399979924676e-30
1.189090865772127e-05 3.781090448757622e-30
1.1934805975800007e-05 3.8226374082021065e-30
1.1978865348317977e-05 3.8646439121368125e-30
1.2023087373526816e-05 3.907115058345047e-30
1.2067472651886637e-05 3.950056001044129e-30
1.2112021786074345e-05 3.9934719516767584e-30
1.215673538099164e-05 4.0373681795693974e-30
1.2201614043773386e-05 4.081750012575731e-30
1.2246658383795795e-05 4.126622837727049e-30
1.2291869012684615e-05 4.171992098088734e-30
1.2337246544323621e-05 4.217863298520666e-30
1.2382791594862741e-05 4.26424201321167e-30
1.24285047827266e-05 4.311133872520846e-30
1.2474386728622844e-05 4.358544569345936e-30
1.2520438055550491e-05 4.4064798598182564e-30
1.256665938880857e-05 4.454945564005661e-30
1.2613051356004406e-05 4.5039475666228884e-30
1.2659614587062315e-05 4.5534918169610965e-30
1.270634971423209e-05 4.60358433049412e-30
1.2753257372097507e-05 4.6542311915595226e-30
1.2800338197585116e-05 4.7054385507176936e-30
1.2847592829972686e-05 4.7572126268487115e-30
1.289502191089807e-05 4.809559707911858e-30
1.2942626084367834e-05 4.862486151713257e-30
1.2990405996765926e-05 4.915998386682061e-30
1.3038362296862639e-05 4.97010291082786e-30
1.30864956358232e-05 5.024806289559169e-30
1.313480666721681e-05 5.0801151757042116e-30
1.318329604702543e-05 5.1360362880877025e-30
1.3231964433652608e-05 5.19257642016876e-30
1.3280812487932609e-05 5.249742440870588e-30
1.3329840873139172e-05 5.307541295418939e-30
1.337905025499471e-05 5.365980006190352e-30
1.342844130167926e-05 5.4250656730363e-30
1.3478014683839479e-05 5.484805474029753e-30
1.3527771074597909e-05 5.5452066697548624e-30
1.3577711149562045e-05 5.6062765998538736e-30
1.3627835586833414e-05 5.668022685502948e-30
1.3678145067016984e-05 5.730452430318588e-30
1.3728640273230183e-05 5.793573421273608e-30
1.3779321891112363e-05 5.857393329623821e-30
1.3830190608834034e-05 5.921919904263605e-30
1.3881247117106117e-05 5.9871609939487116e-30
1.3932492109189529e-05 6.0531245293269214e-30
1.3983926280904356e-05 6.119818528228248e-30
1.4035550330639517e-05 6.1872510975534925e-30
1.4087364959362149e-05 6.255430434264077e-30
1.4139370870627038e-05 6.324364824826706e-30
1.4191568770586386e-05 6.394062647984928e-30
1.4243959367999157e-05 6.464532379549861e-30
1.4296543374240903e-05 6.535782586832093e-30
1.4349321503313348e-05 6.6078219323195e-30
1.4402294471853979e-05 6.680659174734899e-30
1.4455462999145997e-05 6.754303168714154e-30
1.4508827807127839e-05 6.828762869736425e-30
1.456238962040319e-05 6.904047331909948e-30
1.461614916625073e-05 6.980165709707819e-30
1.4670107174633927e-05 7.057127255946685e-30
1.4724264378211155e-05 7.134941330159162e-30
1.4778621512345393e-05 7.213617397763517e-30
1.4833179315114439e-05 7.293165024837008e-30
1.4887938527320821e-05 7.373593886516305e-30
1.4942899892501784e-05 7.454913765211297e-30
1.499806415693958e-05 7.537134551066277e-30
1.5053432069671377e-05 7.620266245097086e-30
1.5109004382499626e-05 7.70431895905934e-30
1.5164781850002188e-05 7.78930291681656e-30
1.5220765229542482e-05 7.875228455819626e-30
1.5276955281279994e-05 7.962106027402526e-30
1.5333352768180333e-05 8.049946194075225e-30
1.538995845602583e-05 8.138759648051824e-30
1.5446773113425828e-05 8.228557193873152e-30
1.550379751182702e-05 8.319349756120502e-30
1.5561032425524172e-05 8.411148380750216e-30
1.5618478631670344e-05 8.503964236442234e-30
1.5676136910287696e-05 8.597808615964483e-30
1.5734008044277974e-05 8.692692937551889e-30
1.579209281943303e-05 8.78862874630073e-30
1.5850392024445745e-05 8.885627715578984e-30
1.590890645092046e-05 8.983701648205853e-30
1.596763689338395e-05 9.082862477619736e-30
1.6026584149296126e-05 9.183122271549588e-30
1.6085749019060764e-05 9.284493230861263e-30
1.6145132306036595e-05 9.386987691980838e-30
1.6204734816547947e-05 9.490618128400838e-30
1.6264557359895943e-05 9.595397152204193e-30
1.632460074836937e-05 9.701337515604354e-30
1.6384865797255623e-05 9.808452112502691e-30
1.6445353324852004e-05 9.916753980063722e-30
1.6506064152476555e-05 1.0026256300306974e-29
1.656699910447947e-05 1.0136972401717493e-29
1.6628159008254162e-05 1.0248915760873513e-29
1.668954469424841e-05 1.0362100004092424e-29
1.6751156995975864e-05 1.0476538909095465e-29
1.68129967500271e-05 1.0592246406690097e-29
1.6875064796081214e-05 1.0709236565895657e-29
1.6937361976917116e-05 1.0827523643652448e-29
1.6999889138424882e-05 1.0947122040865123e-29
1.7062647129617468e-05 1.1068046317833643e-29
1.712563680264197e-05 1.1190311196640752e-29
1.718885901279143e-05 1.1313931562950695e-29
1.7252314618516356e-05 1.1438922467827141e-29
1.7316004481436267e-05 1.1565299129571418e-29
1.73799294663516e-05 1.1693076935581684e-29
1.744409044125535e-05 1.1822271444232284e-29
1.7508488277344758e-05 1.1952898386773919e-29
1.7573123849033367e-05 1.2084973669255563e-29
1.7637998033962634e-05 1.2218513374466899e-29
1.7703111713014087e-05 1.2353533763903201e-29
1.776846577032117e-05 1.2490051279751466e-29
1.7834061093281156e-05 1.2628082546898594e-29
1.789989857256744e-05 1.2767644374962627e-29
1.796597910214134e-05 1.2908753760345417e-29
1.8032303579264503e-05 1.3051427870596182e-29
1.809887290451096e-05 1.319568409644845e-29
1.816568798177926e-05 1.3341540009049272e-29
1.8232749718304993e-05 1.3489013372862684e-29
1.8300059024672822e-05 1.363812214974777e-29
1.8367616814829094e-05 1.3788884501153203e-29
1.8435424006094143e-05 1.3941318790335457e-29
1.8503481519174643e-05 1.409544358460165e-29
1.8571790278176357e-05 1.4251277657578156e-29
1.8640351210616397e-05 1.4408839991503135e-29
1.870916524743607e-05 1.456814977954586e-29
1.8778233323013412e-05 1.4729226428150965e-29
1.884755637517577e-05 1.4892089559408794e-29
1.8917135345212785e-05 1.5056759013452883e-29
1.8986971177888876e-05 1.5223254850882803e-29
1.9057064821456343e-05 1.539159735521536e-29
1.912741722766811e-05 1.5561807035362e-29
1.919802935179055e-05 1.5733904628133916e-29
1.926890215261673e-05 1.5907911100775745e-29
1.934003659247909e-05 1.608384763788042e-29
1.9411433637262807e-05 1.6261735660819167e-29
1.94830942564188e-05 1.6441596870720873e-29
1.9555019422976755e-05 1.662345318231089e-29
1.962721011355862e-05 1.6807326753836232e-29
1.969966730839155e-05 1.6993239989771518e-29
1.9772391991321496e-05 1.71812155435564e-29
1.984538514982645e-05 1.737127632036254e-29
1.9918647775029724e-05 1.7563445479891032e-29
1.9992180861713682e-05 1.775774643920235e-29
2.0065985408332954e-05 1.7954202875576028e-29
2.014006241702824e-05 1.81528387294035e-29
2.0214412893639824e-05 1.8353678207112398e-29
2.0289037847721093e-05 1.855674578412309e-29
2.03639382925525e-05 1.8762066207839216e-29
2.043911524515519e-05 1.896966450067036e-29
2.0514569726304694e-05 1.917956596308835e-29
2.0590302760545083e-05 1.9391796176718847e-29
2.0666315376202524e-05 1.960638100746517e-29
2.074260860539957e-05 1.9823346608669112e-29
2.0819183484069015e-05 2.004271940775105e-29
2.0896041051967857e-05 2.026452613134624e-29
2.0973182352691704e-05 2.048879383927782e-29
2.1050608433688604e-05 2.0715549866798816e-29
2.112832034627356e-05 2.0944821852927986e-29
2.12063191456427e-05 2.117663774382573e-29
2.1284605890887438e-05 2.141102579620738e-29
2.1363181645009193e-05 2.164801458079589e-29
2.1442047474933455e-05 2.188763298581082e-29
2.1521204451524584e-05 2.212991022049818e-29
2.1600653649600222e-05 2.2374875818698096e-29
2.168039614794575e-05 2.2622559642452195e-29
2.1760433029329234e-05 2.2872991885652387e-29
2.1840765380515806e-05 2.312620307772826e-29
2.1921394292282698e-05 2.3382224087377363e-29
2.200232085943393e-05 2.3641086126335807e-29
2.2083546180815055e-05 2.3902820753190517e-29
2.2165071359328367e-05 2.4167459877235422e-29
2.2246897501947548e-05 2.4435035762368443e-29
2.232902571973298e-05 2.4705581031033752e-29
2.241145712784673e-05 2.4979128627700825e-29
2.2494192845567533e-05 2.5255711937697867e-29
2.257723399630631e-05 2.5535364686839347e-29
2.2660581707621068e-05 2.5818120971895854e-29
2.2744237111232525e-05 2.610401526855178e-29
2.2828201343039337e-05 2.639308243561643e-29
2.2912475543133382e-05 2.668535771928162e-29
2.2997060855815575e-05 2.698087675742865e-29
2.3081958429611023e-05 2.72796755839803e-29
2.3167169417284943e-05 2.75817906333039e-29
2.3252694975858194e-05 2.788725874466169e-29
2.333853626662282e-05 2.8196117166710464e-29
2.3424694455158175e-05 2.850840356205323e-29
2.351117071134635e-05 2.8824156011838516e-29
2.35979662093884e-05 2.914341302041379e-29
2.3685082127820144e-05 2.946621352002855e-29
2.3772519649528024e-05 2.979259687558998e-29
2.38602799617655e-05 3.012260288947286e-29
2.394836425616879e-05 3.045627177432412e-29
2.4036773728773378e-05 3.0793644240282006e-29
2.412550958003013e-05 3.1134761442388103e-29
2.4214573014821423e-05 3.14796649819013e-29
2.4303965242477866e-05 3.18283969224005e-29
2.439368747679432e-05 3.218099979492143e-29
2.4483740936046718e-05 3.253751660315367e-29
2.4574126843008484e-05 3.2897990828693476e-29
2.4664846424966947e-05 3.32624664363549e-29
2.4755900913740395e-05 3.363098787954206e-29
2.484729154569437e-05 3.4003600105677964e-29
2.4939019561758825e-05 3.438034856169694e-29
2.5031086207444823e-05 3.476127919959589e-29
2.5123492732861277e-05 3.514643848204731e-29
2.5216240392732312e-05 3.5535873388076807e-29
2.530933044641386e-05 3.5929631418800583e-29
2.540276415791114e-05 3.6327760588680005e-29
2.549654279589567e-05 3.6730309457729255e-29
2.5590667633722325e-05 3.713732714363937e-29
2.5685139949446985e-05 3.7548863294466363e-29
2.5779961025843497e-05 3.796496811001951e-29
2.5875132150421437e-05 3.83856923479956e-29
2.5970654615443443e-05 3.8811087330178976e-29
2.6066529717942596e-05 3.9241204948710385e-29
2.6162758759740423e-05 3.967609767242834e-29
2.6259343047464124e-05 4.011581855327689e-29
2.6356283892564692e-05 4.056042123278851e-29
2.645358261133458e-05 4.100995994863662e-29
2.6551240524925383e-05 4.1464489541260726e-29
2.6649258959366122e-05 4.192406546056775e-29
2.6747639245581084e-05 4.238874377159314e-29
2.6846382719407717e-05 4.2858581163389516e-29
2.694549072161516e-05 4.3333634956350436e-29
2.7044964597922025e-05 4.3813963106739757e-29
2.7144805699015022e-05 4.42996242149207e-29
2.7245015380567162e-05 4.4790677532514564e-29
2.7345595003255982e-05 4.528718296963824e-29
2.7446545932782418e-05 4.5789201102225693e-29
2.7547869539888897e-05 4.6296793179426256e-29
