# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma, unit: cm2 MeV4, datatype: float64}
# schema: astropy-2.0
mx sigma
1e-05 3.8088852460223003e-26
1.0036916706151159e-05 3.865441330024957e-26
1.0073969696621643e-05 3.9228371903243446e-26
1.0111159474528228e-05 3.9810852964317436e-26
1.0148486544845115e-05 4.0401983030078603e-26
1.0185951414410618e-05 4.100189052620949e-26
1.0223554591934197e-05 4.161070578533998e-26
1.0261296588003294e-05 4.2228561075327057e-26
1.0299177915090215e-05 4.2855590628083316e-26
1.0337199087559224e-05 4.34919306686493e-26
1.037536062167337e-05 4.4137719444773417e-26
1.041366303560163e-05 4.479309725704193e-26
1.0452106849425901e-05 4.545820648927076e-26
1.0490692585147977e-05 4.6133191639638295e-26
1.0529420766696805e-05 4.6818199351749004e-26
1.056829191993541e-05 4.751337844667758e-26
1.0607306572668202e-05 4.8218879955333143e-26
1.0646465254648068e-05 4.8934857151275626e-26
1.0685768497583504e-05 4.966146558391673e-26
1.0725216835145986e-05 5.0398863112322325e-26
1.076481080297704e-05 5.1147209939535383e-26
1.0804550938695673e-05 5.190666864759883e-26
1.08444377819056e-05 5.267740423237079e-26
1.0884471874202513e-05 5.345958413995926e-26
1.0924653759181584e-05 5.425337830259351e-26
1.096498398244467e-05 5.505895917593643e-26
1.1005463091607877e-05 5.587650177629016e-26
1.104609163630893e-05 5.670618371870474e-26
1.1086870168214569e-05 5.754818525556792e-26
1.1127799241028195e-05 5.840268931582744e-26
1.1168879410497206e-05 5.926988154459603e-26
1.1210111234420711e-05 6.014995034365849e-26
1.1251495272657026e-05 6.104308691229216e-26
1.1293032087131209e-05 6.194948528868543e-26
1.1334722241842831e-05 6.286934239247381e-26
1.1376566302873567e-05 6.380285806691604e-26
1.1418564838394803e-05 6.475023512314449e-26
1.1460718418675522e-05 6.57116793833698e-26
1.1503027616089865e-05 6.668739972610982e-26
1.154549300512505e-05 6.767760813146358e-26
1.1588115162389119e-05 6.868251972727285e-26
1.163089466661869e-05 6.970235283535784e-26
1.1673832098686978e-05 7.073732901977744e-26
1.1716928041611498e-05 7.178767313425367e-26
1.1760183080562142e-05 7.285361337129621e-26
1.180359780286906e-05 7.393538131175638e-26
1.1847172798030557e-05 7.503321197520592e-26
1.189090865772127e-05 7.61473438709846e-26
1.1934805975800007e-05 7.727801904967887e-26
1.1978865348317977e-05 7.842548315649142e-26
1.2023087373526816e-05 7.958998548367043e-26
1.2067472651886637e-05 8.077177902525072e-26
1.2112021786074345e-05 8.197112053208658e-26
1.215673538099164e-05 8.318827056722164e-26
1.2201614043773386e-05 8.442349356255755e-26
1.2246658383795795e-05 8.56770578770106e-26
1.2291869012684615e-05 8.69492358536803e-26
1.2337246544323621e-05 8.824030387962174e-26
1.2382791594862741e-05 8.95505424464513e-26
1.24285047827266e-05 9.088023621002392e-26
1.2474386728622844e-05 9.222967405317182e-26
1.2520438055550491e-05 9.359914914839796e-26
1.256665938880857e-05 9.498895902143523e-26
1.2613051356004406e-05 9.639940561565772e-26
1.2659614587062315e-05 9.78307953577638e-26
1.270634971423209e-05 9.928343922503669e-26
1.2753257372097507e-05 1.0075765281177599e-25
1.2800338197585116e-05 1.0225375639864884e-25
1.2847592829972686e-05 1.0377207502211517e-25
