# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 1.8686170862944234e-37 2.3035585446736352e-37 4.30986785944459e-37 7.623914099612963e-37 2.6770234015349804e-36 8.857384727084419e-35 2.2036531623506938e-33 1.4987337153419139e-33
3.2360111549336787e-07 1.82949137119152e-37 2.256318501320032e-37 4.230069101716608e-37 7.5075495386160035e-37 2.6710261574919154e-36 9.056743204350578e-35 2.2590099613747285e-33 1.5410882293099655e-33
3.311463862505236e-07 1.7911915400381357e-37 2.2100596311260153e-37 4.151828402492621e-37 7.393386284079825e-37 2.665728347826109e-36 9.261043202054236e-35 2.3159407707055592e-33 1.5849627904064217e-33
3.388675869043115e-07 1.7537000366856318e-37 2.164761346791736e-37 4.075114578174878e-37 7.281383424659629e-37 2.6611347936662317e-36 9.470394876343928e-35 2.374502038780981e-33 1.6304310973141326e-33
3.4676881953794695e-07 1.7169996808986919e-37 2.120403497275234e-37 3.999897084154465e-37 7.171500890174127e-37 2.6572508041812143e-36 9.68491167445191e-35 2.434752893966512e-33 1.677571332079072e-33
3.548542818811901e-07 1.6810736602269466e-37 2.076966358429774e-37 3.9261460013986315e-37 7.0636994348820076e-37 2.6540821867514052e-36 9.90471041983002e-35 2.496755299326029e-33 1.7264664436363158e-33
3.6312826954049566e-07 1.6459055220556509e-37 2.034430623846756e-37 3.853832023331882e-37 6.957940621152014e-37 2.6516352575227003e-36 1.0129911398906635e-34 2.5605742165337e-33 1.7772044738134716e-33
3.715951782811629e-07 1.6114791658309329e-37 1.992777395899694e-37 3.782926443004771e-37 6.854186803509268e-37 2.649916852326545e-36 1.0360638448420187e-34 2.6262777808093163e-33 1.829878909438435e-33
3.8025950636269697e-07 1.5777788354560389e-37 1.951988176983285e-37 3.7134011405386353e-37 6.752401113056742e-37 2.6489343379687266e-36 1.0597019045220814e-34 2.693937486457164e-33 1.8845890495946653e-33
3.89125856928623e-07 1.5447891118543589e-37 1.9120448609449027e-37 3.6452285708463434e-37 6.652547442258086e-37 2.648695623870499e-36 1.083918439792872e-34 2.7636283843204206e-33 1.9414404008055964e-33
3.9819894045202297e-07 1.5124949056956375e-37 1.8729297247031565e-37 3.578381751618998e-37 6.5545904300781264e-37 2.6492091740573274e-36 1.1087269541834457e-34 2.835429290803153e-33 2.0005451000805015e-33
4.0748357723809307e-07 1.480881450281658e-37 1.8346254200489862e-37 3.5128342515715954e-37 6.458495447470468e-37 2.650484019478445e-36 1.1341413436864106e-34 2.9094230113839304e-33 2.0620223707123037e-33
4.169846999850535e-07 1.4499342945876308e-37 1.7971149656265708e-37 3.448560178946683e-37 6.36422858320635e-37 2.6525297706447444e-36 1.1601759069429989e-34 2.9856965768069655e-33 2.1259990069224546e-33
