# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
1e-05 3.268936036619581e-42 4.437785317347912e-42 1.5332007640864163e-41 1.373740294579115e-40 1.1311385744211216e-38 2.005829624325439e-36 8.156672678868493e-34 1.9610677151161685e-33
1.0186101701559753e-05 3.2159952217026765e-42 4.3692167503781214e-42 1.5194951949671203e-41 1.3886561651040141e-40 1.152967130875785e-38 2.0707077251113343e-36 8.606945968492502e-34 2.0719625953886975e-33
1.0375666787451848e-05 3.1639259251744536e-42 4.301743107213353e-42 1.5060272569838452e-41 1.4040194428788904e-40 1.1752444530428765e-38 2.138166250852186e-36 9.082562100389739e-34 2.189152767992607e-33
1.056875971184805e-05 3.1127136339778125e-42 4.235346576127321e-42 1.4927942451743733e-41 1.419838687321785e-40 1.1979808320412337e-38 2.208324220470684e-36 9.584957645329755e-34 2.312996061183579e-33
1.0765446128423159e-05 3.0623440789023214e-42 4.170009639222941e-42 1.4797935136791445e-41 1.43612258463981e-40 1.221186843210506e-38 2.2813066978161855e-36 1.0115650792121018e-33 2.443870650904036e-33
1.09657929126781e-05 3.012803230457567e-42 4.105715067534634e-42 1.4670224752574625e-41 1.4528799454012611e-40 1.2448733556475596e-38 2.3572451187633796e-36 1.0676245987910349e-33 2.5821762180005785e-33
1.1169868184678226e-05 2.964077294816814e-42 4.0424459162129995e-42 1.4544786008245562e-41 1.4701197020418886e-40 1.2690515421168088e-38 2.4362776367364366e-36 1.1268438842374501e-33 2.728335171257697e-33
1.1377741332214902e-05 2.9161527098296794e-42 3.98018551979042e-42 1.4421594190095448e-41 1.4878509063275485e-40 1.293732889350512e-38 2.5185494877180287e-36 1.1894021310813392e-33 2.88279393999134e-33
1.1589483034398118e-05 2.8690161411026866e-42 3.9189174875262394e-42 1.4300625157343822e-41 1.5060827267976697e-40 1.3189292087557754e-38 2.6042133758634333e-36 1.2554887172007157e-33 3.0460243401584987e-33
1.1805165285688056e-05 2.822654478146556e-42 3.858625698830203e-42 1.4181855338138695e-41 1.5248244462161358e-40 1.3446526475457772e-38 2.6934298809044767e-36 1.3253037817601e-33 3.218525018163996e-33
1.2024861420374123e-05 2.7770548305890002e-42 3.799294298762709e-42 1.4065261725768128e-41 1.544085459058326e-40 1.3709157003135663e-38 2.7863678885963333e-36 1.3990588370736983e-33 3.4008229767838295e-33
1.2248646137509308e-05 2.732204524452037e-42 3.74090769361078e-42 1.395082187508451e-41 1.5638752690649964e-40 1.3977312210675702e-38 2.8832050455320443e-36 1.476977415265696e-33 3.5934751878751406e-33
1.2476595526308685e-05 2.688091098492593e-42 3.683450546538261e-42 1.3838513899142618e-41 1.5842034868956319e-40 1.4251124357488935e-38 2.9841282397258736e-36 1.5592957517068224e-33 3.797070296809085e-33
1.2708787092020594e-05 2.6447023006053937e-42 3.62690777330914e-42 1.3728316466052753e-41 1.605079827915551e-40 1.4530729552514208e-38 3.08933410844707e-36 1.646263507318808e-33 4.0122304238433975e-33
1.294529978227916e-05 2.6020260842870594e-42 3.571264538082692e-42 1.3620208796050402e-41 1.626514110152512e-40 1.4816267889666408e-38 3.199029574870384e-36 1.7381445319572423e-33 4.239613067947949e-33
1.3186214013947486e-05 2.560050605160305e-42 3.516506249279198e-42 1.3514170658783838e-41 1.6485162524599152e-40 1.5107883588762695e-38 3.313432415199797e-36 1.835217671209297e-33 4.479913118910798e-33
1.3431611700460154e-05 2.518764217557307e-42 3.462618555515122e-42 1.3410182370821542e-41 1.6710962729245215e-40 1.5405725142166562e-38 3.4327718580163256e-36 1.9377776190753197e-33 4.733864983882752e-33
1.3681576279674705e-05 2.478155471161159e-42 3.4095873416065337e-42 1.3308224793380925e-41 1.6942642875573981e-40 1.5709945467402486e-38 3.557289217701399e-36 2.0461358191440552e-33 5.002244834869597e-33
1.3936192742241435e-05 2.4382131077044422e-42 3.3573987246395965e-42 1.3208279330280524e-41 1.7180305093070246e-40 1.6020702066004815e-38 3.6872385638928457e-36 2.1606214170195093e-33 5.285872984050818e-33
1.4195547660501015e-05 2.3989260577239613e-42 3.30603905010707e-42 1.3110327926117564e-41 1.7424052474334324e-40 1.6338157188876945e-38 3.8228874290423885e-36 2.2815822669142767e-33 5.585616394194921e-33
1.4459729217920196e-05 2.360283437370602e-42 3.255494888109562e-42 1.3014353064672865e-41 1.7673989072818498e-40 1.6662478008451132e-38 3.9645175562619034e-36 2.4093859954902587e-33 5.902391331855519e-33
1.4728827239075018e-05 2.3222745452734933e-42 3.205753029620631e-42 1.2920337767545794e-41 1.7930219904932917e-40 1.6993836797951137e-38 4.112425689769927e-36 2.544421126202395e-33 6.237166171468311e-33
1.5002933220192168e-05 2.2848888594574355e-42 3.1568004828144806e-42 1.2828265593021172e-41 1.8192850956883132e-40 1.733241111807597e-38 4.266924410382131e-36 2.6870982675867074e-33 6.590964358932017e-33
1.5282140360258708e-05 2.2481160343127354e-42 3.108624469455311e-42 1.2738120635171022e-41 1.8461989196582915e-40 1.7678384011437677e-38 4.428343018628444e-36 2.8378513691294115e-33 6.964867543743937e-33
1.556654359271062e-05 2.2119458976165756e-42 3.061212421347227e-42 1.264988752319364e-41 1.8737742590962832e-40 1.803194420510123e-38 4.5970284682263225e-36 2.9971390485606596e-33 7.360018889276523e-33
1.5856239617711373e-05 2.176368447604942e-42 3.0145519768436716e-42 1.2563551420992656e-41 1.9020220128969354e-40 1.8393286321593292e-38 4.773346352795361e-36 3.165445994635408e-33 7.777626571327553e-33
