# %ECSV 1.0
# ---
# datatype:
# - {name: mx, unit: MeV, datatype: float64}
# - {name: sigma_10, unit: cm2, datatype: float64}
# - {name: sigma_9, unit: cm2, datatype: float64}
# - {name: sigma_7, unit: cm2, datatype: float64}
# - {name: sigma_6, unit: cm2, datatype: float64}
# - {name: sigma_5, unit: cm2, datatype: float64}
# - {name: sigma_4, unit: cm2, datatype: float64}
# - {name: sigma_3, unit: cm2, datatype: float64}
# - {name: sigma_2, unit: cm2, datatype: float64}
# schema: astropy-2.0
mx sigma_10 sigma_9 sigma_7 sigma_6 sigma_5 sigma_4 sigma_3 sigma_2
3.162277660168379e-07 7.149096309846606e-39 8.88400296033109e-39 1.7261807088795439e-38 3.257587850721378e-38 1.571771465477919e-37 5.750882587422146e-35 2.1716679957413765e-32 3.848750212272492e-32
3.2360111549336787e-07 7.163095378930723e-39 8.905631174284119e-39 1.7343630764714123e-38 3.286495103774478e-38 1.6171237417507625e-37 6.272298470543397e-35 2.3476075134624106e-32 4.2144530074554636e-32
3.311463862505236e-07 7.177149531648683e-39 8.927365187513912e-39 1.742623397035492e-38 3.315905849755663e-38 1.6645024596733858e-37 6.84191674725129e-35 2.538947554524061e-32 4.6152134689794483e-32
3.388675869043115e-07 7.191259086776013e-39 8.949205767450416e-39 1.7509627825581932e-38 3.3458327808298284e-38 1.7140218452613832e-37 7.46419540875728e-35 2.7471054455850293e-32 5.054405106750309e-32
3.4676881953794695e-07 7.205424366128063e-39 8.97115368976616e-39 1.7593823663224672e-38 3.3762889982053054e-38 1.7658036984396547e-37 8.143999630874442e-35 2.973631942425491e-32 5.535726659731055e-32
3.548542818811901e-07 7.219645694109585e-39 8.993209737948499e-39 1.7678833034065446e-38 3.4072880278649007e-38 1.8199779620035145e-37 8.886637484048982e-35 3.220223952955226e-32 6.06323347886032e-32
3.6312826954049566e-07 7.233923398045461e-39 9.01537470367901e-39 1.7764667711960866e-38 3.438843836995015e-38 1.8766833377789598e-37 9.697898436858078e-35 3.488738481975713e-32 6.641371939625756e-32
3.715951782811629e-07 7.248257808042302e-39 9.037649386697659e-39 1.7851339699113875e-38 3.470970851147661e-38 1.936067954220132e-37 1.0584094812047268e-34 3.7812079152723664e-32 7.275017176825169e-32
3.8025950636269697e-07 7.262649257047613e-39 9.060034595085853e-39 1.7938861231496034e-38 3.5036839721722256e-38 1.9982900900867408e-37 1.1552106353823012e-34 4.099856771949993e-32 7.969514462286392e-32
3.89125856928623e-07 7.277098080909008e-39 9.08253114524379e-39 1.8027244784426978e-38 3.5369985969558006e-38 2.063518959289597e-37 1.2609428062772754e-34 4.4471200663941594e-32 8.730724577360209e-32
3.9819894045202297e-07 7.29160461829068e-39 9.105139861991356e-39 1.8116503078311138e-38 3.5709306370131064e-38 2.1319355624821956e-37 1.3764221450053222e-34 4.8256634348292165e-32 9.565073565870079e-32
4.0748357723809307e-07 7.306169210871735e-39 9.127861578794051e-39 1.8206649084544542e-38 3.605496538969354e-38 2.2037336115154696e-37 1.5025369354970002e-34 5.23840519644632e-32 1.0479607290551658e-31
4.169846999850535e-07 7.320792203057653e-39 9.15069713745257e-39 1.8297696031592868e-38 3.64071330598185e-38 2.2791205334661544e-37 1.640253445931883e-34 5.688540535444831e-32 1.1482051256808766e-31
4.2670735640476865e-07 7.335473942403351e-39 9.173647388786433e-39 1.8389657411239796e-38 3.6765985201487273e-38 2.3583185616023917e-37 1.7906221617447864e-34 6.179568008310944e-32 1.258087621240741e-31
4.3665671190447213e-07 7.350214779332242e-39 9.19671319230077e-39 1.8482546985027274e-38 3.713170365956005e-38 2.4415659213694128e-37 1.9547844102515277e-34 6.71531860038276e-32 1.3785370080869218e-31
4.4683805233101997e-07 7.365015067203797e-39 9.219895416354173e-39 1.8576378790882686e-38 3.750447654817066e-38 2.5291181202700808e-37 2.133979384648261e-34 7.299987577372306e-32 1.5105716840198456e-31
4.572567867791303e-07 7.379875162512127e-39 9.243194938449088e-39 1.8671167149933435e-38 3.7884498507617735e-38 2.6212493513872094e-37 2.329551572369872e-34 7.938169401186566e-32 1.6553083017571393e-31
4.6791845046510194e-07 7.394795424699665e-39 9.266612645143938e-39 1.8766926673531432e-38 3.8271970973359397e-38 2.7182540212552078e-37 2.5429585895328256e-34 8.634896005437212e-32 1.8139712535502902e-31
4.788287076675383e-07 7.409776216230194e-39 9.290149432138494e-39 1.8863672270485199e-38 3.866710245775062e-38 2.8204484138466648e-37 2.775779419429777e-34 9.395678754482679e-32 1.987903071593244e-31
4.899933547366384e-07 7.424817902779061e-39 9.313806204678372e-39 1.8961419154501212e-38 3.907010884520401e-38 2.928172503604946e-37 3.029723048808669e-34 1.0226554441105262e-31 2.178575832656415e-31
5.014183231736547e-07 7.439920853000628e-39 9.337583877195279e-39 1.906018285185079e-38 3.9481213701491527e-38 3.0417919317377256e-37 3.306637490999991e-34 1.1134135712231123e-31 2.387603663928557e-31
5.131096827821533e-07 7.45508543877073e-39 9.361483373937087e-39 1.9159979209272376e-38 3.990064859794999e-38 3.1617001614004655e-37 3.608519179931606e-34 1.21256663496325e-31 2.6167564564038856e-31
5.250736448927506e-07 7.470312035099884e-39 9.385505628635776e-39 1.926082440210018e-38 4.032865345139671e-38 3.2883208289564823e-37 3.93752271380683e-34 1.3209081873780298e-31 2.867974902427141e-31
5.373165656630395e-07 7.485601020142708e-39 9.40965158487656e-39 1.9362734942650237e-38 4.076547688061102e-38 3.4221103102157153e-37 4.29597092188616e-34 1.4393075984202025e-31 3.1433869852719417e-31
5.4984494945446e-07 7.500952775295345e-39 9.433922196108884e-39 1.9465727688852038e-38 4.1211376580288953e-38 3.56356052244352e-37 4.68636522262018e-34 1.5687173399220343e-31 3.4453260609715006e-31
5.626654522879044e-07 7.516367685231055e-39 9.458318425895516e-39 1.956981985314637e-38 4.1666619713434125e-38 3.713201985010904e-37 5.111396236615287e-34 1.7101809712310339e-31 3.7763506861706724e-31
5.757848853798981e-07 7.531846137870234e-39 9.482841247860345e-39 1.9675029011656472e-38 4.2131483323203863e-38 3.871607163847642e-37 5.5739546139139295e-34 1.8648418941859284e-31 4.139266360611923e-31
5.892102187612295e-07 7.547388524483655e-39 9.507491646051864e-39 1.9781373113638933e-38 4.260625476529633e-38 4.039394127380075e-37 6.077142032254101e-34 2.033952951644521e-31 4.537149369153748e-31
6.029485849799565e-07 7.562995239464742e-39 9.532270614560753e-39 1.9888870491224738e-38 4.3091232162027866e-38 4.217230544408687e-37 6.62428232181878e-34 2.2188869509383965e-31 4.973372926076778e-31
6.17007282890752e-07 7.578666680939743e-39 9.557179158572901e-39 1.9997539869465176e-38 4.358672487932231e-38 4.405838057431225e-37 7.218932673041333e-34 2.4211482014847547e-31 5.451635844015612e-31
6.313937815326057e-07 7.594403249986551e-39 9.582218293281523e-39 2.0107400376685002e-38 4.4093054027910776e-38 4.605997068271499e-37 7.864894887901385e-34 2.6423851643963866e-31 5.975993971321023e-31
6.461157240969403e-07 7.610205351497336e-39 9.607389045293551e-39 2.0218471555162442e-38 4.4610552990120344e-38 4.818551976561281e-37 8.566226642474724e-34 2.884404321382112e-31 6.550894665218128e-31
6.611809319882495e-07 7.626073393546754e-39 9.632692451690556e-39 2.03307733721422e-38 4.5139567973719106e-38 5.044416915673746e-37 9.327252739948527e-34 3.1491853805723173e-31 7.181214593913267e-31
6.765974089794179e-07 7.642007787883317e-39 9.658129560922795e-39 2.0444326231194694e-38 4.5680458594375054e-38 5.28458203515543e-37 1.015257634955428e-33 3.4388979482858504e-31 7.872301189173231e-31
6.923733454639272e-07 7.658009061382364e-39 9.683701611155842e-39 2.0559151789264138e-38 4.623360256093169e-38 5.540126212611328e-37 1.1064413188584317e-33 3.8114419290717286e-31 8.760931696847896e-31
7.085171228072106e-07 7.674077409918109e-39 9.709409317076382e-39 2.0675269756768753e-38 4.679938013136963e-38 5.812201867352034e-37 1.2036199824275879e-33 4.163580603707703e-31 9.604314763079634e-31
7.250373177994646e-07 7.690213366963879e-39 9.735253938632257e-39 2.0792702714207903e-38 4.737819892623832e-38 6.102076509760693e-37 1.3088326338361188e-33 4.548985132642537e-31 1.0529024038689778e-30
7.419427072122865e-07 7.706417358483984e-39 9.761236569921125e-39 2.0911472931417014e-38 4.797047865018847e-38 6.411120121229342e-37 1.4226685670275863e-33 4.970833368552359e-31 1.1542907954060207e-30
7.592422724615558e-07 7.722689814040736e-39 9.78735831674821e-39 2.1031603176998485e-38 4.857665581922387e-38 6.740820396436491e-37 1.545751416166793e-33 5.4326084247586255e-31 1.2654572652473364e-30
7.769452043790388e-07 7.739031167160368e-39 9.81362029723082e-39 2.1153116732033958e-38 4.919718455366907e-38 7.092793643965966e-37 1.6787404847251987e-33 5.938128079281074e-31 1.3873455156131993e-30
7.950609080952509e-07 7.755441854777488e-39 9.840023641160184e-39 2.127603740424427e-38 4.983253741387497e-38 7.468796743123566e-37 1.8223321656530827e-33 6.491577015043099e-31 1.5209903597892277e-30
8.135990080361694e-07 7.771922317576591e-39 9.86656949063688e-39 2.1400389542608157e-38 5.048320628124063e-38 7.870740260892569e-37 1.9772614860691134e-33 7.097542169949378e-31 1.667526520103247e-30
8.325693530364543e-07 7.788473000358306e-39 9.893259000476896e-39 2.1526198052457223e-38 5.114970328730447e-38 8.300702842995776e-37 2.1443038165258662e-33 7.761051497028551e-31 1.8281982755387016e-30
8.519820215718901e-07 7.805094351576301e-39 9.920093338011427e-39 2.1653488411068713e-38 5.183256179384011e-38 8.760947003959102e-37 2.3242767917263626e-33 8.487616463765822e-31 2.004370041032146e-30
8.718473271138315e-07 7.821786823530911e-39 9.947073683189232e-39 2.178228668376929e-38 5.253233742709171e-38 9.253936452970357e-37 2.518042496383454e-33 9.283278651577916e-31 2.197537968438422e-30
8.921758236084957e-07 7.838550872548881e-39 9.974201229095691e-39 2.191261954057235e-38 5.324960916949481e-38 9.78235510526935e-37 2.7265099765251035e-33 1.0154660851198036e-30 2.4093426678288125e-30
9.12978311084014e-07 7.85538695881497e-39 1.0001477181706414e-38 2.2044514273368493e-38 5.398498051245863e-38 1.034912794286907e-36 2.95063814273884e-33 1.1109023087969002e-30 2.6415831573205275e-30
9.342658413882192e-07 7.87229554664579e-39 1.0028902760592028e-38 2.2177998813688192e-38 5.47390806740268e-38 1.0957443903675053e-36 3.1914391374132073e-33 1.2154324052931691e-30 2.896232160081561e-30
9.560497240602198e-07 7.889277104310127e-39 1.0056479198517631e-38 2.2313101751061437e-38 5.551256588550276e-38 1.1610780994627024e-36 3.44998224278925e-33 1.3299288461583181e-30 3.175452878622304e-30
9.78341532338879e-07 7.906332104252316e-39 1.0084207742178692e-38 2.2449852351995026e-38 5.630612075140323e-38 1.2312933842424783e-36 3.7273984104256634e-33 1.4553480912515462e-30 3.4816173890379364e-30
1.0011531093113902e-06 7.923461022844167e-39 1.0112089651714217e-38 2.258828057958903e-38 5.71204596874119e-38 1.3068043914818767e-36 4.024885495430127e-33 1.5927386873443687e-30 3.8173268116552676e-30
1.0244965742052174e-06 7.940664341045501e-39 1.0140126201912411e-38 2.2728417113823656e-38 5.795632844132919e-38 1.3880632666446573e-36 4.343714280491908e-33 1.7432501482700042e-30 4.1854334296411634e-30
1.048384328826741e-06 7.957942543400682e-39 1.016831868095032e-38 2.2870293372532749e-38 5.881450570237143e-38 1.4755637885895694e-36 4.685235375412745e-33 1.9081426920717594e-30 4.589064943700528e-30
1.0728290641500308e-06 7.975296119403078e-39 1.0196668392304606e-38 2.3013941533101477e-38 5.969580480454574e-38 1.5698453545190072e-36 5.050887077637217e-33 2.0887979178892773e-30 5.031651069162392e-30
1.0978437670592484e-06 7.992725562373387e-39 1.0225176653447253e-38 2.3159394554907102e-38 6.06010755302423e-38 1.6714973479370916e-36 5.442204278450881e-33 2.286730513310643e-30 5.5169527016753646e-30
1.1234417272482566e-06 8.010231370110514e-39 1.0253844796813194e-38 2.3306686202535405e-38 6.153120602062079e-38 1.7811639252416715e-36 5.860828498322719e-33 2.5036010916753313e-30 6.0490938995728636e-30
1.149636544281106e-06 8.027814044921508e-39 1.0282674170082367e-38 2.3455851069804296e-38 6.248712479984636e-38 1.8995492596595493e-36 6.308519133740641e-33 2.7412302684291883e-30 6.632596954948336e-30
1.1764421348171486e-06 8.045474093645396e-39 1.031166613624154e-38 2.360692460462641e-38 6.346980292073944e-38 2.0274232845649237e-36 6.787165997171723e-33 3.0016140961575532e-30 7.27242085172906e-30
